host_timestamp_s,monotonic_s,fields_json
1783958621.154528,1125264.250000,"{""t_ms"":126279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":128849380,""m4_us"":126586129,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958622.197644,1125265.296000,"{""t_ms"":127279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":129885733,""m4_us"":127622533,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958623.218890,1125266.312000,"{""t_ms"":128279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":130922187,""m4_us"":128658993,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958624.263074,1125267.359000,"{""t_ms"":129279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":131958639,""m4_us"":129695419,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958625.313524,1125268.406000,"{""t_ms"":130279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":132995062,""m4_us"":130731877,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958626.332088,1125269.437000,"{""t_ms"":131279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":134031750,""m4_us"":131768344,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958627.381917,1125270.484000,"{""t_ms"":132279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":135068063,""m4_us"":132804821,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958628.401129,1125271.500000,"{""t_ms"":133279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":136104727,""m4_us"":133841349,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958629.447850,1125272.546000,"{""t_ms"":134279,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":137141091,""m4_us"":134877829,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958630.539335,1125273.640000,"{""t_ms"":135284,""hwm"":9,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":138182881,""m4_us"":135920376,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958631.590383,1125274.687000,"{""t_ms"":136284,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":139219291,""m4_us"":136956757,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958632.641351,1125275.734000,"{""t_ms"":137284,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":140255548,""m4_us"":137993096,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958633.701935,1125276.796000,"{""t_ms"":138286,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":511,""prod1"":511,""prod2"":511,""sma_state"":6,""m7_us"":141294051,""m4_us"":139031467,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958634.773330,1125277.875000,"{""t_ms"":139286,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":142330396,""m4_us"":140067813,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958635.819413,1125278.921000,"{""t_ms"":140286,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":143366712,""m4_us"":141104139,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
