host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1783960161.483915,1126804.578000,1645454000,2,load,2.17151000,3643190,1666934568,820511
1783960161.484921,1126804.578000,1645455000,1,laser,4.97279200,2135797810,1666935581,820511
1783960161.484921,1126804.578000,1645456000,2,load,2.17070000,3641830,1666936597,820512
1783960161.490432,1126804.593000,1645457000,1,laser,4.97327000,2136003394,1666937610,820512
1783960161.491430,1126804.593000,1645458000,2,load,2.16223000,3627620,1666938625,820513
1783960161.491430,1126804.593000,1645459000,1,laser,4.97185000,2135393409,1666939639,820513
1783960161.492431,1126804.593000,1645460000,2,load,2.15864200,3621600,1666940648,820514
1783960161.492431,1126804.593000,1645461000,1,laser,4.97185000,2135393409,1666941661,820514
1783960161.493509,1126804.593000,1645462000,2,load,2.15864200,3621600,1666942677,820515
1783960161.494040,1126804.593000,1645463000,1,laser,4.97121600,2135121083,1666943690,820515
1783960161.494040,1126804.593000,1645464000,2,load,2.16632500,3634490,1666944705,820516
1783960161.495047,1126804.593000,1645465000,1,laser,4.97171600,2135335794,1666945719,820516
1783960161.495047,1126804.593000,1645466000,2,load,2.17078900,3641980,1666946734,820517
1783960161.496053,1126804.593000,1645467000,1,laser,4.97197200,2135446067,1666947741,820517
1783960161.496053,1126804.593000,1645468000,2,load,2.17070000,3641830,1666948757,820518
1783960161.497053,1126804.593000,1645469000,1,laser,4.97285900,2135826671,1666949770,820518
1783960161.497053,1126804.593000,1645470000,2,load,2.15864800,3621610,1666950785,820519
1783960161.498052,1126804.593000,1645471000,1,laser,4.97285900,2135826671,1666951799,820519
1783960161.498052,1126804.593000,1645472000,2,load,2.15864800,3621610,1666952814,820520
1783960161.498052,1126804.593000,1645473000,1,laser,4.97332900,2136028352,1666953821,820520
1783960161.499056,1126804.593000,1645474000,2,load,2.16411900,3630790,1666954837,820521
1783960161.499056,1126804.593000,1645475000,1,laser,4.97192600,2135425949,1666955850,820521
1783960161.500056,1126804.593000,1645476000,2,load,2.15806400,3620630,1666956865,820522
1783960161.500056,1126804.593000,1645477000,1,laser,4.97125200,2135136786,1666957879,820522
1783960161.501056,1126804.593000,1645478000,2,load,2.15914800,3622450,1666958894,820523
1783960161.501056,1126804.593000,1645479000,1,laser,4.97165200,2135308268,1666959908,820523
1783960161.502053,1126804.609000,1645480000,2,load,2.16249800,3628070,1666960923,820524
1783960161.502053,1126804.609000,1645481000,1,laser,4.97179500,2135369684,1666961930,820524
1783960161.503052,1126804.609000,1645482000,2,load,2.16249800,3628070,1666962945,820525
1783960161.503052,1126804.609000,1645483000,1,laser,4.97179500,2135369684,1666963959,820525
