cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.25408,4.34506,1.02139,4.25005,-0.0950123,-0.0946521,4.38175,1.03001,0.245384,0.0151311,1.09601,nan,385.807,-10.1066,-21.6061
2,3.21953,4.25408,4.39072,1.03212,4.20662,-0.184096,-1.11558,nan,nan,nan,nan,0.968716,nan,nan,nan,nan
3,6.46277,4.25408,nan,nan,4.20498,nan,-1.1541,nan,nan,nan,nan,1.49371,nan,nan,nan,nan
4,10.2238,4.25408,nan,nan,4.19653,nan,-1.35273,4.40728,1.03601,0.249493,0.00949196,1.06779,-0.00175244,226.616,-42.0186,-72.0421
5,13.4387,4.25408,4.39062,1.0321,4.20784,-0.182777,-1.08694,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,20.5411,4.25408,nan,nan,4.2339,nan,-0.47438,nan,nan,0.245476,-0.00187357,0.190295,nan,-19.4198,-11.1299,-16.2029
7,28.2894,4.25408,nan,nan,4.20402,nan,-1.17674,nan,nan,0.248837,0.00177942,-0.344007,nan,-25.6363,-15.4942,-22.6786
8,35.8549,4.25408,nan,nan,4.23469,nan,-0.455804,nan,nan,0.250351,-0.00172039,0.130582,nan,-13.764,-5.37334,-10.5356
9,43.6052,4.25408,nan,nan,4.20494,nan,-1.15505,nan,nan,0.247107,-0.00232954,0.257857,nan,-36.0333,-10.6729,-23.3028
10,51.3014,4.25408,nan,nan,4.25806,nan,0.0936133,4.38122,1.02989,0.245011,-0.00625156,2.87375,-0.00498735,-148.95,-10.1864,-27.1167
