host_timestamp_s,monotonic_s,kind,detail
1784150658.933921,60538.078000,session,start console_20260715_172418
1784150673.631260,60552.781000,session,recording start
1784150673.663816,60552.812000,camera,video recording start
1784150677.393177,60556.546000,arm,arm
1784150677.393177,60556.546000,cmd,idle 0.5
1784150686.161200,60565.312000,cmd,cycle 3 0.5 100 3000 10
1784150687.183306,60566.328000,cmd,ping
1784150688.179471,60567.328000,cmd,ping
1784150689.188135,60568.328000,cmd,ping
1784150690.202132,60569.343000,cmd,ping
1784150691.196537,60570.343000,cmd,ping
1784150692.189746,60571.343000,cmd,ping
1784150693.194611,60572.343000,cmd,ping
1784150694.191565,60573.343000,cmd,ping
1784150695.200975,60574.343000,cmd,ping
1784150696.193807,60575.343000,cmd,ping
1784150697.189845,60576.343000,cmd,ping
1784150698.190339,60577.343000,cmd,ping
1784150699.204156,60578.359000,cmd,ping
1784150700.259212,60579.406000,cmd,ping
1784150701.253919,60580.406000,cmd,ping
1784150702.259552,60581.406000,cmd,ping
1784150703.264616,60582.406000,cmd,ping
1784150704.260598,60583.406000,cmd,ping
1784150705.266802,60584.421000,cmd,ping
1784150706.318100,60585.468000,cmd,ping
1784150707.344338,60586.484000,cmd,ping
1784150708.340027,60587.484000,cmd,ping
1784150709.334357,60588.484000,cmd,ping
1784150710.339940,60589.484000,cmd,ping
1784150711.331594,60590.484000,cmd,ping
1784150712.342552,60591.484000,cmd,ping
1784150713.338511,60592.484000,cmd,ping
1784150714.333016,60593.484000,cmd,ping
1784150715.339557,60594.484000,cmd,ping
1784150716.335828,60595.484000,cmd,ping
1784150717.330252,60596.484000,cmd,ping
1784150718.340383,60597.484000,cmd,ping
1784150719.329979,60598.484000,cmd,ping
1784150720.336968,60599.484000,cmd,ping
1784150721.340615,60600.484000,cmd,ping
1784150722.332840,60601.484000,cmd,ping
1784150723.344075,60602.484000,cmd,ping
1784150724.337780,60603.484000,cmd,ping
1784150725.331429,60604.484000,cmd,ping
1784150726.338527,60605.484000,cmd,ping
1784150727.335088,60606.484000,cmd,ping
1784150728.345014,60607.500000,cmd,ping
1784150729.400691,60608.546000,cmd,ping
1784150730.392764,60609.546000,cmd,ping
1784150731.401515,60610.546000,cmd,ping
1784150732.393397,60611.546000,cmd,ping
1784150733.403556,60612.546000,cmd,ping
1784150734.393272,60613.546000,cmd,ping
1784150735.401696,60614.546000,cmd,ping
1784150736.395447,60615.546000,cmd,ping
1784150737.402083,60616.546000,cmd,ping
1784150738.394990,60617.546000,cmd,ping
1784150739.408171,60618.562000,cmd,ping
1784150740.461753,60619.609000,cmd,ping
1784150741.465619,60620.609000,cmd,ping
1784150742.457934,60621.609000,cmd,ping
1784150743.465932,60622.609000,cmd,ping
1784150744.456084,60623.609000,cmd,ping
1784150745.466477,60624.609000,cmd,ping
1784150746.461566,60625.609000,cmd,ping
1784150747.455403,60626.609000,cmd,ping
1784150748.469786,60627.625000,cmd,ping
1784150749.522327,60628.671000,cmd,ping
1784150750.530614,60629.671000,cmd,ping
1784150751.520504,60630.671000,cmd,ping
1784150752.527122,60631.671000,cmd,ping
1784150753.519898,60632.671000,cmd,ping
1784150754.526095,60633.671000,cmd,ping
1784150755.520971,60634.671000,cmd,ping
1784150756.519050,60635.671000,cmd,ping
1784150757.518122,60636.671000,cmd,ping
1784150758.528567,60637.671000,cmd,ping
1784150759.521340,60638.671000,cmd,ping
1784150760.526572,60639.671000,cmd,ping
1784150761.521359,60640.671000,cmd,ping
1784150762.532876,60641.687000,cmd,ping
1784150763.583069,60642.734000,cmd,ping
1784150764.582908,60643.734000,cmd,ping
1784150765.594574,60644.734000,cmd,ping
1784150766.586905,60645.734000,cmd,ping
1784150767.592566,60646.734000,cmd,ping
1784150768.585610,60647.734000,cmd,ping
1784150769.580441,60648.734000,cmd,ping
1784150770.585674,60649.734000,cmd,ping
1784150771.580446,60650.734000,cmd,ping
1784150772.585204,60651.734000,cmd,ping
1784150773.593883,60652.734000,cmd,ping
1784150774.580779,60653.734000,cmd,ping
1784150775.593111,60654.734000,cmd,ping
1784150776.584181,60655.734000,cmd,ping
1784150777.591358,60656.734000,cmd,ping
1784150777.940571,60657.093000,session,recording stop
1784150778.002886,60657.156000,camera,video recording stop (163 frames)
1784150778.585216,60657.734000,cmd,ping
1784150779.591915,60658.734000,cmd,ping
1784150780.308839,60659.453000,disarm,disarm
1784150781.714379,60660.859000,disarm,disarm
1784150782.112628,60661.265000,session,end complete
