frame_idx,host_timestamp_s,monotonic_s,cycle_idx,mode,rel_path,laser_mm
0,1784150673.659312,60552.796000,0,snap,snapshots/cyc00_60552796.jpg,-4.8094
1,1784150673.663816,60552.796000,0,fast,cycle_00/000000.jpg,-4.8094
2,1784150673.689267,60552.828000,0,fast,cycle_00/000001.jpg,-4.8096
3,1784150673.716002,60552.859000,0,fast,cycle_00/000002.jpg,-4.8097
4,1784150673.757238,60552.890000,0,fast,cycle_00/000003.jpg,-4.8097
5,1784150673.781831,60552.921000,0,fast,cycle_00/000004.jpg,-4.8099
6,1784150673.806433,60552.953000,0,fast,cycle_00/000005.jpg,-4.8100
7,1784150673.847874,60552.984000,0,fast,cycle_00/000006.jpg,-4.8100
8,1784150673.872480,60553.015000,0,fast,cycle_00/000007.jpg,-4.8100
9,1784150673.913477,60553.046000,0,fast,cycle_00/000008.jpg,-4.8100
10,1784150673.940193,60553.078000,0,fast,cycle_00/000009.jpg,-4.8098
11,1784150673.965595,60553.109000,0,fast,cycle_00/000010.jpg,-4.8098
12,1784150674.005655,60553.140000,0,fast,cycle_00/000011.jpg,-4.8098
13,1784150674.031317,60553.171000,0,fast,cycle_00/000012.jpg,-4.8099
14,1784150674.055054,60553.203000,0,fast,cycle_00/000013.jpg,-4.8099
15,1784150674.095649,60553.234000,0,fast,cycle_00/000014.jpg,-4.8098
16,1784150674.120548,60553.265000,0,fast,cycle_00/000015.jpg,-4.8098
17,1784150674.162576,60553.296000,0,fast,cycle_00/000016.jpg,-4.8098
18,1784150674.187601,60553.328000,0,fast,cycle_00/000017.jpg,-4.8095
19,1784150674.211100,60553.359000,0,fast,cycle_00/000018.jpg,-4.8095
20,1784150674.253368,60553.390000,0,fast,cycle_00/000019.jpg,-4.8095
21,1784150674.277909,60553.421000,0,fast,cycle_00/000020.jpg,-4.8095
22,1784150674.320431,60553.453000,0,fast,cycle_00/000021.jpg,-4.8094
23,1784150674.345815,60553.484000,0,fast,cycle_00/000022.jpg,-4.8095
24,1784150674.373146,60553.515000,0,fast,cycle_00/000023.jpg,-4.8095
25,1784150674.413877,60553.562000,0,fast,cycle_00/000024.jpg,-4.8095
26,1784150674.454352,60553.593000,0,fast,cycle_00/000025.jpg,-4.8095
27,1784150674.483503,60553.625000,0,fast,cycle_00/000026.jpg,-4.8096
28,1784150674.507458,60553.656000,0,fast,cycle_00/000027.jpg,-4.8094
29,1784150674.548031,60553.687000,0,fast,cycle_00/000028.jpg,-4.8094
30,1784150674.573662,60553.718000,0,fast,cycle_00/000029.jpg,-4.8094
31,1784150674.613582,60553.750000,0,fast,cycle_00/000030.jpg,-4.8094
32,1784150674.639648,60553.781000,0,fast,cycle_00/000031.jpg,-4.8094
33,1784150675.636802,60554.781000,0,heartbeat,cycle_00/000032.jpg,-4.8091
34,1784150676.633149,60555.781000,0,heartbeat,cycle_00/000033.jpg,-4.8083
35,1784150677.648408,60556.796000,0,heartbeat,cycle_00/000034.jpg,-4.7980
36,1784150678.658221,60557.796000,0,heartbeat,cycle_00/000035.jpg,-4.7244
37,1784150679.654377,60558.796000,0,heartbeat,cycle_00/000036.jpg,-4.6693
38,1784150680.666124,60559.812000,0,heartbeat,cycle_00/000037.jpg,-4.6099
39,1784150681.677143,60560.812000,0,heartbeat,cycle_00/000038.jpg,-4.5690
40,1784150682.676384,60561.812000,0,heartbeat,cycle_00/000039.jpg,-4.5491
41,1784150683.674687,60562.812000,0,heartbeat,cycle_00/000040.jpg,-4.5292
42,1784150684.670826,60563.812000,0,heartbeat,cycle_00/000041.jpg,-4.5333
43,1784150685.666998,60564.812000,0,heartbeat,cycle_00/000042.jpg,-4.5158
44,1784150686.177033,60565.312000,1,snap,snapshots/cyc01_60565312.jpg,-4.5106
45,1784150686.181757,60565.312000,1,fast,cycle_01/000000.jpg,-4.5106
46,1784150686.206275,60565.343000,1,fast,cycle_01/000001.jpg,-4.5103
47,1784150686.231723,60565.375000,1,fast,cycle_01/000002.jpg,-4.5103
48,1784150686.274106,60565.421000,1,fast,cycle_01/000003.jpg,-4.5100
49,1784150686.315808,60565.453000,1,fast,cycle_01/000004.jpg,-4.5097
50,1784150686.341280,60565.484000,1,fast,cycle_01/000005.jpg,-4.5075
51,1784150686.385961,60565.515000,1,fast,cycle_01/000006.jpg,-4.4762
52,1784150686.410868,60565.546000,1,fast,cycle_01/000007.jpg,-4.4574
53,1784150686.435801,60565.578000,1,fast,cycle_01/000008.jpg,-4.4255
54,1784150686.476404,60565.625000,1,fast,cycle_01/000009.jpg,-4.4062
55,1784150686.517697,60565.656000,1,fast,cycle_01/000010.jpg,-4.3263
56,1784150686.543054,60565.687000,1,fast,cycle_01/000011.jpg,-4.3263
57,1784150686.583999,60565.718000,1,fast,cycle_01/000012.jpg,-4.2671
58,1784150686.611932,60565.750000,1,fast,cycle_01/000013.jpg,-4.2172
59,1784150686.637987,60565.781000,1,fast,cycle_01/000014.jpg,-4.1866
60,1784150686.678509,60565.812000,1,fast,cycle_01/000015.jpg,-4.1214
61,1784150686.703714,60565.843000,1,fast,cycle_01/000016.jpg,-4.1072
62,1784150686.727210,60565.875000,1,fast,cycle_01/000017.jpg,-4.1089
63,1784150686.768601,60565.906000,1,fast,cycle_01/000018.jpg,-4.1084
64,1784150686.794105,60565.937000,1,fast,cycle_01/000019.jpg,-4.1112
65,1784150686.837049,60565.984000,1,fast,cycle_01/000020.jpg,-4.1118
66,1784150686.877923,60566.015000,1,fast,cycle_01/000021.jpg,-4.1158
67,1784150686.902999,60566.046000,1,fast,cycle_01/000022.jpg,-4.1171
68,1784150686.945035,60566.093000,1,fast,cycle_01/000023.jpg,-4.1192
69,1784150686.985799,60566.125000,1,fast,cycle_01/000024.jpg,-4.1204
70,1784150687.011700,60566.156000,1,fast,cycle_01/000025.jpg,-4.1205
71,1784150687.053622,60566.187000,1,fast,cycle_01/000026.jpg,-4.1222
72,1784150687.078494,60566.218000,1,fast,cycle_01/000027.jpg,-4.1238
73,1784150687.102831,60566.250000,1,fast,cycle_01/000028.jpg,-4.1242
74,1784150687.143834,60566.281000,1,fast,cycle_01/000029.jpg,-4.1278
75,1784150688.143441,60567.281000,1,heartbeat,cycle_01/000030.jpg,-4.1689
76,1784150689.139088,60568.281000,1,heartbeat,cycle_01/000031.jpg,-4.1974
77,1784150690.132297,60569.281000,1,heartbeat,cycle_01/000032.jpg,-4.2161
78,1784150691.144201,60570.281000,1,heartbeat,cycle_01/000033.jpg,-4.2299
79,1784150692.141663,60571.281000,1,heartbeat,cycle_01/000034.jpg,-4.2450
80,1784150693.153558,60572.281000,1,heartbeat,cycle_01/000035.jpg,-4.2590
81,1784150694.146816,60573.281000,1,heartbeat,cycle_01/000036.jpg,-4.2763
82,1784150695.144312,60574.281000,1,heartbeat,cycle_01/000037.jpg,-4.2900
83,1784150696.144469,60575.281000,1,heartbeat,cycle_01/000038.jpg,-3.8806
84,1784150697.142452,60576.281000,1,heartbeat,cycle_01/000039.jpg,-3.9244
85,1784150698.141491,60577.281000,1,heartbeat,cycle_01/000040.jpg,-3.9630
