host_timestamp_s,monotonic_s,fields_json
1784158781.975115,68661.125000,"{""t_ms"":1413173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1464610138,""m4_us"":1463965438,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3099,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158783.011097,68662.156000,"{""t_ms"":1414173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1465646489,""m4_us"":1465001816,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3048,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158784.047695,68663.187000,"{""t_ms"":1415173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1466682897,""m4_us"":1466038213,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3040,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158785.085562,68664.234000,"{""t_ms"":1416173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1467719260,""m4_us"":1467074584,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3059,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158786.120162,68665.265000,"{""t_ms"":1417173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1468755827,""m4_us"":1468110993,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3045,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158787.157277,68666.312000,"{""t_ms"":1418173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1469792310,""m4_us"":1469147425,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3191,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158788.193293,68667.343000,"{""t_ms"":1419173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1470828528,""m4_us"":1470183803,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3286,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158789.229660,68668.375000,"{""t_ms"":1420173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1471864898,""m4_us"":1471220206,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3123,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158790.269813,68669.421000,"{""t_ms"":1421173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1472901236,""m4_us"":1472256565,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3102,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158791.302788,68670.453000,"{""t_ms"":1422173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1473937575,""m4_us"":1473292936,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3077,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158792.344345,68671.484000,"{""t_ms"":1423173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1474974010,""m4_us"":1474329313,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3157,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158793.375232,68672.515000,"{""t_ms"":1424173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1476010415,""m4_us"":1475365685,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3352,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158794.412484,68673.562000,"{""t_ms"":1425173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1477046762,""m4_us"":1476402059,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3253,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158795.447578,68674.593000,"{""t_ms"":1426173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1478083171,""m4_us"":1477438497,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3074,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158796.483979,68675.625000,"{""t_ms"":1427173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1479119623,""m4_us"":1478474965,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3187,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158797.520893,68676.671000,"{""t_ms"":1428173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1480156099,""m4_us"":1479511425,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3095,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158798.557583,68677.703000,"{""t_ms"":1429173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1481192628,""m4_us"":1480547918,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3026,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158799.593754,68678.734000,"{""t_ms"":1430173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1482229045,""m4_us"":1481584389,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3339,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158800.630462,68679.781000,"{""t_ms"":1431173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1483265554,""m4_us"":1482620875,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3244,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158801.666605,68680.812000,"{""t_ms"":1432173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1484302065,""m4_us"":1483657368,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3084,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
1784158802.702475,68681.843000,"{""t_ms"":1433173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1485338558,""m4_us"":1484693864,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":49,""loop_us_max"":3196,""loop_hz"":20408,""cycle_log_ms"":1,""n_cycle"":4}"
