src,hw_us,value,raw_code,seq
2,9677076,1.95120000,3273570,2804
1,9678080,4.72751100,2030450587,2805
2,9679092,1.95426300,3278710,2805
1,9680102,4.72798400,2030653542,2806
2,9681115,1.95992600,3288210,2806
1,9682118,4.72798400,2030653542,2807
2,9683131,1.95992600,3288210,2807
1,9684134,4.72918600,2031169917,2808
2,9685147,1.95594400,3281530,2808
1,9686157,4.72897600,2031079908,2809
2,9687169,1.94686100,3266290,2809
1,9688173,4.72991100,2031481533,2810
2,9689185,1.94335000,3260400,2810
1,9690195,4.73001000,2031523715,2811
2,9691207,1.93823600,3251820,2811
1,9692211,4.73001000,2031523715,2812
2,9693223,1.93823600,3251820,2812
1,9694234,4.72895100,2031069179,2813
2,9695239,1.94774900,3267780,2813
1,9696250,4.72883000,2031017179,2814
2,9697262,1.95078900,3272880,2814
1,9698266,4.72955100,2031326541,2815
2,9699278,1.94668800,3266000,2815
1,9700288,4.72880900,2031008032,2816
2,9701300,1.94843400,3268930,2816
1,9702304,4.72912500,2031143572,2817
2,9703316,1.94843400,3268930,2817
1,9704326,4.72912500,2031143572,2818
2,9705339,1.95213600,3275140,2818
1,9706342,4.72892000,2031055577,2819
2,9707355,1.94436900,3262110,2819
1,9708365,4.72777200,2030562525,2820
2,9709371,1.94977500,3271180,2820
1,9710381,4.72779100,2030570915,2821
2,9711393,1.95395400,3278190,2821
1,9712397,4.72888900,2031042297,2822
2,9713409,1.95395400,3278190,2822
1,9714419,4.72888900,2031042297,2823
2,9715431,1.95198700,3274890,2823
1,9716435,4.72815000,2030725032,2824
2,9717447,1.94461300,3262520,2824
1,9718458,4.72859200,2030914852,2825
2,9719470,1.95170000,3274410,2825
1,9720474,4.72870100,2030961678,2826
2,9721486,1.95754200,3284210,2826
1,9722496,4.72776400,2030558913,2827
2,9723502,1.95940100,3287330,2827
1,9724512,4.72776400,2030558913,2828
2,9725524,1.95940100,3287330,2828
1,9726534,4.72777800,2030565089,2829
2,9727540,1.95179600,3274570,2829
1,9728550,4.72932000,2031227401,2830
2,9729563,1.94573400,3264400,2830
1,9730566,4.72905500,2031113870,2831
2,9731579,1.95073500,3272790,2831
1,9732589,4.72962300,2031357851,2832
2,9733601,1.95169500,3274400,2832
1,9734605,4.72962300,2031357851,2833
2,9735617,1.95169500,3274400,2833
