src,hw_us,value,raw_code,seq
1,3296586797,2.723758,1169844949,1578957
2,3296587806,-0.009251,-15520,1578957
1,3296588813,2.723758,1169844949,1578958
2,3296589822,0.002158,3620,1578958
1,3296590829,2.724694,1170247244,1578959
2,3296591838,0.006819,11440,1578959
1,3296592845,2.72534,1170524557,1578960
2,3296593861,0.004619,7750,1578960
1,3296594868,2.725328,1170519540,1578961
2,3296595877,8.3e-05,140,1578961
1,3296596884,2.725828,1170734144,1578962
2,3296597893,-0.003904,-6550,1578962
1,3296598900,2.725828,1170734144,1578963
2,3296599909,-0.003904,-6550,1578963
1,3296600916,2.72493,1170348373,1578964
2,3296601925,-0.0018,-3020,1578964
1,3296602932,2.723768,1169849514,1578965
2,3296603941,0.000185,310,1578965
1,3296604948,2.724186,1170029079,1578966
2,3296605957,0.00475,7970,1578966
1,3296606964,2.724984,1170371660,1578967
2,3296607973,0.003439,5770,1578967
1,3296608980,2.724984,1170371660,1578968
2,3296609995,0.003439,5770,1578968
1,3296611002,2.725102,1170422272,1578969
2,3296612011,-0.002807,-4710,1578969
1,3296613018,2.725525,1170604177,1578970
2,3296614027,-0.001353,-2270,1578970
1,3296615034,2.724911,1170340302,1578971
2,3296616043,-0.001031,-1730,1578971
1,3296617050,2.723933,1169920287,1578972
2,3296618059,0.003046,5110,1578972
1,3296619066,2.724286,1170071756,1578973
2,3296620075,0.003046,5110,1578973
1,3296621082,2.724286,1170071756,1578974
2,3296622091,0.009096,15260,1578974
1,3296623098,2.725148,1170441955,1578975
2,3296624107,-0.001603,-2690,1578975
1,3296625114,2.725141,1170439008,1578976
2,3296626129,-0.002193,-3680,1578976
1,3296627136,2.725816,1170728870,1578977
2,3296628145,-0.001055,-1770,1578977
1,3296629152,2.725385,1170543713,1578978
2,3296630161,-0.001055,-1770,1578978
1,3296631168,2.725385,1170543713,1578979
2,3296632177,-0.001436,-2410,1578979
1,3296633184,2.724215,1170041387,1578980
2,3296634193,0.011402,19130,1578980
1,3296635200,2.724247,1170054889,1578981
2,3296636209,0.003129,5250,1578981
1,3296637216,2.725085,1170414949,1578982
2,3296638225,0.001156,1940,1578982
1,3296639232,2.72453,1170176671,1578983
2,3296640241,0.001156,1940,1578983
1,3296641248,2.72453,1170176671,1578984
2,3296642264,0.00807,13540,1578984
1,3296643264,2.72506,1170404091,1578985
2,3296644280,0.000906,1520,1578985
1,3296645287,2.724752,1170271933,1578986
2,3296646296,-0.000823,-1380,1578986
1,3296647303,2.72351,1169738556,1578987
2,3296648312,0.004852,8140,1578987
1,3296649319,2.723648,1169797857,1578988
2,3296650328,0.00453,7600,1578988
1,3296651335,2.723648,1169797857,1578989
2,3296652344,0.00453,7600,1578989
1,3296653351,2.724925,1170346460,1578990
2,3296654360,0.007987,13400,1578990
1,3296655367,2.724553,1170186767,1578991
2,3296656376,0.002396,4020,1578991
1,3296657383,2.725294,1170504987,1578992
2,3296658392,0.004077,6840,1578992
1,3296659399,2.725197,1170463350,1578993
2,3296660414,-0.002623,-4400,1578993
1,3296661421,2.725197,1170463350,1578994
2,3296662430,-0.002623,-4400,1578994
1,3296663437,2.723923,1169916033,1578995
2,3296664446,0.004005,6720,1578995
1,3296665453,2.723622,1169786687,1578996
2,3296666462,-0.002003,-3360,1578996
1,3296667469,2.724976,1170368427,1578997
2,3296668478,-0.00689,-11560,1578997
1,3296669485,2.724554,1170187157,1578998
2,3296670494,0.002074,3480,1578998
1,3296671501,2.725257,1170488919,1578999
2,3296672510,0.002074,3480,1578999
1,3296673517,2.725257,1170488919,1579000
2,3296674533,0.004888,8200,1579000
1,3296675533,2.725383,1170543200,1579001
2,3296676549,0.000173,290,1579001
1,3296677556,2.724161,1170018089,1579002
2,3296678565,0.011683,19600,1579002
1,3296679572,2.723899,1169905979,1579003
2,3296680581,-0.006646,-11150,1579003
1,3296681588,2.725014,1170384662,1579004
2,3296682597,-0.006646,-11150,1579004
1,3296683604,2.725014,1170384662,1579005
2,3296684613,-0.004148,-6960,1579005
1,3296685620,2.724574,1170195756,1579006
2,3296686629,-0.000668,-1120,1579006
1,3296687636,2.725129,1170433906,1579007
2,3296688645,-0.002682,-4500,1579007
1,3296689652,2.725381,1170542310,1579008
2,3296690661,-0.004232,-7100,1579008
1,3296691668,2.724178,1170025461,1579009
2,3296692683,-0.001323,-2220,1579009
1,3296693690,2.724178,1170025461,1579010
2,3296694699,-0.001323,-2220,1579010
1,3296695706,2.723739,1169837198,1579011
2,3296696715,0.00934,15670,1579011
1,3296697722,2.724855,1170316280,1579012
2,3296698731,0.008857,14860,1579012
1,3296699738,2.724627,1170218552,1579013
2,3296700747,0.004226,7090,1579013
1,3296701754,2.725008,1170381767,1579014
2,3296702763,0.011075,18580,1579014
1,3296703770,2.725008,1170381767,1579015
2,3296704779,0.011075,18580,1579015
1,3296705786,2.725274,1170496103,1579016
2,3296706801,-0.00369,-6190,1579016
1,3296707808,2.724076,1169981617,1579017
2,3296708817,-0.002706,-4540,1579017
1,3296709824,2.723503,1169735750,1579018
2,3296710833,-0.00273,-4580,1579018
1,3296711840,2.724521,1170172847,1579019
2,3296712849,0.005949,9980,1579019
1,3296713856,2.724521,1170172847,1579020
2,3296714865,0.005949,9980,1579020
1,3296715872,2.724479,1170154625,1579021
2,3296716881,0.002062,3460,1579021
1,3296717888,2.724989,1170373835,1579022
2,3296718897,-0.000852,-1430,1579022
1,3296719904,2.725575,1170625399,1579023
2,3296720920,0.007546,12660,1579023
1,3296721920,2.724407,1170124048,1579024
2,3296722936,0.013494,22640,1579024
1,3296723943,2.723682,1169812489,1579025
2,3296724952,0.013494,22640,1579025
1,3296725959,2.723682,1169812489,1579026
2,3296726968,0.003719,6240,1579026
1,3296727975,2.724577,1170197150,1579027
2,3296728984,0.001872,3140,1579027
1,3296729991,2.724689,1170244952,1579028
2,3296731000,0.006807,11420,1579028
1,3296732007,2.724887,1170330139,1579029
2,3296733016,0.000244,410,1579029
1,3296734023,2.725518,1170600913,1579030
2,3296735032,0.000244,410,1579030
1,3296736039,2.725518,1170600913,1579031
2,3296737048,0.010008,16790,1579031
1,3296738055,2.724533,1170177894,1579032
2,3296739070,0.011802,19800,1579032
1,3296740077,2.723694,1169817654,1579033
2,3296741086,-0.001192,-2000,1579033
1,3296742093,2.724714,1170255776,1579034
2,3296743102,-0.001085,-1820,1579034
1,3296744109,2.725342,1170525443,1579035
2,3296745118,-0.006199,-10400,1579035
1,3296746125,2.725342,1170525443,1579036
2,3296747134,-0.006199,-10400,1579036
1,3296748141,2.725504,1170594967,1579037
2,3296749150,0.000644,1080,1579037
1,3296750157,2.725843,1170740534,1579038
2,3296751166,0.001407,2360,1579038
1,3296752173,2.724862,1170319398,1579039
2,3296753189,-0.008082,-13560,1579039
