src,hw_us,value,raw_code,seq
1,304911485,4.75346900,2041599324,147348
3,307108195,0.51506400,0,223644
4,307108195,0.12557100,0,223644
2,304912493,1.79092300,3004670,147348
1,304913507,4.75346900,2041599324,147349
2,304914516,1.79360500,3009170,147349
1,304915523,4.75151700,2040761247,147350
2,304916532,1.80479300,3027940,147350
1,304917539,4.75353700,2041628536,147351
2,304918554,1.80133600,3022140,147351
1,304919561,4.75465800,2042110199,147352
2,304920570,1.80146700,3022360,147352
1,304921577,4.75194000,2040942670,147353
2,304922593,1.80120500,3021920,147353
1,304923600,4.75194000,2040942670,147354
2,304924609,1.80120500,3021920,147354
1,304925616,4.75444700,2042019169,147355
2,304926625,1.80358300,3025910,147355
1,304927632,4.75514000,2042316913,147356
2,304928647,1.79757500,3015830,147356
1,304929654,4.75252500,2041194087,147357
2,304930663,1.79465400,3010930,147357
1,304931670,4.75270700,2041271822,147358
2,304932686,1.79448700,3010650,147358
1,304933693,4.75270700,2041271822,147359
2,304934701,1.79448700,3010650,147359
1,304935708,4.75496200,2042240488,147360
2,304936724,1.80180100,3022920,147360
1,304937731,4.75343800,2041585898,147361
2,304938740,1.80217000,3023540,147361
1,304939747,4.75295100,2041376835,147362
2,304940756,1.79751500,3015730,147362
1,304941763,4.75524000,2042359901,147363
2,304942778,1.80305800,3025030,147363
1,304943785,4.75398300,2041819976,147364
2,304944794,1.80305800,3025030,147364
1,304945801,4.75398300,2041819976,147365
2,304946817,1.79871900,3017750,147365
1,304947824,4.74997400,2040098224,147366
2,304948833,1.80086500,3021350,147366
1,304949840,4.75180800,2040886005,147367
2,304950849,1.79878500,3017860,147367
1,304951856,4.75375400,2041721917,147368
2,304952871,1.80357700,3025900,147368
1,304953878,4.75126400,2040652453,147369
2,304954887,1.80357700,3025900,147369
1,304955894,4.75126400,2040652453,147370
2,304956909,1.79359300,3009150,147370
1,304957917,4.75059700,2040365677,147371
2,304958925,1.79052400,3004000,147371
1,304959932,4.75325200,2041506087,147372
2,304960948,1.79573300,3012740,147372
1,304961955,4.75067800,2040400505,147373
2,304962964,1.79779500,3016200,147373
1,304963971,4.74963700,2039953384,147374
2,304964980,1.79548300,3012320,147374
1,304965987,4.74963700,2039953384,147375
2,304967002,1.79548300,3012320,147375
1,304968009,4.75311200,2041446095,147376
2,304969018,1.80506700,3028400,147376
1,304970025,4.75292500,2041365708,147377
2,304971041,1.79593000,3013070,147377
1,304972048,4.74973600,2039996117,147378
2,304973057,1.80143100,3022300,147378
1,304974064,4.75260200,2041226816,147379
2,304975073,1.80534700,3028870,147379
1,304976080,4.75260200,2041226816,147380
2,304977095,1.80534700,3028870,147380
1,304978102,4.75387500,2041773821,147381
2,304979111,1.79538700,3012160,147381
1,304980118,4.75061800,2040374897,147382
2,304981133,1.78851500,3000630,147382
1,304982140,4.75009500,2040150297,147383
2,304983149,1.79438000,3010470,147383
1,304984156,4.75248500,2041176819,147384
2,304985172,1.80689700,3031470,147384
1,304986179,4.75076600,2040438454,147385
2,304987188,1.80689700,3031470,147385
1,304988195,4.75076600,2040438454,147386
2,304989204,1.79997100,3019850,147386
1,304990211,4.74966100,2039963972,147387
2,304991226,1.79387900,3009630,147387
1,304992233,4.75037600,2040270864,147388
2,304993242,1.79937500,3018850,147388
1,304994249,4.75054400,2040343143,147389
2,304995265,1.80504900,3028370,147389
1,304996272,4.74836600,2039407652,147390
2,304997281,1.80504900,3028370,147390
1,304998288,4.74836600,2039407652,147391
2,304999297,1.79904700,3018300,147391
1,305000304,4.74953600,2039909860,147392
2,305001319,1.80627100,3030420,147392
1,305002326,4.75235700,2041121520,147393
2,305003335,1.80537700,3028920,147393
1,305004342,4.74950800,2039898121,147394
2,305005357,1.80238500,3023900,147394
1,305006364,4.74821000,2039340767,147395
2,305007373,1.80207500,3023380,147395
1,305008380,4.74821000,2039340767,147396
2,305009396,1.80207500,3023380,147396
1,305010403,4.75131000,2040671958,147397
2,305011412,1.80198600,3023230,147397
1,305012419,4.75181800,2040890339,147398
2,305013428,1.80379800,3026270,147398
1,305014435,4.74928700,2039803119,147399
2,305015450,1.81176700,3039640,147399
1,305016457,4.74974700,2040000798,147400
2,305017466,1.80159800,3022580,147400
1,305018473,4.74974700,2040000798,147401
3,307212581,0.57394100,0,223645
4,307212581,0.13174200,0,223645
2,305019489,1.80159800,3022580,147401
1,305020496,4.74995500,2040089964,147402
2,305021505,1.80323700,3025330,147402
1,305022512,4.74592100,2038357661,147403
2,305023521,1.81041400,3037370,147403
1,305024534,4.74806800,2039279573,147404
2,305025543,1.80531100,3028810,147404
1,305026550,4.75034300,2040256805,147405
2,305027559,1.80586600,3029740,147405
1,305028566,4.75034300,2040256805,147406
2,305029581,1.80586600,3029740,147406
1,305030589,4.74717700,2038897119,147407
2,305031597,1.80880400,3034670,147407
1,305032604,4.74803700,2039266241,147408
2,305033620,1.80996100,3036610,147408
1,305034627,4.74899400,2039677601,147409
2,305035636,1.80658700,3030950,147409
1,305036643,4.74761900,2039086619,147410
2,305037658,1.79757500,3015830,147410
1,305038665,4.74635000,2038541787,147411
2,305039674,1.79757500,3015830,147411
1,305040681,4.74635000,2038541787,147412
2,305041690,1.80323700,3025330,147412
1,305042704,4.74810600,2039296025,147413
2,305043713,1.80437600,3027240,147413
1,305044720,4.74925300,2039788741,147414
2,305045729,1.80516200,3028560,147414
1,305046736,4.74775700,2039145910,147415
2,305047751,1.80755900,3032580,147415
1,305048758,4.74955800,2039919538,147416
2,305049767,1.80755900,3032580,147416
1,305050774,4.74955800,2039919538,147417
2,305051789,1.80190800,3023100,147417
1,305052796,4.74939600,2039850117,147418
2,305053806,1.80510900,3028470,147418
1,305054812,4.74578900,2038300962,147419
2,305055821,1.80401800,3026640,147419
1,305056835,4.74617100,2038464809,147420
2,305057844,1.81106900,3038470,147420
1,305058851,4.74925000,2039787352,147421
2,305059860,1.80828000,3033790,147421
1,305060867,4.74925000,2039787352,147422
2,305061882,1.80828000,3033790,147422
1,305062889,4.74915200,2039745390,147423
2,305063898,1.80115100,3021830,147423
1,305064905,4.74596800,2038377887,147424
2,305065921,1.80033400,3020460,147424
1,305066928,4.74794800,2039227942,147425
2,305067937,1.80323700,3025330,147425
1,305068944,4.74733600,2038965386,147426
2,305069953,1.79700300,3014870,147426
1,305070960,4.74733600,2038965386,147427
2,305071975,1.79700300,3014870,147427
1,305072982,4.74481200,2037881089,147428
2,305073991,1.79833800,3017110,147428
1,305074998,4.74661200,2038654337,147429
2,305076014,1.80684900,3031390,147429
1,305077020,4.74843100,2039435835,147430
2,305078029,1.80472700,3027830,147430
1,305079036,4.74559300,2038216564,147431
2,305080052,1.79925600,3018650,147431
1,305081059,4.74551200,2038181801,147432
2,305082068,1.79925600,3018650,147432
1,305083075,4.74551200,2038181801,147433
2,305084084,1.80264100,3024330,147433
1,305085091,4.74806900,2039280037,147434
2,305086106,1.81394800,3043300,147434
1,305087113,4.74645700,2038587881,147435
2,305088122,1.81099200,3038340,147435
1,305089129,4.74369400,2037401251,147436
2,305090145,1.80249800,3024090,147436
1,305091152,4.74591800,2038356358,147437
2,305092161,1.80249800,3024090,147437
1,305093168,4.74591800,2038356358,147438
2,305094177,1.80662300,3031010,147438
1,305095184,4.74695900,2038803303,147439
2,305096199,1.80015600,3020160,147439
1,305097206,4.74454800,2037767910,147440
2,305098215,1.79999500,3019890,147440
1,305099222,4.74422600,2037629451,147441
2,305100237,1.80608000,3030100,147441
1,305101244,4.74719000,2038902484,147442
2,305102253,1.79892800,3018100,147442
1,305103261,4.74719000,2038902484,147443
2,305104269,1.79892800,3018100,147443
1,305105283,4.74432700,2037672647,147444
2,305106292,1.80299300,3024920,147444
1,305107299,4.74368100,2037395322,147445
2,305108308,1.80463800,3027680,147445
1,305109315,4.74624900,2038498609,147446
2,305110330,1.80831600,3033850,147446
1,305111337,4.74534000,2038108132,147447
2,305112346,1.81016900,3036960,147447
1,305113353,4.74534000,2038108132,147448
2,305114369,1.81016900,3036960,147448
1,305115376,4.74173200,2036558476,147449
2,305116385,1.81295900,3041640,147449
1,305117392,4.74489700,2037917716,147450
2,305118401,1.81205900,3040130,147450
1,305119414,4.74746800,2039021727,147451
2,305120423,1.81458600,3044370,147451
1,305121430,4.74370100,2037403843,147452
2,305122439,1.80974000,3036240,147452
3,307316943,0.52856400,0,223646
4,307316943,0.14977700,0,223646
1,305123446,4.74354700,2037337957,147453
2,305124461,1.80974000,3036240,147453
1,305125468,4.74354700,2037337957,147454
2,305126477,1.80848800,3034140,147454
1,305127484,4.74555700,2038201064,147455
2,305128500,1.81543200,3045790,147455
1,305129507,4.74258500,2036924565,147456
