level_mA,cycle,i_mA,baseline_V,peak_V,rise_V,clipped
150,1,224.85,1.92004,1.94466,0.02462,0
150,2,221.19,1.93286,1.95780,0.02494,0
150,3,225.78,1.95693,1.96843,0.01150,0
150,4,231.21,1.93963,1.95744,0.01781,0
150,5,220.72,1.90023,1.91636,0.01613,0
250,1,358.37,1.91729,1.92434,0.00704,0
250,2,270.57,1.89320,1.90311,0.00990,0
250,3,254.53,1.87262,1.89658,0.02396,0
250,4,266.82,1.89286,1.90599,0.01313,0
250,5,287.23,1.88078,1.89576,0.01497,0
350,1,476.05,1.93823,1.94657,0.00834,0
350,2,361.67,1.89405,1.90796,0.01390,0
350,3,377.31,1.87749,1.89148,0.01398,0
350,4,422.24,1.93348,1.96152,0.02804,0
350,5,491.78,1.95054,1.95701,0.00647,0
450,1,617.86,1.95117,1.95565,0.00448,0
450,2,532.31,1.95082,1.97683,0.02601,0
450,3,665.91,1.97654,1.98886,0.01232,0
450,4,634.06,1.92025,1.92700,0.00675,0
450,5,462.15,1.90568,1.91304,0.00736,0
550,1,804.83,2.00423,2.01543,0.01120,0
550,2,785.06,2.00067,2.01377,0.01310,0
550,3,816.71,2.02603,2.03217,0.00614,0
550,4,769.36,1.99398,2.00227,0.00829,0
550,5,561.03,1.93486,1.94235,0.00749,0
650,1,1211.88,3.43443,3.39714,-0.03729,0
650,2,967.71,2.72870,2.72818,-0.00052,0
650,3,931.42,2.67604,2.68081,0.00477,0
650,4,752.69,2.43391,2.44952,0.01560,0
650,5,778.47,2.44195,2.44505,0.00310,0
