src,hw_us,value,raw_code,seq
2,297291574,1.92362100,3227300,143892
1,297292581,4.76665000,2047260562,143895
2,297293587,1.92285800,3226020,143893
1,297294594,4.76723600,2047512033,143896
2,297295603,1.92338200,3226900,143894
1,297296610,4.76695800,2047393076,143897
3,299493253,0.47354100,0,148793
4,299493253,0.09947000,0,148793
2,297297615,1.92636900,3231910,143895
1,297298626,4.76578800,2046890139,143898
2,297299635,1.93240600,3242040,143896
1,297300642,4.76575300,2046875185,143899
2,297301651,1.93240600,3242040,143897
1,297302658,4.76575300,2046875185,143900
2,297303667,1.92279800,3225920,143898
1,297304667,4.76661300,2047244515,143901
2,297305683,1.92385900,3227700,143899
1,297306683,4.76611800,2047032062,143902
2,297307689,1.92472900,3229160,143900
1,297308702,4.76656800,2047225327,143903
2,297309708,1.92312600,3226470,143901
1,297310715,4.76632300,2047120187,143904
2,297311721,1.93271600,3242560,143902
1,297312728,4.76632300,2047120187,143905
2,297313734,1.93271600,3242560,143903
1,297314747,4.76512200,2046604475,143906
2,297315753,1.93028500,3238480,143904
1,297316760,4.76504000,2046569375,143907
2,297317766,1.91754700,3217110,143905
1,297318773,4.76600100,2046981818,143908
2,297319779,1.92022300,3221600,143906
1,297320792,4.76554700,2046786714,143909
2,297321798,1.92196400,3224520,143907
1,297322805,4.76554700,2046786714,143910
2,297323811,1.92196400,3224520,143908
1,297324818,4.76581700,2046902963,143911
2,297325827,1.93055300,3238930,143909
1,297326834,4.76556600,2046794828,143912
2,297327843,1.93085100,3239430,143910
1,297328850,4.76418700,2046202686,143913
2,297329859,1.92381700,3227630,143911
1,297330866,4.76380100,2046036867,143914
2,297331875,1.91987800,3221020,143912
1,297332882,4.76380100,2046036867,143915
2,297333887,1.91987800,3221020,143913
1,297334891,4.76479600,2046464112,143916
2,297335907,1.92846700,3235430,143914
1,297336907,4.76449400,2046334728,143917
2,297337913,1.93457000,3245670,143915
1,297338926,4.76482900,2046478400,143918
2,297339932,1.92249400,3225410,143916
1,297340936,4.76485800,2046490730,143919
2,297341948,1.92440200,3228610,143917
1,297342955,4.76352600,2045918896,143920
2,297343961,1.92440200,3228610,143918
1,297344968,4.76352600,2045918896,143921
2,297345974,1.92514100,3229850,143919
1,297346987,4.76322200,2045788144,143922
2,297347993,1.91846500,3218650,143920
1,297349000,4.76425000,2046229613,143923
2,297350006,1.91410800,3211340,143921
1,297351013,4.76392400,2046089551,143924
2,297352019,1.91929300,3220040,143922
1,297353032,4.76419700,2046207279,143925
2,297354038,1.91929300,3220040,143923
1,297355045,4.76419700,2046207279,143926
2,297356051,1.92042600,3221940,143924
1,297357058,4.76422700,2046219781,143927
2,297358067,1.92993300,3237890,143925
1,297359074,4.76287800,2045640515,143928
2,297360083,1.93333000,3243590,143926
1,297361090,4.76226900,2045378633,143929
2,297362099,1.92390100,3227770,143927
1,297363106,4.76331400,2045827760,143930
2,297364115,1.92453300,3228830,143928
1,297365122,4.76331400,2045827760,143931
2,297366131,1.92453300,3228830,143929
1,297367131,4.76322200,2045788274,143932
2,297368137,1.92789400,3234470,143930
1,297369150,4.76358700,2045944955,143933
2,297370156,1.92771600,3234170,143931
1,297371163,4.76393100,2046092898,143934
2,297372169,1.92976000,3237600,143932
1,297373176,4.76279500,2045604879,143935
2,297374182,1.92923500,3236720,143933
1,297375195,4.76279500,2045604879,143936
2,297376201,1.92923500,3236720,143934
1,297377208,4.76212700,2045318152,143937
2,297378214,1.92303100,3226310,143935
1,297379221,4.76316000,2045761535,143938
2,297380227,1.92721500,3233330,143936
1,297381240,4.76327500,2045811099,143939
2,297382246,1.92900900,3236340,143937
1,297383253,4.76341900,2045872933,143940
2,297384259,1.92649400,3232120,143938
1,297385266,4.76341900,2045872933,143941
2,297386271,1.92649400,3232120,143939
1,297387282,4.76371100,2045998301,143942
2,297388291,1.93073800,3239240,143940
1,297389298,4.76287800,2045640453,143943
2,297390307,1.92620200,3231630,143941
1,297391314,4.76195000,2045241995,143944
2,297392323,1.92191600,3224440,143942
1,297393323,4.76270000,2045563868,143945
2,297394339,1.92617200,3231580,143943
1,297395339,4.76283800,2045623270,143946
2,297396345,1.92617200,3231580,143944
1,297397358,4.76283800,2045623270,143947
2,297398364,1.92307800,3226390,143945
1,297399371,4.76268200,2045556263,143948
2,297400377,1.92409200,3228090,143946
1,297401384,4.76285400,2045630160,143949
2,297402390,1.92697600,3232930,143947
3,299597221,0.48390000,0,148794
4,299597221,0.09665100,0,148794
1,297403397,4.76196500,2045248553,143950
2,297404412,1.92588600,3231100,143948
1,297405410,4.76097000,2044821162,143951
2,297406425,1.92588600,3231100,143949
1,297407429,4.76097000,2044821162,143952
2,297408435,1.91975200,3220810,143950
1,297409442,4.76156000,2045074137,143953
2,297410451,1.93258500,3242340,143951
1,297411458,4.76191400,2045226484,143954
2,297412467,1.93298500,3243010,143952
1,297413474,4.76176800,2045163880,143955
2,297414483,1.93366400,3244150,143953
1,297415490,4.76202700,2045274851,143956
2,297416499,1.93705000,3249830,143954
1,297417506,4.76202700,2045274851,143957
2,297418515,1.93705000,3249830,143955
1,297419515,4.76135300,2044985612,143958
2,297420531,1.93804500,3251500,143956
1,297421531,4.76040300,2044577711,143959
2,297422537,1.93787800,3251220,143957
1,297423550,4.76088700,2044785386,143960
2,297424556,1.93640600,3248750,143958
1,297425563,4.76151600,2045055352,143961
2,297426569,1.92146900,3223690,143959
1,297427576,4.76151600,2045055352,143962
2,297428582,1.92146900,3223690,143960
1,297429589,4.76140000,2045005518,143963
2,297430604,1.92264900,3225670,143961
1,297431602,4.76179500,2045175476,143964
2,297432617,1.93547000,3247180,143962
1,297433621,4.76134800,2044983604,143965
2,297434627,1.92387100,3227720,143963
1,297435634,4.76021200,2044495597,143966
2,297436643,1.92450300,3228780,143964
1,297437650,4.76021200,2044495597,143967
2,297438659,1.92450300,3228780,143965
1,297439666,4.76048100,2044611133,143968
2,297440675,1.93182200,3241060,143966
1,297441682,4.76122300,2044929982,143969
2,297442691,1.93608400,3248210,143967
1,297443698,4.76091300,2044796696,143970
2,297444707,1.92735200,3233560,143968
1,297445714,4.76112800,2044889002,143971
2,297446719,1.92749500,3233800,143969
1,297447723,4.76069100,2044700997,143972
2,297448739,1.92749500,3233800,143970
1,297449739,4.76069100,2044700997,143973
2,297450745,1.93320500,3243380,143971
1,297451758,4.75944400,2044165627,143974
2,297452764,1.93680500,3249420,143972
1,297453771,4.75942700,2044158154,143975
2,297454777,1.92953400,3237220,143973
1,297455784,4.76030100,2044533480,143976
2,297456790,1.92200500,3224590,143974
1,297457803,4.75992100,2044370605,143977
2,297458809,1.92200500,3224590,143975
1,297459816,4.75992100,2044370605,143978
2,297460822,1.92453300,3228830,143976
1,297461829,4.76048800,2044613768,143979
2,297462835,1.92103400,3222960,143977
1,297463848,4.76020700,2044493404,143980
2,297464854,1.92861600,3235680,143978
1,297465861,4.75890100,2043932326,143981
2,297466867,1.93742500,3250460,143979
1,297467874,4.75876700,2043874830,143982
2,297468883,1.93226300,3241800,143980
1,297469890,4.75876700,2043874830,143983
2,297470899,1.93226300,3241800,143981
1,297471906,4.75986700,2044347257,143984
2,297472915,1.92415100,3228190,143982
1,297473922,4.75928400,2044096911,143985
2,297474931,1.93250200,3242200,143983
1,297475938,4.76000700,2044407601,143986
2,297476943,1.93363400,3244100,143984
1,297477950,4.75994400,2044380259,143987
2,297478956,1.93613200,3248290,143985
