level_mA,cycle,i_mA,baseline_V,peak_V,rise_V,clipped
150,1,126.41,2.02617,2.04908,0.02292,0
150,2,157.59,2.02878,2.04508,0.01631,0
150,3,154.08,2.03867,2.05736,0.01869,0
150,4,158.07,2.04299,2.05734,0.01435,0
150,5,156.51,2.03614,2.05089,0.01475,0
150,6,153.43,2.03228,2.05141,0.01914,0
250,1,116.25,2.01308,2.03126,0.01818,0
250,2,118.27,2.03894,2.06487,0.02593,0
250,3,118.90,2.04230,2.05740,0.01510,0
250,4,117.13,2.04274,2.06222,0.01948,0
250,5,115.90,2.04591,2.06599,0.02008,0
250,6,119.89,2.03146,2.04296,0.01150,0
