level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,100,1,1,38.96,-16.21,-3952.98,1.90818,1.92553,0.01735,0
150,100,2,0,39.77,6.68,-3963.95,1.90544,1.92370,0.01826,0
150,100,3,0,39.34,-6.52,-3966.78,1.90595,1.92124,0.01529,0
150,100,4,0,39.42,6.75,-3966.87,1.90619,1.92139,0.01521,0
150,100,5,0,38.87,4.27,-3963.44,1.90695,1.92789,0.02094,0
250,100,1,1,38.91,-11.89,-3960.58,1.90779,1.92521,0.01741,0
250,100,2,0,38.30,5.38,-3964.79,1.90664,1.92198,0.01534,0
250,100,3,0,38.24,7.98,-3966.40,1.90733,1.92516,0.01784,0
250,100,4,0,39.05,-7.50,-3961.10,1.90818,1.92261,0.01443,0
250,100,5,0,39.67,5.04,-3965.26,1.90595,1.92171,0.01577,0
350,100,1,1,38.93,8.36,-3969.01,1.90642,1.92714,0.02072,0
350,100,2,0,38.18,-3.16,-3965.99,1.90748,1.92482,0.01734,0
350,100,3,0,39.54,-6.00,-3965.35,1.90745,1.92062,0.01316,0
350,100,4,0,38.88,4.31,-3968.32,1.90699,1.92423,0.01725,0
350,100,5,0,38.36,3.95,-3969.80,1.90616,1.92120,0.01504,0
450,100,1,1,38.99,7.44,-3967.02,1.90816,1.92839,0.02023,0
450,100,2,0,39.37,-4.49,-3975.26,1.90486,1.91751,0.01265,0
450,100,3,0,38.27,-4.36,-3970.59,1.90640,1.92175,0.01535,0
450,100,4,0,39.27,-4.27,-3969.97,1.90678,1.92040,0.01362,0
450,100,5,0,37.63,3.25,-3969.40,1.90667,1.92366,0.01699,0
550,100,1,1,38.93,-8.31,-3970.08,1.90810,1.92745,0.01935,0
550,100,2,0,40.20,5.12,-3971.74,1.90677,1.92463,0.01785,0
550,100,3,0,39.30,-2.68,-3972.71,1.90673,1.92550,0.01877,0
550,100,4,0,38.03,-3.05,-3978.02,1.90481,1.92121,0.01640,0
550,100,5,0,39.46,-7.46,-3966.68,1.90790,1.92485,0.01696,0
650,100,1,1,38.90,-7.73,-3973.78,1.90706,1.92346,0.01640,0
650,100,2,0,38.97,-4.64,-3981.60,1.90445,1.91745,0.01300,0
650,100,3,0,38.66,-4.88,-3977.12,1.90548,1.92239,0.01691,0
650,100,4,0,39.32,4.83,-3979.37,1.90510,1.91755,0.01244,0
650,100,5,0,39.02,-4.35,-3976.84,1.90555,1.92254,0.01699,0
750,100,1,1,38.95,-15.53,-3968.04,1.90939,1.92383,0.01444,0
750,100,2,0,37.99,4.41,-3982.02,1.90392,1.91808,0.01415,0
750,100,3,0,38.30,-3.83,-3974.94,1.90673,1.92261,0.01588,0
750,100,4,0,38.35,5.94,-3980.43,1.90402,1.92076,0.01674,0
750,100,5,0,38.91,4.34,-3978.96,1.90483,1.92111,0.01628,0
850,100,1,1,38.92,-8.63,-3972.33,1.90775,1.92618,0.01843,0
850,100,2,0,37.54,4.39,-3976.68,1.90661,1.92210,0.01549,0
850,100,3,0,39.17,-5.12,-3975.87,1.90772,1.92043,0.01271,0
850,100,4,0,40.29,-5.75,-3975.85,1.90762,1.91948,0.01186,0
850,100,5,0,39.30,3.88,-3979.24,1.90592,1.92211,0.01618,0
950,100,1,1,38.91,12.48,-3986.30,1.90329,1.92237,0.01909,0
950,100,2,0,39.15,5.73,-3981.68,1.90583,1.92198,0.01615,0
950,100,3,0,38.28,3.48,-3989.05,1.90279,1.91881,0.01601,0
950,100,4,0,39.52,-4.95,-3979.09,1.90639,1.92039,0.01400,0
950,100,5,0,37.91,-3.43,-3979.40,1.90659,1.91994,0.01335,0
150,200,1,1,38.94,-6.69,-3979.46,1.90779,1.92409,0.01629,0
150,200,2,0,38.28,4.75,-3976.99,1.90759,1.92325,0.01566,0
150,200,3,0,38.96,-9.62,-3978.43,1.90605,1.92080,0.01475,0
150,200,4,0,38.69,6.17,-3982.67,1.90704,1.92091,0.01387,0
150,200,5,0,38.81,-3.47,-3976.09,1.90735,1.92320,0.01585,0
250,200,1,1,38.90,-9.73,-3974.35,1.90853,1.92612,0.01759,0
250,200,2,0,39.38,-8.19,-3975.77,1.90888,1.92455,0.01567,0
250,200,3,0,38.84,4.23,-3986.89,1.90465,1.92522,0.02056,0
250,200,4,0,38.44,-5.45,-3977.20,1.90742,1.91962,0.01220,0
250,200,5,0,38.68,8.29,-3986.77,1.90528,1.91961,0.01432,0
350,200,1,1,38.93,-11.85,-3975.15,1.90865,1.92537,0.01672,0
350,200,2,0,39.93,-8.36,-3975.55,1.90799,1.92162,0.01363,0
350,200,3,0,39.27,-8.14,-3982.85,1.90665,1.92400,0.01735,0
350,200,4,0,38.47,-7.02,-3984.82,1.90586,1.92062,0.01476,0
350,200,5,0,39.11,-3.94,-3984.37,1.90637,1.92009,0.01371,0
450,200,1,1,38.94,7.51,-3986.85,1.90563,1.92115,0.01552,0
450,200,2,0,38.76,7.69,-3987.65,1.90461,1.91753,0.01293,0
450,200,3,0,38.36,6.80,-3988.06,1.90590,1.92134,0.01544,0
450,200,4,0,38.88,-5.04,-3979.51,1.90786,1.92084,0.01298,0
450,200,5,0,38.35,3.65,-3981.31,1.90666,1.92264,0.01598,0
