src,hw_us,value,raw_code,seq
2,2845178337,1.90497600,3196020,1392338
1,2845179344,4.48192900,1924973852,1392338
2,2845180353,1.89684000,3182370,1392339
1,2845181360,4.48209300,1925044167,1392339
2,2845182369,1.90132300,3189890,1392340
1,2845183376,4.48064200,1924420929,1392340
3,2847380672,0.47439400,0,2168817
4,2847380672,0.10263000,0,2168817
2,2845184385,1.91153900,3207030,1392341
1,2845185392,4.48064200,1924420929,1392341
2,2845186401,1.91153900,3207030,1392342
1,2845187408,4.48040500,1924319391,1392342
2,2845188417,1.91383400,3210880,1392343
1,2845189424,4.48145400,1924769773,1392343
2,2845190433,1.90942300,3203480,1392344
1,2845191434,4.48078500,1924482397,1392344
2,2845192443,1.90847500,3201890,1392345
1,2845193450,4.48134800,1924724323,1392345
2,2845194459,1.90627000,3198190,1392346
1,2845195466,4.48134800,1924724323,1392346
2,2845196475,1.90627000,3198190,1392347
1,2845197482,4.48174100,1924893356,1392347
2,2845198491,1.90437400,3195010,1392348
1,2845199498,4.48040500,1924319479,1392348
2,2845200507,1.91159300,3207120,1392349
1,2845201514,4.48004700,1924165347,1392349
2,2845202523,1.90617400,3198030,1392350
1,2845203530,4.48114500,1924637059,1392350
2,2845204539,1.90689600,3199240,1392351
1,2845205546,4.48064500,1924422294,1392351
2,2845206555,1.90689600,3199240,1392352
1,2845207556,4.48064500,1924422294,1392352
2,2845208565,1.90564400,3197140,1392353
1,2845209572,4.48093700,1924547939,1392353
2,2845210581,1.91041800,3205150,1392354
1,2845211588,4.48122600,1924671955,1392354
2,2845212597,1.90025000,3188090,1392355
1,2845213604,4.47975700,1924041037,1392355
2,2845214613,1.90600200,3197740,1392356
1,2845215620,4.47903200,1923729586,1392356
2,2845216629,1.90600200,3197740,1392357
1,2845217636,4.47903200,1923729586,1392357
2,2845218645,1.91149100,3206950,1392358
1,2845219652,4.47984300,1924077851,1392358
2,2845220661,1.91098500,3206100,1392359
1,2845221668,4.47936200,1923871404,1392359
2,2845222677,1.90759900,3200420,1392360
1,2845223684,4.47953900,1923947451,1392360
2,2845224693,1.90225200,3191450,1392361
1,2845225693,4.48000300,1924146826,1392361
2,2845226709,1.90334900,3193290,1392362
1,2845227709,4.48000300,1924146826,1392362
2,2845228718,1.90334900,3193290,1392363
1,2845229725,4.47858400,1923537041,1392363
2,2845230734,1.90867800,3202230,1392364
1,2845231741,4.47780100,1923201017,1392364
2,2845232750,1.90307500,3192830,1392365
1,2845233757,4.47880200,1923630817,1392365
2,2845234766,1.90655600,3198670,1392366
1,2845235773,4.47886200,1923656475,1392366
2,2845236782,1.91022200,3204820,1392367
1,2845237789,4.47886200,1923656475,1392367
2,2845238798,1.91022200,3204820,1392368
1,2845239805,4.47903700,1923731873,1392368
2,2845240814,1.91266500,3208920,1392369
1,2845241821,4.47973900,1924033135,1392369
2,2845242830,1.90945900,3203540,1392370
1,2845243837,4.47865100,1923565937,1392370
2,2845244846,1.91297500,3209440,1392371
1,2845245847,4.47784200,1923218485,1392371
2,2845246856,1.90727700,3199880,1392372
1,2845247863,4.47784200,1923218485,1392372
2,2845248872,1.90727700,3199880,1392373
1,2845249879,4.47873100,1923600309,1392373
2,2845250888,1.90610300,3197910,1392374
1,2845251895,4.47887100,1923660395,1392374
2,2845252904,1.91362500,3210530,1392375
1,2845253911,4.47867200,1923575077,1392375
2,2845254920,1.91113400,3206350,1392376
1,2845255927,4.47908500,1923752517,1392376
2,2845256936,1.91398900,3211140,1392377
1,2845257943,4.47797400,1923275187,1392377
2,2845258952,1.91398900,3211140,1392378
1,2845259959,4.47797400,1923275187,1392378
2,2845260968,1.91185500,3207560,1392379
1,2845261975,4.47684200,1922789256,1392379
2,2845262984,1.90796300,3201030,1392380
1,2845263984,4.47737900,1923019731,1392380
2,2845265000,1.90297400,3192660,1392381
1,2845266000,4.47775400,1923180823,1392381
2,2845267009,1.91015600,3204710,1392382
1,2845268016,4.47777200,1923188324,1392382
2,2845269025,1.91015600,3204710,1392383
1,2845270032,4.47777200,1923188324,1392383
2,2845271041,1.90836800,3201710,1392384
1,2845272048,4.47839100,1923454202,1392384
2,2845273057,1.90127500,3189810,1392385
1,2845274064,4.47760200,1923115167,1392385
2,2845275073,1.90888100,3202570,1392386
1,2845276080,4.47651000,1922646466,1392386
2,2845277089,1.91044200,3205190,1392387
1,2845278096,4.47711900,1922908016,1392387
2,2845279105,1.90705700,3199510,1392388
1,2845280112,4.47711900,1922908016,1392388
2,2845281121,1.90705700,3199510,1392389
1,2845282128,4.47782500,1923210957,1392389
2,2845283137,1.90545900,3196830,1392390
1,2845284144,4.47770900,1923161419,1392390
2,2845285153,1.90380200,3194050,1392391
1,2845286154,4.47836900,1923444963,1392391
2,2845287163,1.91487700,3212630,1392392
1,2845288170,4.47760400,1923116347,1392392
2,2845289179,1.91848300,3218680,1392393
1,2845290186,4.47760400,1923116347,1392393
3,2847484669,0.47754000,0,2168818
4,2847484669,0.09887400,0,2168818
2,2845291195,1.91848300,3218680,1392394
1,2845292202,4.47637500,1922588591,1392394
2,2845293211,1.90281900,3192400,1392395
1,2845294218,4.47667300,1922716507,1392395
2,2845295227,1.89709100,3182790,1392396
1,2845296234,4.47735600,1923009947,1392396
2,2845297243,1.90802200,3201130,1392397
1,2845298250,4.47693500,1922828985,1392397
2,2845299259,1.90627000,3198190,1392398
1,2845300266,4.47693500,1922828985,1392398
2,2845301275,1.90627000,3198190,1392399
1,2845302276,4.47734000,1923002767,1392399
2,2845303285,1.91742200,3216900,1392400
1,2845304292,4.47659600,1922683422,1392400
2,2845305301,1.90922600,3203150,1392401
1,2845306308,4.47511000,1922044929,1392401
2,2845307317,1.90477400,3195680,1392402
1,2845308324,4.47523500,1922099033,1392402
2,2845309333,1.90092900,3189230,1392403
1,2845310340,4.47611700,1922477398,1392403
2,2845311349,1.90092900,3189230,1392404
1,2845312356,4.47611700,1922477398,1392404
2,2845313365,1.90378400,3194020,1392405
1,2845314372,4.47563900,1922272290,1392405
2,2845315381,1.91032300,3204990,1392406
1,2845316381,4.47611000,1922474818,1392406
2,2845317397,1.91337500,3210110,1392407
1,2845318397,4.47591900,1922392707,1392407
2,2845319406,1.90295000,3192620,1392408
1,2845320413,4.47461700,1921833516,1392408
2,2845321422,1.90295000,3192620,1392409
1,2845322429,4.47461700,1921833516,1392409
2,2845323438,1.90680600,3199090,1392410
1,2845324445,4.47468200,1921861180,1392410
2,2845325454,1.91342200,3210190,1392411
1,2845326461,4.47584400,1922360370,1392411
2,2845327470,1.90963700,3203840,1392412
1,2845328477,4.47549100,1922208734,1392412
2,2845329486,1.91168800,3207280,1392413
1,2845330493,4.47610900,1922473976,1392413
2,2845331502,1.90710400,3199590,1392414
1,2845332509,4.47610900,1922473976,1392414
2,2845333518,1.90710400,3199590,1392415
1,2845334525,4.47605100,1922449448,1392415
2,2845335534,1.90187700,3190820,1392416
1,2845336535,4.47461200,1921831392,1392416
2,2845337544,1.90846900,3201880,1392417
1,2845338551,4.47444500,1921759573,1392417
2,2845339560,1.91852500,3218750,1392418
1,2845340567,4.47553700,1922228494,1392418
2,2845341576,1.92090300,3222740,1392419
1,2845342583,4.47553700,1922228494,1392419
2,2845343592,1.92090300,3222740,1392420
1,2845344599,4.47510000,1922040616,1392420
2,2845345608,1.91863200,3218930,1392421
1,2845346615,4.47546100,1922196023,1392421
2,2845347624,1.91425100,3211580,1392422
1,2845348631,4.47549900,1922212393,1392422
2,2845349640,1.91836400,3218480,1392423
1,2845350647,4.47419300,1921651191,1392423
2,2845351656,1.91548500,3213650,1392424
1,2845352656,4.47419300,1921651191,1392424
2,2845353672,1.91548500,3213650,1392425
1,2845354672,4.47383800,1921498603,1392425
2,2845355681,1.91268300,3208950,1392426
1,2845356688,4.47491000,1921958995,1392426
2,2845357697,1.90749800,3200250,1392427
1,2845358704,4.47469000,1921864651,1392427
2,2845359713,1.90970900,3203960,1392428
