src,hw_us,value,raw_code,seq
1,28932419,4.69508100,2016522109,12023
3,31130062,0.48203000,0,0
4,31130062,0.10671400,0,0
2,28933431,1.74267300,2923720,12024
1,28934435,4.69508100,2016522109,12024
2,28935447,1.74267300,2923720,12025
1,28936451,4.69534000,2016633210,12025
2,28937463,1.74443100,2926670,12026
1,28938467,4.69611300,2016965249,12026
2,28939473,1.74081900,2920610,12027
1,28940483,4.69538200,2016651164,12027
2,28941489,1.73933500,2918120,12028
1,28942499,4.69597900,2016907364,12028
2,28943505,1.74228000,2923060,12029
1,28944515,4.69597900,2016907364,12029
2,28945521,1.74228000,2923060,12030
1,28946531,4.69555400,2016725072,12030
2,28947537,1.74350100,2925110,12031
1,28948547,4.69438100,2016221192,12031
2,28949553,1.74354900,2925190,12032
1,28950563,4.69454500,2016291627,12032
2,28951569,1.73804200,2915950,12033
1,28952573,4.69573400,2016802193,12033
2,28953585,1.73981800,2918930,12034
1,28954589,4.69573400,2016802193,12034
2,28955601,1.73981800,2918930,12035
1,28956605,4.69522400,2016583285,12035
2,28957617,1.74322700,2924650,12036
1,28958621,4.69594100,2016891224,12036
2,28959633,1.74652300,2930180,12037
1,28960637,4.69566800,2016773857,12037
2,28961649,1.74384100,2925680,12038
1,28962653,4.69429100,2016182635,12038
2,28963665,1.74249400,2923420,12039
1,28964669,4.69422100,2016152477,12039
2,28965681,1.74249400,2923420,12040
1,28966685,4.69422100,2016152477,12040
2,28967691,1.74438400,2926590,12041
1,28968701,4.69534200,2016633876,12041
2,28969707,1.74612400,2929510,12042
1,28970717,4.69472400,2016368632,12042
2,28971723,1.74198700,2922570,12043
1,28972733,4.69515900,2016555204,12043
2,28973739,1.74310800,2924450,12044
1,28974749,4.69504600,2016506911,12044
2,28975755,1.74310800,2924450,12045
1,28976765,4.69504600,2016506911,12045
2,28977771,1.74453900,2926850,12046
1,28978774,4.69373900,2015945672,12046
2,28979787,1.74632700,2929850,12047
1,28980790,4.69342800,2015811808,12047
2,28981803,1.74362100,2925310,12048
1,28982806,4.69439200,2016226233,12048
2,28983819,1.74546200,2928400,12049
1,28984822,4.69372600,2015939768,12049
2,28985835,1.74479500,2927280,12050
1,28986838,4.69372600,2015939768,12050
2,28987851,1.74479500,2927280,12051
1,28988854,4.69427600,2016176273,12051
2,28989867,1.74377000,2925560,12052
1,28990870,4.69446200,2016256285,12052
2,28991883,1.74413300,2926170,12053
1,28992886,4.69309200,2015667678,12053
2,28993899,1.74675000,2930560,12054
1,28994902,4.69270100,2015499868,12054
2,28995915,1.74553400,2928520,12055
1,28996918,4.69270100,2015499868,12055
2,28997931,1.74553400,2928520,12056
1,28998934,4.69374000,2015946102,12056
2,28999947,1.75092200,2937560,12057
1,29000950,4.69338000,2015791632,12057
2,29001956,1.75101200,2937710,12058
1,29002966,4.69378800,2015966344,12058
