file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_750mA_h400ms,750,400,1,1,0,354.36,740.96,-4226.70,179.888,23.814,0
c00_level_750mA_h400ms,750,400,2,0,0,748.29,3949.01,-4020.68,186.222,124.515,0
c00_level_750mA_h400ms,750,400,3,0,0,748.09,3752.12,-3691.72,196.441,116.689,0
c00_level_750mA_h400ms,750,400,4,0,0,747.98,3783.58,-3656.65,197.697,117.243,0
c01_level_950mA_h300ms,950,300,1,1,0,388.75,804.40,-4210.17,180.519,25.800,0
c01_level_950mA_h300ms,950,300,2,0,0,946.54,6230.99,-4034.53,185.723,200.141,0
c01_level_950mA_h300ms,950,300,3,0,0,946.25,5910.87,-3556.88,200.560,186.547,0
c01_level_950mA_h300ms,950,300,4,0,0,946.66,5983.18,-3581.59,199.820,186.743,0
c02_level_850mA_h400ms,850,400,1,1,0,393.21,1063.17,-4242.36,179.266,33.674,0
c02_level_850mA_h400ms,850,400,2,0,0,848.04,6832.42,-4021.58,186.154,217.291,0
c02_level_850mA_h400ms,850,400,3,0,0,847.44,6446.10,-3645.94,197.669,200.587,0
c02_level_850mA_h400ms,850,400,4,0,0,849.07,6248.76,-3573.97,199.910,194.786,0
c03_level_950mA_h400ms,950,400,1,1,0,431.27,1330.93,-4253.09,179.089,41.914,0
c03_level_950mA_h400ms,950,400,2,0,0,947.25,9125.79,-4098.05,183.352,308.308,0
c03_level_950mA_h400ms,950,400,3,0,0,947.29,8621.74,-3593.99,199.486,294.020,1
c03_level_950mA_h400ms,950,400,4,0,0,946.82,8576.71,-3548.96,200.930,292.576,1
