level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
750,400,1,1,30.0,749.8407760814249,3.264996361323156,4.3542528833729515,100.0,3.1542494999999997,750.3960000000001,4.203446580205651,2.366936207802,4.716924852325627,35.503536,35.903536,2026-07-31T18:15:40.170345+00:00,3486.766615791242,-4349.184354567346,1.7637895291005294,2.876586,1.1127964708994706,172.90587493705917,109.08843955200625,0,0,1,393,sweep_20260731_141513,probe,100,1
750,400,2,0,30.0,750.5152531645571,3.2406704329113922,4.317927476153302,100.1,3.109823,751.152,4.140071516816835,2.3359497660960002,4.708045481388439,66.864149,67.264149,2026-07-31T18:16:11.484225+00:00,3709.920617106268,-3872.0692488255795,1.9103816170212766,3.100783,1.1904013829787232,187.2764292478748,116.69611892706162,0,0,1,395,sweep_20260731_141513,probe,100,1
750,400,3,0,30.0,750.2530615384616,3.2356308769230764,4.312719324714415,100.0,3.1351500000000003,752.795,4.164679627255761,2.3601252442500003,4.704764381856521,98.226288,98.626288,2026-07-31T18:16:42.799628+00:00,3579.598924775561,-3742.6475239638016,1.9519219308510638,3.090334,1.1384120691489361,191.3486635986265,111.59955970227651,0,0,1,390,sweep_20260731_141513,probe,100,1
750,400,4,0,30.0,750.5374631043255,3.2446867989821886,4.323151019752859,100.1,3.1002375,747.5769999999999,4.147047728862713,2.3176662495375,4.695497023171744,129.587395,129.987395,2026-07-31T18:17:14.114000+00:00,3696.1819661824566,-3751.4976292296355,1.9489432978723404,3.121638,1.1726947021276595,191.05666552697156,114.96031706733193,0,0,1,393,sweep_20260731_141513,probe,100,1
950,300,1,1,30.0,950.722613559322,4.071033627118644,4.282041437804324,100.1,3.830844,948.5120000000001,4.0387933942849426,3.633601504128,4.858195798762936,185.398684,185.698684,2026-07-31T18:18:09.465824+00:00,5608.741500097752,-4267.281536239613,1.7872231648936172,3.61703,1.829806835106383,175.20309534397842,179.3776108599676,0,0,1,295,sweep_20260731_141513,probe,100,1
950,300,2,0,30.0,1197.8878013698632,4.971837054794521,4.150503118162569,126.1,4.95692,1234.305,4.015960398766918,6.118351140600001,4.702119391617251,216.660352,216.960352,2026-07-31T18:18:40.680348+00:00,8687.901605192172,-3660.351667924937,1.9797563227513229,5.0,3.0202436772486774,194.07729408738422,296.07720588074716,1,1,1,292,sweep_20260731_141513,probe,100,1
950,300,3,0,30.0,950.0719047619049,4.029511850340136,4.241270402949093,100.0,3.840106,948.095,4.050338837352797,3.64078529807,4.705855345145845,247.910995,248.210995,2026-07-31T18:19:11.883863+00:00,6481.35052980442,-3570.019856612974,2.0067188994708998,4.102546,2.0958271005291005,196.72045974935153,205.45581689589994,0,0,1,294,sweep_20260731_141513,probe,100,1
950,300,4,0,30.0,949.8297301038062,4.051573494809689,4.265578731007815,100.0,3.880141,950.81,4.080879460670376,3.68927686421,4.703512184174599,279.168523,279.468523,2026-07-31T18:19:43.094253+00:00,6018.930255369551,-3746.773353001551,1.9494266084656087,3.893966,1.9445393915343911,191.10404489940612,190.62494662517477,0,0,1,289,sweep_20260731_141513,probe,100,1
850,400,1,1,30.0,850.6257251908397,3.643514465648855,4.283334441632864,100.1,3.455265,848.931,4.070136442184347,2.933281571715,4.770130542184556,334.946076,335.346076,2026-07-31T18:20:39.784355+00:00,6213.0997754891705,-4269.336583050272,1.7859622116402116,3.778553,1.9925907883597884,175.07948296169718,195.33546830191935,0,0,1,393,sweep_20260731_141513,probe,100,1
850,400,2,0,30.0,850.3248905852417,3.61119575826972,4.246842351967717,100.0,3.4334534999999997,846.3960000000001,4.056556859909545,2.906061308586,4.716676734352493,366.307813,366.707813,2026-07-31T18:21:11.099046+00:00,7017.409851313985,-3557.73582941433,2.013062259259259,4.292166,2.279103740740741,197.34230501838778,223.4225908836551,0,0,1,393,sweep_20260731_141513,probe,100,1
