level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,n_samples,sweep,run_type,i_low_mA,seeded
350,200,1,1,30.0,349.59490954773867,1.579193944723618,4.517210924971928,99.9,204.41989613520036,-4123.980923176234,179.85770780674918,6.973012482603541,0,0,199,sweep_20260731_155129,map,0,1
350,200,2,0,30.0,352.3392565445026,1.5782513769633508,4.479351499011885,100.7,192.27146196461354,-3961.1843630459907,184.762038344025,6.451545453142757,0,0,191,sweep_20260731_155129,map,0,1
350,200,3,0,30.0,347.7889581151833,1.5598299214659683,4.484989776326862,99.4,195.44290344915544,-3932.469233918231,185.79481687679788,6.629448535291153,0,0,191,sweep_20260731_155129,map,0,1
350,200,4,0,30.0,353.7192959183673,1.5953894744897958,4.510326388464784,101.1,209.52905456699773,-3939.719248212937,185.51240491776605,7.271241773699637,0,0,196,sweep_20260731_155129,map,0,1
350,200,5,0,30.0,353.2891550802139,1.576734935828877,4.463015388827548,100.9,203.63507118789448,-3910.391960090401,186.71397487339752,6.669718956929129,0,0,187,sweep_20260731_155129,map,0,1
350,200,6,0,30.0,351.03850256410254,1.5836690256410257,4.511382694699806,100.3,195.1624399181951,-3944.410650032282,185.2911896116057,6.611845505217214,0,0,195,sweep_20260731_155129,map,0,1
450,200,1,1,30.0,449.0701554404145,1.9980303316062178,4.449261006104266,99.8,344.66257339006415,-4101.297346859624,180.55552408224315,11.193896614289745,0,0,193,sweep_20260731_155129,map,0,1
450,200,2,0,30.0,449.71878974358975,2.019585594871795,4.490774325936605,99.9,369.76826750940745,-3922.1305140916497,186.29821955267937,11.652439815650338,0,0,195,sweep_20260731_155129,map,0,1
450,200,3,0,30.0,448.08001530612245,1.9933989795918365,4.448756720894977,99.6,343.4767454130979,-3962.9528606771482,184.79911495083456,11.077308604530007,0,0,196,sweep_20260731_155129,map,0,1
450,200,4,0,30.0,451.4478571428571,2.0292932704081634,4.495077866248481,100.3,362.1459125092756,-3918.2627108759557,186.44893112771317,11.411735874422392,0,0,196,sweep_20260731_155129,map,0,1
450,200,5,0,30.0,451.8708677248677,2.025175322751323,4.481756774779291,100.4,344.8831223906823,-3914.188060117897,186.46830005207627,10.724580459302686,0,0,189,sweep_20260731_155129,map,0,1
450,200,6,0,30.0,446.941585106383,1.9981199255319153,4.470651181532625,99.3,339.8847061293659,-3928.990937028975,185.7845319174159,11.04426183138673,0,0,188,sweep_20260731_155129,map,0,1
550,200,1,1,30.0,549.9126473684212,2.442930347368421,4.442397095354943,100.0,532.5501164389857,-4101.208202547906,180.45361105432158,17.081593359835143,0,0,190,sweep_20260731_155129,map,0,1
550,200,2,0,30.0,551.4224102564102,2.449100605128205,4.441423778894619,100.3,568.8342564858212,-3896.9880896592003,187.09550589969157,17.5665449440018,0,0,195,sweep_20260731_155129,map,0,1
550,200,3,0,30.0,551.7591464646465,2.452771272727273,4.44536586016419,100.3,530.0356239968651,-3947.179767228475,185.11628760149875,16.886577048967514,0,0,198,sweep_20260731_155129,map,0,1
550,200,4,0,30.0,548.9166907216495,2.440042701030928,4.445196770794224,99.8,546.4916964148515,-3909.053214427106,186.33012938865036,17.235151745914294,0,0,194,sweep_20260731_155129,map,0,1
550,200,5,0,30.0,550.9422680412371,2.450187170103093,4.447266641592474,100.2,551.2587116018344,-3932.1209073862838,185.6914212487691,17.920032439692566,0,0,194,sweep_20260731_155129,map,0,1
550,200,6,0,30.0,550.5898659793814,2.432488180412371,4.417967584792894,100.1,552.9685472129204,-3908.6196007316134,186.66807146580297,17.513725998821624,0,0,194,sweep_20260731_155129,map,0,1
650,200,1,1,30.0,650.3985684210526,2.8977856210526314,4.4553997529353015,100.1,780.8518527191859,-4097.219727990318,180.51186839693602,24.65857069412429,0,0,190,sweep_20260731_155129,map,0,1
650,200,2,0,30.0,650.1344742268042,2.8820479381443294,4.433002790033414,100.0,824.5585025556247,-3913.517856877707,186.51173292759358,26.442849777460644,0,0,194,sweep_20260731_155129,map,0,1
650,200,3,0,30.0,651.2402448979592,2.8740065765306118,4.413128026172478,100.2,852.6573168014188,-3862.819296193273,188.04695472902947,27.009410471888064,0,0,196,sweep_20260731_155129,map,0,1
650,200,4,0,30.0,650.7935894736843,2.888446963157895,4.438345751828726,100.1,786.4678832415225,-3907.7778539020724,186.23358696256176,25.383560173879392,0,0,190,sweep_20260731_155129,map,0,1
650,200,5,0,30.0,649.4546354166667,2.8927892968749997,4.454182230940719,99.9,793.1435985674871,-3936.7458437876476,185.5550202014516,25.123677129350572,0,0,192,sweep_20260731_155129,map,0,1
650,200,6,0,30.0,649.7464973821988,2.871651115183246,4.419648473293826,100.0,787.5386884977738,-3922.0126922473687,185.86097151168596,25.459926244974458,0,0,191,sweep_20260731_155129,map,0,1
750,200,1,1,30.0,750.9483282051284,3.331050466666666,4.435791840203364,100.1,1099.409103284091,-4067.714559946917,181.30798304128638,35.318445053929075,0,0,195,sweep_20260731_155129,map,0,1
750,200,2,0,30.0,750.9624712041884,3.3056164869109947,4.401839790489596,100.1,1176.4637456929527,-3903.278601145138,186.66664941354372,38.01850684654779,0,0,191,sweep_20260731_155129,map,0,1
750,200,3,0,30.0,750.9387164948454,3.3041967835051542,4.400088463847149,100.1,1157.5496154267298,-3853.6892404089463,188.26946171617394,37.455802392849925,0,0,194,sweep_20260731_155129,map,0,1
750,200,4,0,30.0,750.5951734693876,3.321871719387755,4.425650253029817,100.1,1157.1245319062373,-3868.1959832200364,187.57296489874116,37.22031944404332,0,0,196,sweep_20260731_155129,map,0,1
750,200,5,0,30.0,750.4320432432432,3.29761638918919,4.394290487566918,100.1,1129.3125376499215,-3822.6015960285426,189.03061667433136,36.41712195681057,0,0,185,sweep_20260731_155129,map,0,1
750,200,6,0,30.0,750.8206804123713,3.3065030515463922,4.403851862112229,100.1,1132.2532689365157,-3861.567141199745,187.7699610850578,36.0019393106931,0,0,194,sweep_20260731_155129,map,0,1
850,200,1,1,30.0,850.8842487046633,3.7511307409326426,4.408508850226275,100.1,1533.1695948569036,-4059.207332787701,181.64890857736373,49.01201528453924,0,0,193,sweep_20260731_155129,map,0,1
850,200,2,0,30.0,850.4253489583334,3.7402603020833336,4.398105379460635,100.1,1649.164250427285,-3871.78438454772,187.43603241756068,53.58587529556867,0,0,192,sweep_20260731_155129,map,0,1
850,200,3,0,30.0,850.103841025641,3.708180441025641,4.362032333075641,100.0,1642.7170344948258,-3836.5382096095323,188.33411330715865,53.23764972403491,0,0,195,sweep_20260731_155129,map,0,1
850,200,4,0,30.0,850.9827193877552,3.7483195612244895,4.404695272685727,100.1,1629.181914341354,-3873.712640389488,187.48657864991267,51.911545235722215,0,0,196,sweep_20260731_155129,map,0,1
850,200,5,0,30.0,850.853984375,3.73440615625,4.389009424446818,100.1,1694.5556581361375,-3816.1283287418414,189.28590105104735,54.229226541619894,0,0,192,sweep_20260731_155129,map,0,1
850,200,6,0,30.0,851.2536302083333,3.7272829739583333,4.378581002992174,100.1,1626.5018013028284,-3859.955695601688,187.68368611283324,52.48809763555136,0,0,192,sweep_20260731_155129,map,0,1
950,200,1,1,30.0,950.7200052631578,4.1493825105263165,4.364463235816495,100.1,2292.9788523884663,-4035.574820056959,182.37083042824318,73.68362564440876,0,0,190,sweep_20260731_155129,map,0,1
950,200,2,0,30.0,950.9844381443298,4.132349670103093,4.345338897623402,100.1,2519.158124458031,-3778.8472173756695,190.33700964329515,80.2427829123124,0,0,194,sweep_20260731_155129,map,0,1
950,200,3,0,30.0,950.9354512820513,4.152328764102564,4.36657268219877,100.1,2493.9591528674628,-3804.81782473278,189.32783547078984,79.1618402660536,0,0,195,sweep_20260731_155129,map,0,1
950,200,4,0,30.0,951.8260157068066,4.125259790575916,4.334048158488904,100.2,2369.4544662652324,-3790.8785611715894,189.69123275047312,75.70978342027117,0,0,191,sweep_20260731_155129,map,0,1
950,200,5,0,30.0,951.101252688172,4.118748424731183,4.330504678750072,100.1,2502.897589506264,-3738.0826574551597,191.3210801251719,79.80033315290042,0,0,186,sweep_20260731_155129,map,0,1
950,200,6,0,30.0,951.7299740932641,4.122797922279792,4.331898789052725,100.2,2594.480146525691,-3716.5344823759087,192.36787119181017,81.75338565696713,0,0,193,sweep_20260731_155129,map,0,1
150,300,1,1,30.0,152.09605841924397,0.7115215429553264,4.678106391120659,101.4,101.3722997972086,-4041.0299218363825,182.30087630416256,3.4698358635590765,0,0,291,sweep_20260731_155129,map,0,1
150,300,2,0,30.0,150.49639999999997,0.6981788689655172,4.639173222519059,100.3,48.11062559471293,-3860.6478426476583,187.9212787814051,1.9939837762470545,0,0,290,sweep_20260731_155129,map,0,1
150,300,3,0,30.0,151.17711111111112,0.7035256599326599,4.653651963329207,100.8,32.08823211537219,-3841.204367472812,188.4857613735983,1.5376292667468376,0,0,297,sweep_20260731_155129,map,0,1
150,300,4,0,30.0,148.97192783505153,0.6890288316151202,4.62522598471065,99.3,41.576770936440425,-3826.490209718755,188.95768108328568,1.8778955635066439,0,0,291,sweep_20260731_155129,map,0,1
150,300,5,0,30.0,150.51444368600684,0.691333976109215,4.593140426784752,100.3,31.347113071222793,-3867.3899536820672,187.32015363647673,1.8214490584257228,0,0,293,sweep_20260731_155129,map,0,1
150,300,6,0,30.0,151.15165986394558,0.696616761904762,4.608727171979452,100.8,24.569024281452585,-3852.9239731432085,187.91960966269514,1.4043305061954725,0,0,294,sweep_20260731_155129,map,0,1
250,300,1,1,30.0,250.98674576271185,1.1340772915254238,4.518474822561365,100.4,144.5057672048256,-4047.1903953474825,182.04860873376205,4.683884593797036,0,0,295,sweep_20260731_155129,map,0,1
250,300,2,0,30.0,250.14558644067796,1.1448305593220338,4.576657040453242,100.1,144.15146442251807,-3843.190328736576,188.43543477272934,4.964042032496296,0,0,295,sweep_20260731_155129,map,0,1
250,300,3,0,30.0,254.23603703703708,1.1537984511784511,4.538296240868347,101.7,128.72451366926816,-3902.788121425499,186.27707826705574,4.76651994952305,0,0,297,sweep_20260731_155129,map,0,1
250,300,4,0,30.0,255.23389310344828,1.1483815103448276,4.499329992507616,102.1,134.06627022333623,-3871.0022021743275,187.44615620478467,4.752049951919062,0,0,290,sweep_20260731_155129,map,0,1
250,300,5,0,30.0,246.62071283783783,1.1195446655405406,4.5395403032375565,98.6,133.327589203941,-3865.1168321919945,187.7722492038452,4.570258437649128,0,0,296,sweep_20260731_155129,map,0,1
250,300,6,0,30.0,250.22544406779662,1.1343134305084748,4.533165820663471,100.1,135.46421477758622,-3905.9821917689487,186.2652045350145,5.032489774347779,0,0,295,sweep_20260731_155129,map,0,1
350,300,1,1,30.0,348.67577551020406,1.5775134047619046,4.524298834507757,99.6,315.7079875805998,-4033.01940568345,182.50399581026738,10.353860272493465,0,0,294,sweep_20260731_155129,map,0,1
350,300,2,0,30.0,350.97305067567567,1.579911097972973,4.501516839915222,100.3,273.27746241692694,-3899.656006750709,186.4615166266613,8.816526315142193,0,0,296,sweep_20260731_155129,map,0,1
350,300,3,0,30.0,351.51434246575343,1.5766787979452053,4.485389662582017,100.4,273.7453587895634,-3908.691673781789,186.17376439765837,8.761268425067428,0,0,292,sweep_20260731_155129,map,0,1
350,300,4,0,30.0,350.01646075085324,1.5617204436860066,4.461848566595449,100.0,281.7788026534986,-3915.4093169936054,185.92909777277194,9.228563223839377,0,0,293,sweep_20260731_155129,map,0,1
350,300,5,0,30.0,352.2477162162162,1.583922891891892,4.496616497350548,100.6,295.85455873892306,-3893.940375768249,186.79907195188352,9.664556694442886,0,0,296,sweep_20260731_155129,map,0,1
