src,hw_us,value,raw_code,seq
1,425828878,4.73032700,2031659882,205953
3,428026322,0.45677900,0,298014
4,428026322,0.10295500,0,298014
2,425829884,1.94072100,3255990,205953
1,425830897,4.73032700,2031659882,205954
2,425831903,1.94723600,3266920,205954
1,425832916,4.72931100,2031223695,205955
2,425833922,1.94169300,3257620,205955
1,425834936,4.72991700,2031483744,205956
2,425835945,1.94846400,3268980,205956
1,425836952,4.72963200,2031361391,205957
2,425837967,1.95154000,3274140,205957
1,425838971,4.72970500,2031392768,205958
2,425839977,1.95261200,3275940,205958
1,425840990,4.72970500,2031392768,205959
2,425841996,1.95261200,3275940,205959
1,425843009,4.73062000,2031785901,205960
2,425844015,1.94712300,3266730,205960
1,425845029,4.72956500,2031332638,205961
2,425846038,1.94894100,3269780,205961
1,425847044,4.72893800,2031063292,205962
2,425848057,1.95459700,3279270,205962
1,425849064,4.72971300,2031396086,205963
2,425850073,1.94796300,3268140,205963
1,425851080,4.72971300,2031396086,205964
2,425852095,1.94796300,3268140,205964
1,425853102,4.72988700,2031470853,205965
2,425854108,1.96321000,3293720,205965
1,425855121,4.72965700,2031372148,205966
2,425856127,1.96014600,3288580,205966
1,425857140,4.73015700,2031586974,205967
2,425858146,1.94713500,3266750,205967
1,425859160,4.72886000,2031030179,205968
2,425860169,1.95506800,3280060,205968
1,425861176,4.72776200,2030558183,205969
2,425862185,1.95506800,3280060,205969
1,425863192,4.72776200,2030558183,205970
2,425864204,1.95295200,3276510,205970
1,425865211,4.72818900,2030741949,205971
2,425866226,1.94950700,3270730,205971
1,425867233,4.72855200,2030897848,205972
2,425868239,1.94859500,3269200,205972
1,425869252,4.72805200,2030682771,205973
2,425870258,1.95157500,3274200,205973
1,425871272,4.72863200,2030931876,205974
2,425872281,1.95157500,3274200,205974
1,425873288,4.72863200,2030931876,205975
2,425874297,1.95570000,3281120,205975
1,425875304,4.72757600,2030478593,205976
2,425876319,1.95681500,3282990,205976
1,425877323,4.72641200,2029978665,205977
2,425878329,1.95047900,3272360,205977
1,425879342,4.72670600,2030104748,205978
2,425880348,1.94322500,3260190,205978
1,425881361,4.72715700,2030298207,205979
2,425882367,1.95811400,3285170,205979
1,425883380,4.72715700,2030298207,205980
2,425884386,1.95811400,3285170,205980
1,425885400,4.72660200,2030059946,205981
2,425886409,1.94833900,3268770,205981
1,425887416,4.72756100,2030471850,205982
2,425888425,1.95347100,3277380,205982
1,425889438,4.72698500,2030224332,205983
2,425890444,1.95662400,3282670,205983
1,425891451,4.72588600,2029752888,205984
2,425892463,1.95753000,3284190,205984
1,425893470,4.72588600,2029752888,205985
2,425894485,1.95753000,3284190,205985
1,425895492,4.72616600,2029872841,205986
2,425896498,1.94915500,3270140,205986
1,425897512,4.72702100,2030239974,205987
2,425898521,1.94441700,3262190,205987
1,425899528,4.72638700,2029967834,205988
2,425900537,1.94475700,3262760,205988
1,425901544,4.72717400,2030305715,205989
2,425902556,1.94571600,3264370,205989
1,425903563,4.72668400,2030095320,205990
2,425904578,1.94571600,3264370,205990
1,425905585,4.72668400,2030095320,205991
2,425906591,1.95046700,3272340,205991
1,425907604,4.72534600,2029520700,205992
2,425908610,1.94933400,3270440,205992
1,425909624,4.72533100,2029514338,205993
2,425910633,1.94989400,3271380,205993
1,425911640,4.72615300,2029867155,205994
2,425912649,1.95528300,3280420,205994
1,425913656,4.72556300,2029613950,205995
2,425914671,1.95528300,3280420,205995
1,425915675,4.72556300,2029613950,205996
2,425916681,1.95263600,3275980,205996
1,425917694,4.72633700,2029946106,205997
2,425918700,1.95349500,3277420,205997
1,425919713,4.72597300,2029790127,205998
2,425920719,1.94129400,3256950,205998
1,425921732,4.72462400,2029210432,205999
2,425922738,1.94683100,3266240,205999
1,425923752,4.72456600,2029185779,206000
2,425924761,1.94881000,3269560,206000
1,425925768,4.72456600,2029185779,206001
2,425926777,1.94881000,3269560,206001
1,425927790,4.72566200,2029656630,206002
2,425928796,1.95129500,3273730,206002
1,425929803,4.72511700,2029422380,206003
2,425930818,1.94848800,3269020,206003
1,425931825,4.72588100,2029750495,206004
2,425932831,1.94663400,3265910,206004
1,425933845,4.72579300,2029712571,206005
2,425934853,1.94373100,3261040,206005
1,425935860,4.72579300,2029712571,206006
3,428130609,0.49656800,0,298015
4,428130609,0.10460800,0,298015
2,425936873,1.94373100,3261040,206006
1,425937880,4.72448400,2029150774,206007
2,425938889,1.94858300,3269180,206007
1,425939896,4.72423100,2029041665,206008
2,425940911,1.94817200,3268490,206008
1,425941918,4.72532400,2029510993,206009
2,425942924,1.95356000,3277530,206009
1,425943937,4.72476700,2029272071,206010
2,425944943,1.95472200,3279480,206010
1,425945956,4.72544100,2029561566,206011
2,425946962,1.95472200,3279480,206011
1,425947976,4.72544100,2029561566,206012
2,425948985,1.96575500,3297990,206012
1,425949992,4.72539500,2029541725,206013
2,425951001,1.95963400,3287720,206013
1,425952008,4.72376300,2028840925,206014
2,425953020,1.95173600,3274470,206014
1,425954027,4.72327400,2028630620,206015
2,425955042,1.95633800,3282190,206015
1,425956049,4.72420300,2029029704,206016
2,425957055,1.95633800,3282190,206016
1,425958068,4.72420300,2029029704,206017
2,425959074,1.94959600,3270880,206017
1,425960088,4.72358600,2028764804,206018
2,425961097,1.95490700,3279790,206018
1,425962104,4.72363900,2028787449,206019
2,425963110,1.95998600,3288310,206019
1,425964123,4.72372400,2028824146,206020
2,425965129,1.95233200,3275470,206020
1,425966142,4.72251400,2028304413,206021
2,425967148,1.95295800,3276520,206021
1,425968161,4.72251400,2028304413,206022
2,425969167,1.95295800,3276520,206022
1,425970180,4.72207500,2028115724,206023
2,425971186,1.96266200,3292800,206023
1,425972193,4.72322500,2028609629,206024
2,425973206,1.95710100,3283470,206024
1,425974212,4.72328500,2028635361,206025
2,425975225,1.95637300,3282250,206025
1,425976232,4.72364400,2028789696,206026
2,425977241,1.95810800,3285160,206026
1,425978254,4.72364400,2028789696,206027
2,425979260,1.95810800,3285160,206027
1,425980267,4.72390500,2028901675,206028
2,425981282,1.96350800,3294220,206028
1,425982289,4.72287500,2028459103,206029
2,425983295,1.95667200,3282750,206029
1,425984309,4.72219100,2028165806,206030
2,425985317,1.94942400,3270590,206030
