level_mA,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
650,1,1,644.08,380.39,-4211.40,2.04394,2.18668,0.14274,0
650,2,0,642.04,365.29,-4189.72,2.04222,2.17572,0.13350,0
650,3,0,645.52,361.82,-4225.75,2.03008,2.16895,0.13887,0
750,1,1,856.70,705.64,-4216.13,2.04003,2.27943,0.23940,0
750,2,0,825.94,648.49,-4183.33,2.04281,2.27140,0.22859,0
750,3,0,757.12,524.91,-4168.74,2.04698,2.23109,0.18411,0
850,1,1,841.35,689.51,-4234.63,2.03524,2.26539,0.23015,0
850,2,0,841.94,659.17,-4227.99,2.02638,2.25336,0.22698,0
850,3,0,841.88,666.87,-4198.73,2.03709,2.27060,0.23351,0
950,1,1,946.73,882.23,-4251.71,2.02660,2.32293,0.29633,0
950,2,0,939.71,866.51,-4212.65,2.03321,2.33225,0.29904,0
950,3,0,938.22,861.41,-4197.40,2.03646,2.32593,0.28947,0
