wall_us,step,phase,stage_mm,set_vel_mm_s
308836734000,2,ramp_fwd,9.999960,0.1000
308836765000,2,ramp_fwd,9.999960,0.1000
308836796000,2,ramp_fwd,10.002837,0.1000
308836828000,2,ramp_fwd,10.006112,0.1000
308836859000,2,ramp_fwd,10.009287,0.1000
308836890000,2,ramp_fwd,10.012462,0.1000
308836921000,2,ramp_fwd,10.015637,0.1000
308836953000,2,ramp_fwd,10.018911,0.1000
308836984000,2,ramp_fwd,10.022086,0.1000
308837015000,2,ramp_fwd,10.025261,0.1000
308837046000,2,ramp_fwd,10.028436,0.1000
308837078000,2,ramp_fwd,10.031611,0.1000
308837109000,2,ramp_fwd,10.034786,0.1000
308837140000,2,ramp_fwd,10.038060,0.1000
308837171000,2,ramp_fwd,10.041235,0.1000
308837203000,2,ramp_fwd,10.044410,0.1000
308837234000,2,ramp_fwd,10.047585,0.1000
308837265000,2,ramp_fwd,10.050760,0.1000
308837296000,2,ramp_fwd,10.054034,0.1000
308837328000,2,ramp_fwd,10.057209,0.1000
308837359000,2,ramp_fwd,10.060384,0.1000
308837390000,2,ramp_fwd,10.063559,0.1000
308837421000,2,ramp_fwd,10.066834,0.1000
308837453000,2,ramp_fwd,10.070009,0.1000
308837484000,2,ramp_fwd,10.073184,0.1000
308837515000,2,ramp_fwd,10.076359,0.1000
308837546000,2,ramp_fwd,10.079534,0.1000
308837578000,2,ramp_fwd,10.082808,0.1000
308837609000,2,ramp_fwd,10.085983,0.1000
308837640000,2,ramp_fwd,10.089158,0.1000
308837671000,2,ramp_fwd,10.092333,0.1000
308837703000,2,ramp_fwd,10.095508,0.1000
308837734000,2,ramp_fwd,10.098683,0.1000
308837765000,2,ramp_fwd,10.101957,0.1000
308837796000,2,ramp_fwd,10.105132,0.1000
308837828000,2,ramp_fwd,10.108307,0.1000
308837859000,2,ramp_fwd,10.108307,0.1000
308837890000,2,ramp_fwd,10.111581,0.1000
308837921000,2,ramp_fwd,10.114756,0.1000
308837953000,2,ramp_fwd,10.117931,0.1000
308837984000,2,ramp_fwd,10.121106,0.1000
308838015000,2,ramp_fwd,10.124281,0.1000
308838046000,2,ramp_fwd,10.127555,0.1000
308838078000,2,ramp_fwd,10.130730,0.1000
308838109000,2,ramp_fwd,10.133905,0.1000
308838140000,2,ramp_fwd,10.137080,0.1000
308838171000,2,ramp_fwd,10.140355,0.1000
308838203000,2,ramp_fwd,10.143530,0.1000
308838234000,2,ramp_fwd,10.146705,0.1000
308838265000,2,ramp_fwd,10.149880,0.1000
308838296000,2,ramp_fwd,10.153055,0.1000
308838328000,2,ramp_fwd,10.156329,0.1000
308838359000,2,ramp_fwd,10.159504,0.1000
308838390000,2,ramp_fwd,10.162679,0.1000
