t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,2.723758,-441.964187,1169844949,1578957,2
0.004032,0.004032,2.724694,-443.844476,1170247244,1578959,1
0.006048,0.002016,2.72534,-445.142197,1170524557,1578960,1
0.008071,0.002023,2.725328,-445.118091,1170519540,1578961,1
0.010087,0.002016,2.725828,-446.122519,1170734144,1578962,2
0.014119,0.004032,2.72493,-444.318566,1170348373,1578964,1
0.016135,0.002016,2.723768,-441.984275,1169849514,1578965,1
0.018151,0.002016,2.724186,-442.823977,1170029079,1578966,1
0.020167,0.002016,2.724984,-444.427044,1170371660,1578967,2
0.024205,0.004038,2.725102,-444.664089,1170422272,1578969,1
0.026221,0.002016,2.725525,-445.513835,1170604177,1578970,1
0.028237,0.002016,2.724911,-444.280398,1170340302,1578971,1
0.030253,0.002016,2.723933,-442.315737,1169920287,1578972,1
0.032269,0.002016,2.724286,-443.024863,1170071756,1578973,2
0.036301,0.004032,2.725148,-444.756497,1170441955,1578975,1
0.038317,0.002016,2.725141,-444.742435,1170439008,1578976,1
0.040339,0.002022,2.725816,-446.098412,1170728870,1578977,1
0.042355,0.002016,2.725385,-445.232596,1170543713,1578978,2
0.046387,0.004032,2.724215,-442.882234,1170041387,1578980,1
0.048403,0.002016,2.724247,-442.946517,1170054889,1578981,1
0.050419,0.002016,2.725085,-444.629939,1170414949,1578982,1
0.052435,0.002016,2.72453,-443.515024,1170176671,1578983,2
0.056467,0.004032,2.72506,-444.579717,1170404091,1578985,1
0.05849,0.002023,2.724752,-443.96099,1170271933,1578986,1
0.060506,0.002016,2.72351,-441.465991,1169738556,1578987,1
0.062522,0.002016,2.723648,-441.743213,1169797857,1578988,2
0.066554,0.004032,2.724925,-444.308522,1170346460,1578990,1
0.06857,0.002016,2.724553,-443.561227,1170186767,1578991,1
0.070586,0.002016,2.725294,-445.04979,1170504987,1578992,1
0.072602,0.002016,2.725197,-444.854931,1170463350,1578993,2
0.07664,0.004038,2.723923,-442.295648,1169916033,1578995,1
0.078656,0.002016,2.723622,-441.690982,1169786687,1578996,1
0.080672,0.002016,2.724976,-444.410973,1170368427,1578997,1
0.082688,0.002016,2.724554,-443.563236,1170187157,1578998,1
0.084704,0.002016,2.725257,-444.975462,1170488919,1578999,2
0.088736,0.004032,2.725383,-445.228578,1170543200,1579001,1
0.090759,0.002023,2.724161,-442.773756,1170018089,1579002,1
0.092775,0.002016,2.723899,-442.247436,1169905979,1579003,1
0.094791,0.002016,2.725014,-444.48731,1170384662,1579004,2
0.098823,0.004032,2.724574,-443.603413,1170195756,1579006,1
0.100839,0.002016,2.725129,-444.718328,1170433906,1579007,1
0.102855,0.002016,2.725381,-445.22456,1170542310,1579008,1
0.104871,0.002016,2.724178,-442.807906,1170025461,1579009,2
0.108909,0.004038,2.723739,-441.926019,1169837198,1579011,1
0.110925,0.002016,2.724855,-444.167902,1170316280,1579012,1
0.112941,0.002016,2.724627,-443.709883,1170218552,1579013,1
0.114957,0.002016,2.725008,-444.475257,1170381767,1579014,2
0.118989,0.004032,2.725274,-445.009613,1170496103,1579016,1
0.121011,0.002022,2.724076,-442.603003,1169981617,1579017,1
0.123027,0.002016,2.723503,-441.451929,1169735750,1579018,1
0.125043,0.002016,2.724521,-443.496944,1170172847,1579019,2
0.129075,0.004032,2.724479,-443.412572,1170154625,1579021,1
0.131091,0.002016,2.724989,-444.437089,1170373835,1579022,1
0.133107,0.002016,2.725575,-445.614278,1170625399,1579023,1
0.135123,0.002016,2.724407,-443.267934,1170124048,1579024,1
0.137146,0.002023,2.723682,-441.811514,1169812489,1579025,2
0.141178,0.004032,2.724577,-443.60944,1170197150,1579027,1
0.143194,0.002016,2.724689,-443.834432,1170244952,1579028,1
0.14521,0.002016,2.724887,-444.232185,1170330139,1579029,1
0.147226,0.002016,2.725518,-445.499773,1170600913,1579030,2
0.151258,0.004032,2.724533,-443.52105,1170177894,1579032,1
0.15328,0.002022,2.723694,-441.83562,1169817654,1579033,1
0.155296,0.002016,2.724714,-443.884653,1170255776,1579034,1
0.157312,0.002016,2.725342,-445.146215,1170525443,1579035,2
0.161344,0.004032,2.725504,-445.471649,1170594967,1579037,1
0.16336,0.002016,2.725843,-446.152652,1170740534,1579038,1
0.165376,0.002016,2.724862,-444.181964,1170319398,1579039,1
0.167392,0.002016,2.7239,-442.249444,1169906128,1579040,2
0.171431,0.004039,2.724518,-443.490917,1170171503,1579042,1
0.173447,0.002016,2.724923,-444.304504,1170345283,1579043,1
0.175463,0.002016,2.724658,-443.772157,1170231686,1579044,1
0.177479,0.002016,2.725103,-444.666098,1170422893,1579045,1
0.179495,0.002016,2.724452,-443.358333,1170143105,1579046,2
0.183527,0.004032,2.723348,-441.140556,1169669223,1579048,1
0.185543,0.002016,2.723792,-442.032488,1169859765,1579049,1
0.187565,0.002022,2.724684,-443.824388,1170242722,1579050,1
0.189581,0.002016,2.724449,-443.352306,1170142029,1579051,2
0.193613,0.004032,2.725023,-444.50539,1170388640,1579053,1
0.195629,0.002016,2.72447,-443.394492,1170150728,1579054,1
0.197645,0.002016,2.723414,-441.27314,1169697373,1579055,1
0.199661,0.002016,2.723652,-441.751248,1169799757,1579056,2
0.203699,0.004038,2.724666,-443.788228,1170235081,1579058,1
0.205715,0.002016,2.724469,-443.392483,1170150683,1579059,1
0.207731,0.002016,2.725034,-444.527487,1170393397,1579060,1
0.209747,0.002016,2.724741,-443.938892,1170267270,1579061,2
0.213779,0.004032,2.723697,-441.841647,1169819105,1579063,1
0.215795,0.002016,2.723896,-442.241409,1169904267,1579064,1
0.217811,0.002016,2.725028,-444.515434,1170390435,1579065,1
0.219834,0.002023,2.724795,-444.047371,1170290588,1579066,2
0.223866,0.004032,2.725392,-445.246658,1170547128,1579068,1
0.225882,0.002016,2.725037,-444.533514,1170394621,1579069,1
0.227898,0.002016,2.723796,-442.040523,1169861415,1579070,1
0.229914,0.002016,2.723813,-442.074674,1169868573,1579071,1
0.23193,0.002016,2.724707,-443.870591,1170252760,1579072,2
0.235962,0.004032,2.724624,-443.703856,1170217184,1579074,1
0.237984,0.002022,2.725432,-445.327012,1170564342,1579075,1
0.24,0.002016,2.72522,-444.901134,1170472998,1579076,1
0.242016,0.002016,2.723824,-442.096771,1169873302,1579077,2
0.246048,0.004032,2.723615,-441.67692,1169783762,1579079,1
0.248064,0.002016,2.724864,-444.185982,1170319994,1579080,1
0.25008,0.002016,2.724516,-443.4869,1170170665,1579081,1
0.252096,0.002016,2.725103,-444.666098,1170422642,1579082,2
