t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,-0.009251,2.44435374,-15520,1578957,1
0.002016,0.002016,0.002158,3.56278827,3620,1578958,1
0.004032,0.002016,0.006819,4.0197103,11440,1578959,1
0.006055,0.002023,0.004619,3.80404232,7750,1578960,1
0.008071,0.002016,8.3e-05,3.35937416,140,1578961,1
0.010087,0.002016,-0.003904,2.96852496,-6550,1578962,2
0.014119,0.004032,-0.0018,3.17478197,-3020,1578964,1
0.016135,0.002016,0.000185,3.36937331,310,1578965,1
0.018151,0.002016,0.00475,3.81688437,7970,1578966,1
0.020167,0.002016,0.003439,3.68836586,5770,1578967,2
0.024205,0.004038,-0.002807,3.07606486,-4710,1578969,1
0.026221,0.002016,-0.001353,3.21860178,-2270,1578970,1
0.028237,0.002016,-0.001031,3.25016773,-1730,1578971,1
0.030253,0.002016,0.003046,3.64983971,5110,1578972,2
0.034285,0.004032,0.009096,4.24292666,15260,1578974,1
0.036301,0.002016,-0.001603,3.19409406,-2690,1578975,1
0.038323,0.002022,-0.002193,3.13625583,-3680,1578976,1
0.040339,0.002016,-0.001055,3.24781499,-1770,1578977,2
0.044371,0.004032,-0.001436,3.21046522,-2410,1578979,1
0.046387,0.002016,0.011402,4.46898591,19130,1578980,1
0.048403,0.002016,0.003129,3.65797628,5250,1578981,1
0.050419,0.002016,0.001156,3.46456131,1940,1578982,2
0.054458,0.004039,0.00807,4.14234695,13540,1578984,1
0.056474,0.002016,0.000906,3.44005359,1520,1578985,1
0.05849,0.002016,-0.000823,3.27055816,-1380,1578986,1
0.060506,0.002016,0.004852,3.82688352,8140,1578987,1
0.062522,0.002016,0.00453,3.79531757,7600,1578988,2
0.066554,0.004032,0.007987,4.13421039,13400,1578990,1
0.06857,0.002016,0.002396,3.58611963,4020,1578991,1
0.070586,0.002016,0.004077,3.75090957,6840,1578992,1
0.072608,0.002022,-0.002623,3.09410254,-4400,1578993,2
0.07664,0.004032,0.004005,3.74385135,6720,1578995,1
0.078656,0.002016,-0.002003,3.1548817,-3360,1578996,1
0.080672,0.002016,-0.00689,2.67580469,-11560,1578997,1
0.082688,0.002016,0.002074,3.55455368,3480,1578998,2
0.086727,0.004039,0.004888,3.83041263,8200,1579000,1
0.088743,0.002016,0.000173,3.36819694,290,1579001,1
0.090759,0.002016,0.011683,4.4965326,19600,1579002,1
0.092775,0.002016,-0.006646,2.69972423,-11150,1579003,2
0.096807,0.004032,-0.004148,2.94460542,-6960,1579005,1
0.098823,0.002016,-0.000668,3.28575295,-1120,1579006,1
0.100839,0.002016,-0.002682,3.08831872,-4500,1579007,1
0.102855,0.002016,-0.004232,2.93637082,-7100,1579008,1
0.104877,0.002022,-0.001323,3.22154271,-2220,1579009,2
0.108909,0.004032,0.00934,4.2668462,15670,1579011,1
0.110925,0.002016,0.008857,4.21949727,14860,1579012,1
0.112941,0.002016,0.004226,3.76551618,7090,1579013,1
0.114957,0.002016,0.011075,4.43692981,18580,1579014,2
0.118995,0.004038,-0.00369,2.98950357,-6190,1579016,1
0.121011,0.002016,-0.002706,3.08596598,-4540,1579017,1
0.123027,0.002016,-0.00273,3.08361323,-4580,1579018,1
0.125043,0.002016,0.005949,3.93442342,9980,1579019,2
0.129075,0.004032,0.002062,3.55337731,3460,1579021,1
0.131091,0.002016,-0.000852,3.26771526,-1430,1579022,1
0.133114,0.002023,0.007546,4.09097876,12660,1579023,1
0.13513,0.002016,0.013494,4.67406656,22640,1579024,2
0.139162,0.004032,0.003719,3.71581451,6240,1579026,1
0.141178,0.002016,0.001872,3.53475144,3140,1579027,1
0.143194,0.002016,0.006807,4.01853393,11420,1579028,1
