t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,2.716288,-426.958033,1166636721,17828,1
0.002022,0.002022,2.716691,-427.767602,1166809870,17829,1
0.004051,0.002029,2.715433,-425.240461,1166269756,17830,2
0.008109,0.004058,2.714824,-424.017068,1166008152,17832,1
0.010137,0.002028,2.715982,-426.343323,1166505464,17833,1
0.012166,0.002029,2.716236,-426.853572,1166614213,17834,1
0.014189,0.002023,2.716312,-427.006245,1166647083,17835,1
0.016217,0.002028,2.71669,-427.765593,1166809463,17836,2
0.020275,0.004058,2.715966,-426.311181,1166498492,17838,1
0.022304,0.002029,2.715061,-424.493167,1166109982,17839,1
0.024326,0.002022,2.715866,-426.110296,1166455507,17840,1
0.026355,0.002029,2.716449,-427.281459,1166706013,17841,2
0.030413,0.004058,2.716334,-427.05044,1166656746,17843,1
0.032441,0.002028,2.716597,-427.578769,1166769367,17844,1
0.034464,0.002023,2.716095,-426.570324,1166553792,17845,1
0.036493,0.002029,2.715079,-424.529326,1166117495,17846,2
0.04055,0.004057,2.71557,-425.515674,1166328443,17848,1
0.042573,0.002023,2.715968,-426.315199,1166499369,17849,1
0.044601,0.002028,2.715665,-425.706516,1166369165,17850,1
0.04663,0.002029,2.715919,-426.216765,1166478105,17851,1
0.048659,0.002029,2.715624,-425.624153,1166351582,17852,2
0.05271,0.004051,2.714819,-424.007023,1166005955,17854,1
0.054739,0.002029,2.715374,-425.121939,1166244184,17855,1
0.056768,0.002029,2.716293,-426.968077,1166639142,17856,1
0.058797,0.002029,2.716055,-426.489969,1166536900,17857,2
0.062848,0.004051,2.716397,-427.176998,1166683675,17859,1
0.064877,0.002029,2.716205,-426.791298,1166601047,17860,1
0.066905,0.002028,2.715004,-424.378662,1166085297,17861,1
0.068934,0.002029,2.715053,-424.477096,1166106398,17862,2
0.072992,0.004058,2.715882,-426.142437,1166462281,17864,1
0.075014,0.002022,2.715717,-425.810976,1166391479,17865,1
0.077043,0.002029,2.716403,-427.189051,1166686162,17866,1
0.079072,0.002029,2.716347,-427.076555,1166662065,17867,1
0.081101,0.002029,2.715305,-424.983327,1166214523,17868,2
0.085152,0.004051,2.715378,-425.129974,1166245946,17870,1
0.087181,0.002029,2.716429,-427.241282,1166697414,17871,1
0.089209,0.002028,2.716,-426.379482,1166513190,17872,1
0.091238,0.002029,2.71645,-427.283468,1166706428,17873,2
0.095289,0.004051,2.716121,-426.622554,1166565244,17875,1
0.097318,0.002029,2.714779,-423.926669,1165988926,17876,1
0.099347,0.002029,2.714707,-423.782032,1165957807,17877,1
0.101376,0.002029,2.716005,-426.389527,1166515140,17878,2
0.105427,0.004051,2.715801,-425.97972,1166427668,17880,1
0.107456,0.002029,2.716484,-427.351769,1166721065,17881,1
0.109485,0.002029,2.716518,-427.42007,1166735431,17882,1
0.111513,0.002028,2.715252,-424.876858,1166191715,17883,1
0.113542,0.002029,2.714946,-424.262148,1166060479,17884,2
0.117593,0.004051,2.716206,-426.793307,1166601526,17886,1
0.119622,0.002029,2.715909,-426.196676,1166474055,17887,1
0.121651,0.002029,2.716337,-427.056467,1166657889,17888,1
0.12368,0.002029,2.716594,-427.572743,1166768346,17889,2
0.127731,0.004051,2.715378,-425.129974,1166246083,17891,1
0.12976,0.002029,2.715094,-424.559459,1166124086,17892,1
0.131789,0.002029,2.716368,-427.118741,1166670930,17893,1
0.133817,0.002028,2.716335,-427.052449,1166656900,17894,2
0.137869,0.004052,2.717086,-428.5611,1166979749,17896,1
0.139897,0.002028,2.717563,-429.519324,1167184556,17897,1
0.141926,0.002029,2.716304,-426.990175,1166643751,17898,1
0.143955,0.002029,2.715627,-425.630179,1166352996,17899,1
0.145984,0.002029,2.716569,-427.522521,1166757377,17900,2
0.150035,0.004051,2.716378,-427.13883,1166675482,17902,1
0.152064,0.002029,2.716681,-427.747513,1166805403,17903,1
0.154093,0.002029,2.717057,-428.502843,1166966865,17904,1
0.156121,0.002028,2.716084,-426.548226,1166549122,17905,2
0.160173,0.004052,2.715558,-425.491568,1166323286,17907,1
0.162201,0.002028,2.716671,-427.727425,1166801561,17908,1
