t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,4.724137,-4460.43746,2029001349,2274,1
0.002016,0.002016,4.725117,-4462.40614,2029422499,2275,1
0.004038,0.002022,4.724661,-4461.4901,2029226618,2276,1
0.006054,0.002016,4.725105,-4462.38203,2029417397,2277,2
0.010092,0.004038,4.724626,-4461.41979,2029211329,2279,1
0.012115,0.002023,4.723629,-4459.41696,2028782944,2280,1
0.014131,0.002016,4.723623,-4459.40491,2028780842,2281,1
0.016147,0.002016,4.724663,-4461.49412,2029227282,2282,2
0.020185,0.004038,4.724306,-4460.77695,2029073766,2284,1
0.022207,0.002022,4.724847,-4461.86375,2029306183,2285,1
0.024224,0.002017,4.724779,-4461.72714,2029277153,2286,1
0.026239,0.002015,4.723591,-4459.34062,2028767129,2287,1
0.028262,0.002023,4.723651,-4459.46115,2028792648,2288,2
0.0323,0.004038,4.725046,-4462.26351,2029391596,2290,1
0.034316,0.002016,4.724615,-4461.39769,2029206743,2291,1
0.036339,0.002023,4.725215,-4462.603,2029464558,2292,1
0.038355,0.002016,4.725252,-4462.67733,2029480010,2293,2
0.042393,0.004038,4.723931,-4460.02363,2028912909,2295,1
0.044409,0.002016,4.72348,-4459.11764,2028719186,2296,1
0.046432,0.002023,4.724424,-4461.014,2029124736,2297,1
0.048448,0.002016,4.724028,-4460.21849,2028954486,2298,2
0.052486,0.004038,4.724477,-4461.12047,2029147313,2300,1
0.054508,0.002022,4.724729,-4461.6267,2029255555,2301,1
0.056524,0.002016,4.723548,-4459.25424,2028748290,2302,1
0.05854,0.002016,4.723309,-4458.77413,2028645673,2303,2
0.062579,0.004039,4.72452,-4461.20685,2029166010,2305,1
0.064601,0.002022,4.724261,-4460.68656,2029054633,2306,1
0.066617,0.002016,4.724581,-4461.32939,2029192005,2307,1
0.06864,0.002023,4.724918,-4462.00637,2029336755,2308,1
0.070655,0.002015,4.723898,-4459.95734,2028898766,2309,2
0.074694,0.004039,4.72354,-4459.23817,2028745198,2311,1
0.07671,0.002016,4.724731,-4461.63072,2029256630,2312,1
0.078732,0.002022,4.72484,-4461.84968,2029303305,2313,1
0.080748,0.002016,4.725188,-4462.54877,2029452971,2314,2
0.084787,0.004039,4.725399,-4462.97263,2029543342,2316,1
0.086803,0.002016,4.724072,-4460.30688,2028973196,2317,1
0.088825,0.002022,4.723136,-4458.42659,2028571566,2318,1
0.090841,0.002016,4.724077,-4460.31693,2028975750,2319,2
0.094879,0.004038,4.724148,-4460.45956,2029006268,2321,1
0.096902,0.002023,4.724278,-4460.72071,2029062166,2322,1
0.098918,0.002016,4.724602,-4461.37158,2029201333,2323,1
0.10094,0.002022,4.723698,-4459.55557,2028812734,2324,2
0.104979,0.004039,4.723064,-4458.28196,2028540457,2326,1
0.106995,0.002016,4.723798,-4459.75646,2028855702,2327,1
0.109011,0.002016,4.724053,-4460.26871,2028965363,2328,1
0.111033,0.002022,4.724187,-4460.5379,2029023040,2329,1
0.113049,0.002016,4.724908,-4461.98629,2029332427,2330,2
0.117088,0.004039,4.724164,-4460.4917,2029012954,2332,1
0.119104,0.002016,4.723362,-4458.88059,2028668434,2333,1
0.121126,0.002022,4.723964,-4460.08993,2028927261,2334,1
0.123142,0.002016,4.724567,-4461.30127,2029186231,2335,2
0.12718,0.004038,4.724432,-4461.03007,2029128091,2337,1
0.129203,0.002023,4.724794,-4461.75728,2029283595,2338,1
0.131219,0.002016,4.723921,-4460.00355,2028908582,2339,1
0.133235,0.002016,4.72297,-4458.09312,2028499927,2340,2
0.137273,0.004038,4.723507,-4459.17188,2028731007,2342,1
0.139296,0.002023,4.724205,-4460.57406,2029030434,2343,1
0.141312,0.002016,4.723922,-4460.00555,2028909127,2344,1
0.143334,0.002022,4.724454,-4461.07427,2029137848,2345,2
0.147372,0.004038,4.723792,-4459.7444,2028853206,2347,1
0.149388,0.002016,4.722904,-4457.96054,2028471796,2348,1
0.151404,0.002016,4.723429,-4459.01519,2028697189,2349,1
0.153427,0.002023,4.724646,-4461.45997,2029219988,2350,1
0.155443,0.002016,4.724606,-4461.37961,2029202693,2351,2
0.159481,0.004038,4.725352,-4462.87822,2029523299,2353,1
0.161504,0.002023,4.725195,-4462.56283,2029455747,2354,1
0.163519,0.002015,4.723903,-4459.96739,2028900843,2355,1
0.165535,0.002016,4.723808,-4459.77654,2028860131,2356,2
0.169574,0.004039,4.724658,-4461.48407,2029225140,2358,1
0.171596,0.002022,4.724024,-4460.21046,2028952833,2359,1
0.173612,0.002016,4.724372,-4460.90954,2029102425,2360,1
0.175635,0.002023,4.724122,-4460.40733,2028994952,2361,2
0.179667,0.004032,4.723149,-4458.45271,2028576899,2363,1
0.181689,0.002022,4.723168,-4458.49088,2028585421,2364,1
0.183705,0.002016,4.724258,-4460.68053,2029053173,2365,1
0.185727,0.002022,4.724036,-4460.23456,2028958002,2366,2
0.189766,0.004039,4.724585,-4461.33743,2029193629,2368,1
0.191782,0.002016,4.724461,-4461.08833,2029140352,2369,1
0.193804,0.002022,4.72339,-4458.93684,2028680517,2370,1
0.19582,0.002016,4.723586,-4459.33058,2028764568,2371,1
0.197836,0.002016,4.724975,-4462.12088,2029361157,2372,2
0.201875,0.004039,4.7246,-4461.36756,2029200357,2374,1
0.203897,0.002022,4.725227,-4462.62711,2029469494,2375,1
0.205913,0.002016,4.725216,-4462.60501,2029465019,2376,1
0.207935,0.002022,4.723777,-4459.71427,2028846887,2377,2
0.211968,0.004033,4.723245,-4458.64556,2028618341,2379,1
0.21399,0.002022,4.724037,-4460.23657,2028958558,2380,1
0.216006,0.002016,4.723516,-4459.18996,2028734529,2381,1
0.218028,0.002022,4.723978,-4460.11805,2028932954,2382,2
0.222067,0.004039,4.724299,-4460.76289,2029071063,2384,1
0.224083,0.002016,4.723251,-4458.65761,2028620921,2385,1
0.226105,0.002022,4.722918,-4457.98866,2028477869,2386,1
0.228121,0.002016,4.724081,-4460.32496,2028977191,2387,2
0.232159,0.004038,4.724064,-4460.29081,2028969941,2389,1
0.234176,0.002017,4.724623,-4461.41376,2029210277,2390,1
0.236198,0.002022,4.725075,-4462.32177,2029404368,2391,1
0.238214,0.002016,4.724093,-4460.34907,2028982290,2392,2
0.242252,0.004038,4.723487,-4459.1317,2028722276,2394,1
0.244275,0.002023,4.724511,-4461.18877,2029162153,2395,1
0.246291,0.002016,4.724494,-4461.15462,2029154488,2396,1
0.248307,0.002016,4.724535,-4461.23698,2029172232,2397,1
0.250329,0.002022,4.724668,-4461.50416,2029229258,2398,2
0.254367,0.004038,4.723516,-4459.18996,2028734889,2400,1
0.256384,0.002017,4.722535,-4457.21927,2028313328,2401,1
0.258406,0.002022,4.72339,-4458.93684,2028680522,2402,1
0.260422,0.002016,4.723645,-4459.4491,2028790129,2403,2
0.26446,0.004038,4.723835,-4459.83078,2028871471,2405,1
0.266483,0.002023,4.724266,-4460.6966,2029056913,2406,1
0.268499,0.002016,4.723273,-4458.70181,2028630413,2407,1
0.270515,0.002016,4.722513,-4457.17508,2028303741,2408,2
