t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,1.933712,192.914765,3244230,2273,1
0.002023,0.002023,1.929516,192.503428,3237190,2274,1
0.004039,0.002016,1.930964,192.645376,3239620,2275,1
0.006061,0.002022,1.924747,192.035918,3229190,2276,1
0.008077,0.002016,1.935422,193.082398,3247100,2277,2
0.012115,0.004038,1.941878,193.715286,3257930,2279,1
0.014132,0.002017,1.931262,192.67459,3240120,2280,1
0.016154,0.002022,1.937717,193.307379,3250950,2281,1
0.01817,0.002016,1.94059,193.589022,3255770,2282,2
0.022208,0.004038,1.932585,192.804284,3242340,2284,1
0.024224,0.002016,1.926118,192.170319,3231490,2285,1
0.026247,0.002023,1.928681,192.421572,3235790,2286,1
0.028263,0.002016,1.928788,192.432061,3235970,2287,2
0.032301,0.004038,1.929039,192.456667,3236390,2289,1
0.034323,0.002022,1.934665,193.008189,3245830,2290,1
0.036339,0.002016,1.940596,193.58961,3255780,2291,1
0.038356,0.002017,1.939273,193.459915,3253560,2292,1
0.040378,0.002022,1.935732,193.112788,3247620,2293,2
0.044416,0.004038,1.930833,192.632534,3239400,2295,1
0.046432,0.002016,1.931053,192.654101,3239770,2296,1
0.048455,0.002023,1.938689,193.402665,3252580,2297,1
0.050471,0.002016,1.934427,192.984857,3245430,2298,2
0.054509,0.004038,1.923543,191.917889,3227170,2300,1
0.056525,0.002016,1.933455,192.889571,3243800,2301,1
0.058548,0.002023,1.934516,192.993582,3245580,2302,1
0.060563,0.002015,1.930594,192.609105,3239000,2303,2
0.064602,0.004039,1.931626,192.710273,3240730,2305,1
0.066624,0.002022,1.928842,192.437355,3236060,2306,1
0.06864,0.002016,1.93193,192.740074,3241240,2307,1
0.070656,0.002016,1.932919,192.837027,3242900,2308,2
0.074695,0.004039,1.930416,192.591655,3238700,2310,1
0.076717,0.002022,1.926947,192.251586,3232880,2311,1
0.078733,0.002016,1.918596,191.43293,3218870,2312,1
0.080755,0.002022,1.923698,191.933084,3227430,2313,2
0.084788,0.004033,1.934516,192.993582,3245580,2315,1
0.08681,0.002022,1.927835,192.338638,3234370,2316,1
0.088826,0.002016,1.931316,192.679883,3240210,2317,1
0.090848,0.002022,1.927048,192.261487,3233050,2318,1
0.092864,0.002016,1.935506,193.090633,3247240,2319,2
0.096903,0.004039,1.943612,193.885271,3260840,2321,1
0.098919,0.002016,1.939082,193.441191,3253240,2322,1
0.100941,0.002022,1.929522,192.504016,3237200,2323,1
0.102957,0.002016,1.929963,192.547247,3237940,2324,2
0.106996,0.004039,1.93463,193.004758,3245770,2326,1
0.109018,0.002022,1.93485,193.026324,3246140,2327,1
0.111034,0.002016,1.93854,193.388058,3252330,2328,1
0.113056,0.002022,1.936018,193.140825,3248100,2329,2
0.117088,0.004032,1.934385,192.98074,3245360,2331,1
0.119111,0.002023,1.934958,193.036912,3246320,2332,1
0.121127,0.002016,1.932788,192.824185,3242680,2333,1
0.123149,0.002022,1.937068,193.243757,3249860,2334,2
0.127188,0.004039,1.940048,193.535889,3254860,2336,1
0.129203,0.002015,1.929802,192.531464,3237670,2337,1
0.13122,0.002017,1.934713,193.012894,3245910,2338,1
0.133242,0.002022,1.935625,193.102298,3247440,2339,1
0.135258,0.002016,1.921326,191.700555,3223450,2340,2
0.139296,0.004038,1.924121,191.974551,3228140,2342,1
0.141319,0.002023,1.933289,192.873298,3243520,2343,1
0.143335,0.002016,1.934576,192.999464,3245680,2344,1
0.145351,0.002016,1.930124,192.56303,3238210,2345,2
0.149389,0.004038,1.928842,192.437355,3236060,2347,1
0.151412,0.002023,1.921725,191.739669,3224120,2348,1
0.153428,0.002016,1.928949,192.447844,3236240,2349,1
0.15545,0.002022,1.936686,193.206309,3249220,2350,2
0.159482,0.004032,1.930082,192.558913,3238140,2352,1
0.161504,0.002022,1.936913,193.228562,3249600,2353,1
0.16352,0.002016,1.926017,192.160418,3231320,2354,1
0.165543,0.002023,1.929128,192.465392,3236540,2355,2
0.169581,0.004038,1.935118,193.052597,3246590,2357,1
0.171597,0.002016,1.93423,192.965545,3245100,2358,1
0.173619,0.002022,1.93978,193.509617,3254410,2359,1
0.175635,0.002016,1.940107,193.541673,3254960,2360,1
0.177651,0.002016,1.934755,193.017012,3245980,2361,2
0.18169,0.004039,1.931763,192.723703,3240960,2363,1
0.183712,0.002022,1.932073,192.754093,3241480,2364,1
0.185728,0.002016,1.933223,192.866828,3243410,2365,1
0.187751,0.002023,1.932883,192.833498,3242840,2366,2
0.191783,0.004032,1.930743,192.623712,3239250,2368,1
0.193805,0.002022,1.9306,192.609693,3239010,2369,1
0.195821,0.002016,1.935262,193.066713,3246830,2370,1
0.197844,0.002023,1.932722,192.817715,3242570,2371,2
0.201882,0.004038,1.925755,192.134733,3230880,2373,1
0.203898,0.002016,1.927853,192.340402,3234400,2374,1
0.20592,0.002022,1.926386,192.196591,3231940,2375,1
0.207936,0.002016,1.92554,192.113657,3230520,2376,2
0.211975,0.004039,1.940584,193.588434,3255760,2378,1
0.213991,0.002016,1.93978,193.509617,3254410,2379,1
0.216013,0.002022,1.93466,193.007699,3245820,2380,1
0.218029,0.002016,1.934451,192.98721,3245470,2381,1
0.220052,0.002023,1.92883,192.436178,3236040,2382,2
0.224083,0.004031,1.925832,192.142282,3231010,2384,1
0.226106,0.002023,1.932615,192.807225,3242390,2385,1
0.228122,0.002016,1.936883,193.225621,3249550,2386,1
0.230144,0.002022,1.9337,192.913589,3244210,2387,2
0.234183,0.004039,1.930988,192.647729,3239660,2389,1
0.236199,0.002016,1.929903,192.541366,3237840,2390,1
0.238221,0.002022,1.937234,193.26003,3250140,2391,1
0.240237,0.002016,1.934302,192.972604,3245220,2392,2
0.244275,0.004038,1.936251,193.163666,3248490,2394,1
0.246291,0.002016,1.933777,192.921137,3244340,2395,1
0.248314,0.002023,1.933378,192.882023,3243670,2396,1
0.25033,0.002016,1.935929,193.1321,3247950,2397,2
0.254368,0.004038,1.934105,192.953291,3244890,2399,1
0.256391,0.002023,1.931363,192.684491,3240290,2400,1
0.258407,0.002016,1.934129,192.955644,3244930,2401,1
0.260429,0.002022,1.937693,193.305026,3250910,2402,1
0.262445,0.002016,1.933688,192.912413,3244190,2403,2
0.266483,0.004038,1.933628,192.906531,3244090,2405,1
0.268499,0.002016,1.935178,193.058479,3246690,2406,1
0.270522,0.002023,1.926929,192.249822,3232850,2407,1
0.272538,0.002016,1.920497,191.619287,3222060,2408,2
0.276576,0.004038,1.926482,192.206002,3232100,2410,1
0.278599,0.002023,1.928377,192.39177,3235280,2411,1
0.280615,0.002016,1.925939,192.152771,3231190,2412,1
0.282631,0.002016,1.927322,192.288348,3233510,2413,2
0.286669,0.004038,1.929957,192.546659,3237930,2415,1
0.288692,0.002023,1.941979,193.725187,3258100,2416,1
0.290708,0.002016,1.936358,193.174155,3248670,2417,1
0.29273,0.002022,1.932013,192.748211,3241380,2418,2
0.296768,0.004038,1.940256,193.556279,3255210,2420,1
0.298784,0.002016,1.941162,193.645095,3256730,2421,1
0.300807,0.002023,1.926529,192.210609,3232180,2422,1
0.302823,0.002016,1.929551,192.506859,3237250,2423,2
0.306861,0.004038,1.928222,192.376576,3235020,2425,1
0.308877,0.002016,1.929176,192.470097,3236620,2426,1
0.3109,0.002023,1.928741,192.427454,3235890,2427,1
0.312916,0.002016,1.928598,192.413435,3235650,2428,1
0.314938,0.002022,1.925236,192.083855,3230010,2429,2
0.318976,0.004038,1.926678,192.225216,3232430,2431,1
0.320992,0.002016,1.926792,192.236391,3232620,2432,1
0.323008,0.002016,1.92045,191.614679,3221980,2433,1
0.325031,0.002023,1.927906,192.345598,3234490,2434,2
0.329069,0.004038,1.926261,192.184337,3231730,2436,1
0.331085,0.002016,1.92914,192.466568,3236560,2437,1
0.333107,0.002022,1.928544,192.408142,3235560,2438,1
0.335123,0.002016,1.928854,192.438531,3236080,2439,2
0.339162,0.004039,1.942498,193.776065,3258970,2441,1
0.341178,0.002016,1.940101,193.541085,3254950,2442,1
0.3432,0.002022,1.937091,193.246012,3249900,2443,1
0.345216,0.002016,1.932669,192.812519,3242480,2444,2
0.349255,0.004039,1.948881,194.401796,3269680,2446,1
0.351277,0.002022,1.948345,194.349251,3268780,2447,1
0.353293,0.002016,1.937681,193.30385,3250890,2448,1
0.355309,0.002016,1.934511,192.993092,3245570,2449,1
0.357332,0.002023,1.933593,192.9031,3244030,2450,2
0.36137,0.004038,1.930034,192.554208,3238060,2452,1
0.363386,0.002016,1.940489,193.579121,3255600,2453,1
0.365408,0.002022,1.935047,193.045637,3246470,2454,1
0.367424,0.002016,1.933694,192.913001,3244200,2455,2
0.371463,0.004039,1.933306,192.874965,3243550,2457,1
0.373479,0.002016,1.938546,193.388647,3252340,2458,1
0.375501,0.002022,1.943409,193.865371,3260500,2459,1
0.377517,0.002016,1.944578,193.979969,3262460,2460,1
0.381556,0.004039,1.939225,193.45521,3253480,2462,1
0.383571,0.002015,1.932323,192.7786,3241900,2463,1
0.385594,0.002023,1.933342,192.878494,3243610,2464,1
0.38761,0.002016,1.935005,193.041519,3246400,2465,2
0.391648,0.004038,1.93677,193.214544,3249360,2467,1
0.393671,0.002023,1.934129,192.955644,3244930,2468,1
0.395687,0.002016,1.931673,192.71488,3240810,2469,1
0.397709,0.002022,1.933879,192.931136,3244510,2470,1
0.399725,0.002016,1.927882,192.343245,3234450,2471,2
0.403764,0.004039,1.92681,192.238156,3232650,2473,1
0.405779,0.002015,1.934856,193.026913,3246150,2474,1
0.407802,0.002023,1.942372,193.763713,3258760,2475,1
0.409818,0.002016,1.937217,193.258364,3250110,2476,2
0.413856,0.004038,1.937133,193.250129,3249970,2478,1
0.415872,0.002016,1.939935,193.524812,3254670,2479,1
0.417895,0.002023,1.935869,193.126218,3247850,2480,1
0.419911,0.002016,1.931143,192.662924,3239920,2481,2
0.423949,0.004038,1.933807,192.924078,3244390,2483,1
0.425971,0.002022,1.930946,192.643612,3239590,2484,1
0.427987,0.002016,1.933301,192.874475,3243540,2485,1
0.430004,0.002017,1.93783,193.318457,3251140,2486,2
0.434042,0.004038,1.930892,192.638318,3239500,2488,1
0.436064,0.002022,1.938391,193.373452,3252080,2489,1
0.43808,0.002016,1.941979,193.725187,3258100,2490,1
0.440103,0.002023,1.944125,193.935561,3261700,2491,1
0.442119,0.002016,1.939172,193.450014,3253390,2492,2
0.446157,0.004038,1.923049,191.869462,3226340,2494,1
0.448173,0.002016,1.934624,193.004169,3245760,2495,1
0.450196,0.002023,1.936561,193.194055,3249010,2496,1
0.452212,0.002016,1.928014,192.356185,3234670,2497,2
0.45625,0.004038,1.92861,192.414612,3235670,2499,1
0.458269,0.002019,1.938212,193.355904,3251780,2500,1
0.460285,0.002016,1.932591,192.804873,3242350,2501,1
0.462307,0.002022,1.929861,192.537248,3237770,2502,2
0.466339,0.004032,1.930082,192.558913,3238140,2504,1
0.468362,0.002023,1.929867,192.537836,3237780,2505,1
0.470378,0.002016,1.93004,192.554796,3238070,2506,1
0.4724,0.002022,1.933742,192.917706,3244280,2507,2
0.476439,0.004039,1.928508,192.404612,3235500,2509,1
0.478455,0.002016,1.932013,192.748211,3241380,2510,1
0.480471,0.002016,1.935017,193.042696,3246420,2511,1
0.482493,0.002022,1.928943,192.447256,3236230,2512,1
0.484509,0.002016,1.929885,192.539601,3237810,2513,2
0.488547,0.004038,1.926696,192.22698,3232460,2515,1
0.49057,0.002023,1.927024,192.259135,3233010,2516,1
0.492586,0.002016,1.935244,193.064949,3246800,2517,1
0.494608,0.002022,1.934457,192.987798,3245480,2518,2
0.49864,0.004032,1.936698,193.207486,3249240,2520,1
0.500663,0.002023,1.932383,192.784482,3242000,2521,1
0.502679,0.002016,1.93789,193.324338,3251240,2522,1
0.504701,0.002022,1.939106,193.443544,3253280,2523,2
0.508733,0.004032,1.940548,193.584905,3255700,2525,1
0.512771,0.004038,1.925689,192.128263,3230770,2527,1
0.514794,0.002023,1.928204,192.374811,3234990,2528,2
0.518832,0.004038,1.933187,192.863299,3243350,2530,1
0.520848,0.002016,1.927072,192.26384,3233090,2531,1
0.522864,0.002016,1.927382,192.29423,3233610,2532,1
0.524887,0.002023,1.931906,192.737721,3241200,2533,1
0.526903,0.002016,1.938379,193.372275,3252060,2534,2
0.530941,0.004038,1.938808,193.414331,3252780,2536,1
0.532957,0.002016,1.937228,193.259442,3250130,2537,1
0.534979,0.002022,1.934344,192.976721,3245290,2538,1
0.536996,0.002017,1.929939,192.544895,3237900,2539,2
0.541034,0.004038,1.927978,192.352656,3234610,2541,1
0.54305,0.002016,1.928687,192.42216,3235800,2542,1
0.545072,0.002022,1.919049,191.477338,3219630,2543,1
0.547088,0.002016,1.927167,192.273153,3233250,2544,2
0.551127,0.004039,1.928675,192.420984,3235780,2546,1
0.553143,0.002016,1.935059,193.046813,3246490,2547,1
0.555165,0.002022,1.937962,193.331397,3251360,2548,1
0.557181,0.002016,1.94006,193.537065,3254880,2549,2
0.561219,0.004038,1.930928,192.641847,3239560,2551,1
0.563242,0.002023,1.938677,193.401489,3252560,2552,1
0.565258,0.002016,1.934612,193.002993,3245740,2553,1
0.567274,0.002016,1.932168,192.763406,3241640,2554,2
0.571312,0.004038,1.935434,193.083574,3247120,2556,1
1.253472,0.68216,1.934713,193.012894,3245910,2557,1
1.255488,0.002016,1.929522,192.504016,3237200,2558,2
1.259527,0.004039,1.931572,192.704979,3240640,2560,1
1.261543,0.002016,1.92185,191.751923,3224330,2561,1
1.263559,0.002016,1.929295,192.481763,3236820,2562,1
1.265581,0.002022,1.924765,192.037683,3229220,2563,2
1.269613,0.004032,1.93091,192.640083,3239530,2565,1
1.271636,0.002023,1.934373,192.979564,3245340,2566,1
1.273652,0.002016,1.931697,192.717233,3240850,2567,1
1.275668,0.002016,1.931196,192.66812,3240010,2568,2
1.279706,0.004038,1.941305,193.659114,3256970,2570,1
1.281722,0.002016,1.929021,192.454902,3236360,2571,1
1.283738,0.002016,1.927954,192.350303,3234570,2572,1
1.28576,0.002022,1.932162,192.762817,3241630,2573,2
1.289792,0.004032,1.931077,192.656454,3239810,2575,1
1.291815,0.002023,1.932955,192.840556,3242960,2576,1
1.293831,0.002016,1.939195,193.452269,3253430,2577,1
1.295847,0.002016,1.930088,192.559501,3238150,2578,1
1.297869,0.002022,1.92861,192.414612,3235670,2579,2
1.301901,0.004032,1.936412,193.179449,3248760,2581,1
1.303923,0.002022,1.936299,193.168371,3248570,2582,1
1.30594,0.002017,1.933199,192.864475,3243370,2583,1
1.307955,0.002015,1.938659,193.399724,3252530,2584,2
1.311994,0.004039,1.936245,193.163078,3248480,2586,1
1.31401,0.002016,1.9306,192.609693,3239010,2587,1
1.316026,0.002016,1.930487,192.598616,3238820,2588,1
1.318048,0.002022,1.923877,191.950631,3227730,2589,2
1.32208,0.004032,1.93401,192.943978,3244730,2591,1
1.324103,0.002023,1.940006,193.531772,3254790,2592,1
1.326119,0.002016,1.939011,193.434231,3253120,2593,1
1.328135,0.002016,1.941353,193.663819,3257050,2594,2
1.332173,0.004038,1.944494,193.971734,3262320,2596,1
1.334189,0.002016,1.943165,193.841451,3260090,2597,1
1.336205,0.002016,1.938772,193.410802,3252720,2598,1
1.338228,0.002023,1.939303,193.462856,3253610,2599,1
1.340243,0.002015,1.937884,193.32375,3251230,2600,2
1.344282,0.004039,1.930118,192.562442,3238200,2602,1
1.346298,0.002016,1.932591,192.804873,3242350,2603,1
1.348314,0.002016,1.932865,192.831733,3242810,2604,1
1.350336,0.002022,1.940221,193.552848,3255150,2605,2
1.354368,0.004032,1.946586,194.176815,3265830,2607,1
1.356384,0.002016,1.933563,192.900159,3243980,2608,1
1.358407,0.002023,1.935089,193.049754,3246540,2609,1
