t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.472111,0.100929,4.67765459,0.0476496911,0,0
0.004988,0.004988,0.479944,0.11418,4.20339814,0.0548000059,0,1
0.006413,0.001425,0.487599,0.124323,3.92203373,0.0606197705,0,2
0.006963,0.00055,0.459261,0.095811,4.79340577,0.0440022557,0,3
0.007653,0.00069,0.421013,0.099969,4.21143555,0.0420882486,0,4
0.008662,0.001009,0.467995,0.102176,4.58028304,0.0478178571,0,5
0.009639,0.000977,0.458709,0.12196,3.761143,0.0559441496,0,6
0.010639,0.001,0.495517,0.090923,5.44985317,0.0450538922,0,7
0.011647,0.001008,0.392483,0.098349,3.99071673,0.0386003106,0,8
0.012649,0.001002,0.488006,0.098961,4.93129617,0.0482935618,0,9
0.013658,0.001009,0.506099,0.125331,4.03809911,0.0634298938,0,10
0.01464,0.000982,0.549793,0.119878,4.58627104,0.0659080853,0,11
0.015654,0.001014,0.497724,0.11217,4.43722921,0.0558297011,0,12
0.016638,0.000984,0.46226,0.100269,4.61019857,0.0463503479,0,13
0.017648,0.00101,0.470034,0.101408,4.6350781,0.0476652079,0,14
0.018632,0.000984,0.485799,0.117353,4.13963853,0.05700997,0,15
0.01964,0.001008,0.583218,0.083838,6.95648751,0.0488958307,0,16
0.020654,0.001014,0.517976,0.102026,5.07690197,0.0528470194,0,17
0.021639,0.000985,0.49055,0.126543,3.87654789,0.0620756686,0,18
0.022648,0.001009,0.49866,0.092878,5.36897866,0.0463145435,0,19
0.023632,0.000984,0.591136,0.128085,4.61518523,0.0757156546,0,20
0.024639,0.001007,0.472386,0.093022,5.07821806,0.0439422905,0,21
0.02565,0.001011,0.49019,0.133903,3.6607843,0.0656379116,0,22
0.026633,0.000983,0.594591,0.106363,5.59020524,0.0632424825,0,23
0.027641,0.001008,0.494989,0.101846,4.86017124,0.0504126497,0,24
0.02865,0.001009,0.504347,0.13022,3.87303794,0.0656760663,0,25
0.029633,0.000983,0.463868,0.1395,3.32521864,0.064709586,0,26
0.03064,0.001007,0.46382,0.090161,5.14435288,0.041818475,0,27
0.03165,0.00101,0.479272,0.102074,4.69533868,0.0489212101,0,28
0.032633,0.000983,0.48983,0.106273,4.60916696,0.0520557036,0,29
0.03364,0.001007,0.627896,0.10373,6.05317652,0.0651316521,0,30
0.034649,0.001009,0.591856,0.098919,5.98323881,0.0585458037,0,31
0.035657,0.001008,0.537988,0.10382,5.18193026,0.0558539142,0,32
0.036634,0.000977,0.494485,0.127023,3.89287767,0.0628109682,0,33
0.037663,0.001029,0.581994,0.103952,5.59868016,0.0604994403,0,34
0.038649,0.000986,0.454654,0.100928,4.50473605,0.0458873189,0,35
0.039661,0.001012,0.397834,0.090437,4.3990181,0.0359789135,0,36
0.040639,0.000978,0.546914,0.103526,5.28286614,0.0566198188,0,37
0.041649,0.00101,0.48232,0.115775,4.16601166,0.055840598,0,38
0.042658,0.001009,0.431595,0.11091,3.89139843,0.0478682015,0,39
0.043633,0.000975,0.483447,0.102332,4.72429934,0.0494720984,0,40
0.044638,0.001005,0.493165,0.103742,4.75376415,0.0511619234,0,41
0.045649,0.001011,0.477641,0.097539,4.89692328,0.0465886255,0,42
0.046633,0.000984,0.561143,0.10073,5.57076343,0.0565239344,0,43
0.047639,0.001006,0.470394,0.132967,3.53767476,0.062546879,0,44
0.04865,0.001011,0.595119,0.085884,6.92933492,0.0511112002,0,45
0.04966,0.00101,0.391115,0.106381,3.67654938,0.0416072048,0,46
0.05067,0.00101,0.561167,0.082518,6.80054049,0.0463063785,0,47
0.051632,0.000962,0.583722,0.094666,6.16612089,0.0552586269,0,48
0.052644,0.001012,0.578827,0.131978,4.38578399,0.0763924298,0,49
