t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,1.929647,192.51627,3237410,1146,1
0.002016,0.002016,1.936168,193.155529,3248350,1147,1
0.004032,0.002016,1.930195,192.569991,3238330,1148,1
0.006054,0.002022,1.931816,192.728899,3241050,1149,1
0.00807,0.002016,1.933521,192.896041,3243910,1150,1
0.010092,0.002022,1.928633,192.416866,3235710,1151,2
0.014131,0.004039,1.927507,192.306484,3233820,1153,1
0.016147,0.002016,1.938742,193.407861,3252670,1154,1
0.018163,0.002016,1.935643,193.104063,3247470,1155,1
0.020185,0.002022,1.934809,193.022305,3246070,1156,2
0.024224,0.004039,1.9346,193.001817,3245720,1158,1
0.02624,0.002016,1.930338,192.584009,3238570,1159,1
0.028262,0.002022,1.940906,193.62,3256300,1160,1
0.030278,0.002016,1.939958,193.527066,3254710,1161,2
0.034316,0.004038,1.941133,193.642253,3256680,1163,1
0.036332,0.002016,1.943117,193.836746,3260010,1164,1
0.038355,0.002023,1.931798,192.727134,3241020,1165,1
0.040371,0.002016,1.924425,192.004352,3228650,1166,2
0.044409,0.004038,1.927292,192.285407,3233460,1168,1
0.046432,0.002023,1.940447,193.575003,3255530,1169,1
0.048448,0.002016,1.944077,193.930856,3261620,1170,1
0.050464,0.002016,1.937407,193.276989,3250430,1171,2
0.054502,0.004038,1.933664,192.91006,3244150,1173,1
0.056524,0.002022,1.93029,192.579304,3238490,1174,1
0.05854,0.002016,1.93696,193.23317,3249680,1175,1
0.060556,0.002016,1.93736,193.272382,3250350,1176,1
0.062579,0.002023,1.930594,192.609105,3239000,1177,2
0.066617,0.004038,1.934952,193.036324,3246310,1179,1
0.068633,0.002016,1.933122,192.856927,3243240,1180,1
0.070656,0.002023,1.933378,192.882023,3243670,1181,1
0.072672,0.002016,1.941395,193.667937,3257120,1182,2
0.07671,0.004038,1.934248,192.96731,3245130,1184,1
0.078726,0.002016,1.930517,192.601557,3238870,1185,1
0.080748,0.002022,1.933831,192.926431,3244430,1186,1
0.082764,0.002016,1.934481,192.990151,3245520,1187,2
0.086803,0.004039,1.938236,193.358257,3251820,1189,1
0.088819,0.002016,1.937544,193.29042,3250660,1190,1
0.090841,0.002022,1.94276,193.801749,3259410,1191,1
0.092857,0.002016,1.94239,193.765477,3258790,1192,2
0.096896,0.004039,1.93947,193.479227,3253890,1194,1
0.098912,0.002016,1.931745,192.721938,3240930,1195,1
0.100934,0.002022,1.928455,192.399417,3235410,1196,1
0.10295,0.002016,1.931685,192.716057,3240830,1197,1
0.104972,0.002022,1.942998,193.82508,3259810,1198,2
0.109004,0.004032,1.93767,193.302772,3250870,1200,1
0.111027,0.002023,1.933354,192.87967,3243630,1201,1
0.113043,0.002016,1.934689,193.010541,3245870,1202,1
0.115065,0.002022,1.943046,193.829786,3259890,1203,2
0.119104,0.004039,1.939034,193.436486,3253160,1205,1
0.12112,0.002016,1.929963,192.547247,3237940,1206,1
0.123136,0.002016,1.933801,192.92349,3244380,1207,1
0.125158,0.002022,1.941395,193.667937,3257120,1208,2
0.129196,0.004038,1.933897,192.932901,3244540,1210,1
0.131212,0.002016,1.923788,191.941907,3227580,1211,1
0.133235,0.002023,1.933813,192.924666,3244400,1212,1
0.135251,0.002016,1.937872,193.322574,3251210,1213,2
0.139289,0.004038,1.936275,193.166018,3248530,1215,1
0.141305,0.002016,1.938218,193.356493,3251790,1216,1
0.143328,0.002023,1.934433,192.985446,3245440,1217,1
0.145344,0.002016,1.935917,193.130923,3247930,1218,1
0.14736,0.002016,1.936275,193.166018,3248530,1219,2
0.151398,0.004038,1.938129,193.347768,3251640,1221,1
0.15342,0.002022,1.937449,193.281107,3250500,1222,1
0.155436,0.002016,1.936251,193.163666,3248490,1223,1
0.157452,0.002016,1.927459,192.301778,3233740,1224,2
0.161491,0.004039,1.928067,192.361381,3234760,1226,1
0.163513,0.002022,1.941085,193.637547,3256600,1227,1
0.165529,0.002016,1.933444,192.888493,3243780,1228,1
0.167552,0.002023,1.934677,193.009365,3245850,1229,2
0.171584,0.004032,1.925355,192.095521,3230210,1231,1
0.173606,0.002022,1.928854,192.438531,3236080,1232,1
0.175622,0.002016,1.938248,193.359433,3251840,1233,1
0.177644,0.002022,1.940614,193.591375,3255810,1234,2
0.181683,0.004039,1.930422,192.592244,3238710,1236,1
0.183699,0.002016,1.933301,192.874475,3243540,1237,1
0.185721,0.002022,1.942188,193.745675,3258450,1238,1
0.187737,0.002016,1.931906,192.737721,3241200,1239,1
0.189753,0.002016,1.924878,192.04876,3229410,1240,2
0.193792,0.004039,1.931679,192.715468,3240820,1242,1
0.195814,0.002022,1.941294,193.658036,3256950,1243,1
0.19783,0.002016,1.952308,194.737748,3275430,1244,1
0.199852,0.002022,1.939237,193.456386,3253500,1245,2
0.203884,0.004032,1.937079,193.244835,3249880,1247,1
0.205907,0.002023,1.930976,192.646553,3239640,1248,1
0.207923,0.002016,1.929039,192.456667,3236390,1249,1
0.209945,0.002022,1.940584,193.588434,3255760,1250,2
0.213984,0.004039,1.93277,192.82242,3242650,1252,1
0.216,0.002016,1.923424,191.906223,3226970,1253,1
0.218016,0.002016,1.937676,193.30336,3250880,1254,1
0.220038,0.002022,1.941615,193.689503,3257490,1255,2
0.224076,0.004038,1.937723,193.307967,3250960,1257,1
0.226092,0.002016,1.928604,192.414023,3235660,1258,1
0.228115,0.002023,1.933408,192.884964,3243720,1259,1
0.230131,0.002016,1.929981,192.549012,3237970,1260,1
0.232147,0.002016,1.930928,192.641847,3239560,1261,2
0.236185,0.004038,1.936215,193.160137,3248430,1263,1
0.238208,0.002023,1.933169,192.861535,3243320,1264,1
0.240224,0.002016,1.938099,193.344827,3251590,1265,1
0.242246,0.002022,1.936072,193.146118,3248190,1266,2
0.246278,0.004032,1.939768,193.50844,3254390,1268,1
0.2483,0.002022,1.937526,193.288655,3250630,1269,1
0.250316,0.002016,1.936674,193.205133,3249200,1270,1
0.252339,0.002023,1.929361,192.488233,3236930,1271,2
0.256377,0.004038,1.926398,192.197767,3231960,1273,1
0.258393,0.002016,1.931959,192.742917,3241290,1274,1
0.260409,0.002016,1.933241,192.868593,3243440,1275,1
0.262432,0.002023,1.928532,192.406965,3235540,1276,2
0.26647,0.004038,1.934785,193.019952,3246030,1278,1
0.268486,0.002016,1.930678,192.61734,3239140,1279,1
0.270502,0.002016,1.927215,192.277859,3233330,1280,1
0.272524,0.002022,1.930481,192.598027,3238810,1281,1
0.27454,0.002016,1.932216,192.768111,3241720,1282,2
0.278579,0.004039,1.940703,193.600099,3255960,1284,1
0.280601,0.002022,1.933539,192.897806,3243940,1285,1
0.282617,0.002016,1.936263,193.164842,3248510,1286,1
0.284633,0.002016,1.936007,193.139746,3248080,1287,2
0.288672,0.004039,1.935452,193.085339,3247150,1289,1
0.290694,0.002022,1.932883,192.833498,3242840,1290,1
0.29271,0.002016,1.934475,192.989563,3245510,1291,1
0.294726,0.002016,1.945007,194.022024,3263180,1292,2
0.298764,0.004038,1.937574,193.293361,3250710,1294,1
0.300787,0.002023,1.936686,193.206309,3249220,1295,1
0.302803,0.002016,1.934922,193.033383,3246260,1296,1
0.304825,0.002022,1.936591,193.196996,3249060,1297,2
0.308857,0.004032,1.943725,193.896349,3261030,1299,1
0.31088,0.002023,1.942575,193.783613,3259100,1300,1
0.312896,0.002016,1.928175,192.371968,3234940,1301,1
0.314918,0.002022,1.933229,192.867416,3243420,1302,2
0.31895,0.004032,1.935804,193.119846,3247740,1304,1
0.320972,0.002022,1.933676,192.911236,3244170,1305,1
0.322988,0.002016,1.94031,193.561573,3255300,1306,1
0.325011,0.002023,1.941991,193.726363,3258120,1307,1
0.327027,0.002016,1.937521,193.288165,3250620,1308,2
0.331065,0.004038,1.931101,192.658807,3239850,1310,1
0.333081,0.002016,1.933211,192.865652,3243390,1311,1
0.335104,0.002023,1.939267,193.459327,3253550,1312,1
0.33712,0.002016,1.932007,192.747623,3241370,1313,2
0.341158,0.004038,1.938438,193.378059,3252160,1315,1
0.343174,0.002016,1.936936,193.230817,3249640,1316,1
0.345196,0.002022,1.940268,193.557456,3255230,1317,1
0.347212,0.002016,1.940066,193.537654,3254890,1318,2
0.351251,0.004039,1.936835,193.220916,3249470,1320,1
0.353267,0.002016,1.938427,193.376981,3252140,1321,1
0.355289,0.002022,1.943862,193.909779,3261260,1322,1
0.357305,0.002016,1.929581,192.5098,3237300,1323,2
0.361344,0.004039,1.931787,192.726056,3241000,1325,1
0.36336,0.002016,1.945931,194.112605,3264730,1326,1
0.365382,0.002022,1.939487,193.480894,3253920,1327,1
0.367398,0.002016,1.936621,193.199937,3249110,1328,1
0.36942,0.002022,1.943213,193.846157,3260170,1329,2
0.373452,0.004032,1.93519,193.059655,3246710,1331,1
0.375475,0.002023,1.931351,192.683314,3240270,1332,1
0.377491,0.002016,1.929951,192.546071,3237920,1333,1
0.381529,0.004038,1.929784,192.5297,3237640,1335,1
0.383552,0.002023,1.933193,192.863887,3243360,1336,1
0.385568,0.002016,1.937056,193.242581,3249840,1337,1
0.387584,0.002016,1.94338,193.862528,3260450,1338,1
0.389606,0.002022,1.936442,193.18239,3248810,1339,2
0.393644,0.004038,1.928598,192.413435,3235650,1341,1
0.39566,0.002016,1.928544,192.408142,3235560,1342,1
0.397676,0.002016,1.941061,193.635194,3256560,1343,1
0.399699,0.002023,1.939726,193.504323,3254320,1344,2
0.403737,0.004038,1.941001,193.629313,3256460,1346,1
0.405753,0.002016,1.93513,193.053773,3246610,1347,1
0.407769,0.002016,1.935512,193.091221,3247250,1348,1
0.409792,0.002023,1.937687,193.304438,3250900,1349,1
0.411808,0.002016,1.935601,193.099946,3247400,1350,2
0.415846,0.004038,1.945847,194.10437,3264590,1352,1
0.417862,0.002016,1.943755,193.89929,3261080,1353,1
0.419884,0.002022,1.933217,192.86624,3243400,1354,1
0.4219,0.002016,1.932764,192.821832,3242640,1355,2
0.425939,0.004039,1.940429,193.573239,3255500,1357,1
0.427955,0.002016,1.934958,193.036912,3246320,1358,1
0.429977,0.002022,1.932013,192.748211,3241380,1359,1
0.431993,0.002016,1.932001,192.747034,3241360,1360,2
0.436032,0.004039,1.934189,192.961526,3245030,1362,1
0.438048,0.002016,1.931095,192.658218,3239840,1363,1
0.44007,0.002022,1.931673,192.71488,3240810,1364,1
0.442086,0.002016,1.928341,192.388241,3235220,1365,2
0.446124,0.004038,1.926243,192.182572,3231700,1367,1
0.44814,0.002016,1.92669,192.226392,3232450,1368,1
0.450163,0.002023,1.935071,193.047989,3246510,1369,1
0.452179,0.002016,1.93401,192.943978,3244730,1370,1
0.454201,0.002022,1.930487,192.598616,3238820,1371,2
0.458233,0.004032,1.936907,193.227974,3249590,1373,1
0.460256,0.002023,1.928234,192.377752,3235040,1374,1
0.462272,0.002016,1.933289,192.873298,3243520,1375,1
0.464294,0.002022,1.940572,193.587257,3255740,1376,2
0.468326,0.004032,1.934689,193.010541,3245870,1378,1
0.470348,0.002022,1.929492,192.501075,3237150,1379,1
0.472364,0.002016,1.936626,193.200427,3249120,1380,1
0.474387,0.002023,1.933521,192.896041,3243910,1381,2
0.478419,0.004032,1.933545,192.898394,3243950,1383,1
0.480441,0.002022,1.939511,193.483246,3253960,1384,1
0.482457,0.002016,1.93826,193.36061,3251860,1385,1
0.48448,0.002023,1.931357,192.683903,3240280,1386,2
0.488512,0.004032,1.939291,193.46168,3253590,1388,1
0.490534,0.002022,1.937121,193.248953,3249950,1389,1
0.49255,0.002016,1.930618,192.611458,3239040,1390,1
0.494566,0.002016,1.927149,192.271388,3233220,1391,1
0.496588,0.002022,1.931536,192.70145,3240580,1392,2
0.500627,0.004039,1.940012,193.53236,3254800,1394,1
0.502643,0.002016,1.942378,193.764301,3258770,1395,1
0.504659,0.002016,1.938564,193.390411,3252370,1396,1
0.506681,0.002022,1.929873,192.538425,3237790,1397,2
0.512736,0.006055,1.936781,193.215622,3249380,1400,1
