t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.477423,0.100536,4.74877656,0.0479981987,0,0
0.002997,0.002997,0.49211,0.129056,3.81315088,0.0635097482,0,1
0.004823,0.001826,0.447695,0.080311,5.57451657,0.0359548331,0,2
0.006442,0.001619,0.463892,0.084378,5.49778378,0.0391422792,0,3
0.007451,0.001009,0.436178,0.124257,3.51028916,0.0541981697,0,4
0.008425,0.000974,0.484167,0.119662,4.04612158,0.0579363916,0,5
0.009451,0.001026,0.487599,0.128504,3.79442663,0.0626584219,0,6
0.010424,0.000973,0.478529,0.08634,5.54237897,0.0413161939,0,7
0.011436,0.001012,0.480664,0.082998,5.79127208,0.0398941507,0,8
0.012419,0.000983,0.474353,0.093202,5.08951525,0.0442106483,0,9
0.013434,0.001015,0.399418,0.118145,3.380744,0.0471892396,0,10
0.014443,0.001009,0.491222,0.095668,5.13465318,0.0469942263,7,11
0.01543,0.000987,0.446855,0.113898,3.92329101,0.0508958908,5,12
0.01644,0.00101,0.587033,0.105679,5.55486899,0.0620370604,7,13
0.017424,0.000984,0.513585,0.127077,4.041526,0.065264841,7,14
0.018438,0.001014,0.407456,0.109471,3.72204511,0.0446046158,6,15
0.019448,0.00101,0.44292,0.140958,3.14221257,0.0624331174,6,16
0.020425,0.000977,0.428355,0.103862,4.12427067,0.044489807,9,17
0.021439,0.001014,0.4643,0.10307,4.50470554,0.047855401,12,18
0.022446,0.001007,0.474977,0.126009,3.76938949,0.0598513768,12,19
0.023427,0.000981,0.514089,0.105655,4.86573281,0.0543160733,14,20
0.024437,0.00101,0.497532,0.10349,4.80753696,0.0514895867,17,21
0.025449,0.001012,0.515049,0.095428,5.39725238,0.049150096,25,22
0.026426,0.000977,0.495253,0.099291,4.98789417,0.0491741656,30,23
0.027432,0.001006,0.431115,0.140136,3.07640435,0.0604147316,30,24
0.028436,0.001004,0.529254,0.144323,3.66714938,0.076383525,30,25
0.029442,0.001006,0.530093,0.111504,4.75402676,0.0591074899,29,26
0.030423,0.000981,0.784486,0.10166,7.71676175,0.0797508468,33,27
0.031431,0.001008,0.498516,0.10067,4.95198172,0.0501856057,38,28
0.032437,0.001006,0.501708,0.110034,4.5595725,0.0552049381,37,29
0.033441,0.001004,0.549529,0.112782,4.87248852,0.0619769797,35,30
0.034447,0.001006,0.543938,0.113028,4.81241816,0.0614802243,33,31
0.035425,0.000978,0.52611,0.125373,4.19635807,0.065959989,33,32
0.036437,0.001012,0.723444,0.112728,6.41760698,0.0815523952,31,33
0.037447,0.00101,0.465715,0.1137,4.09599824,0.0529517955,28,34
0.038425,0.000978,0.509098,0.133657,3.80898868,0.0680445114,28,35
0.03944,0.001015,0.511089,0.133735,3.82165477,0.0683504874,28,36
0.040432,0.000992,0.438169,0.110826,3.95366611,0.0485605176,27,37
0.041445,0.001013,0.552769,0.11217,4.92795756,0.0620040987,24,38
0.042432,0.000987,0.544346,0.125661,4.33186112,0.0684030627,24,39
0.043445,0.001013,0.538252,0.094534,5.69373982,0.0508831146,33,40
0.044435,0.00099,0.530285,0.100353,5.28419679,0.0532156906,38,41
0.045425,0.00099,0.534508,0.101834,5.2488167,0.0544310877,42,42
0.046442,0.001017,0.535348,0.110304,4.853387,0.0590510258,41,43
0.04743,0.000988,0.560807,0.134977,4.15483379,0.0756960464,41,44
0.048444,0.001014,0.561335,0.114587,4.89876688,0.0643216936,37,45
0.049433,0.000989,0.611724,0.110538,5.53406069,0.0676187475,36,46
0.050441,0.001008,0.55332,0.130742,4.23215187,0.0723421634,36,47
0.051453,0.001012,0.539787,0.082098,6.57491047,0.0443154331,36,48
