t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,4.724885,-4461.94008,2029322921,1562,1
0.002016,0.002016,4.724194,-4460.55196,2029025940,1563,1
0.004039,0.002023,4.725173,-4462.51863,2029446237,1564,1
0.006055,0.002016,4.725508,-4463.1916,2029590250,1565,2
0.010093,0.004038,4.725589,-4463.35432,2029625265,1567,1
0.012109,0.002016,4.72614,-4464.4612,2029861543,1568,1
0.014132,0.002023,4.725241,-4462.65524,2029475485,1569,1
0.016148,0.002016,4.724409,-4460.98387,2029118339,1570,2
0.020186,0.004038,4.725009,-4462.18918,2029375611,1572,1
0.022202,0.002016,4.725428,-4463.03089,2029555800,1573,1
0.024224,0.002022,4.725338,-4462.85009,2029517213,1574,1
0.02624,0.002016,4.725832,-4463.84247,2029729254,1575,2
0.030279,0.004039,4.725059,-4462.28962,2029397330,1577,1
0.032295,0.002016,4.724111,-4460.38523,2028990106,1578,1
0.034317,0.002022,4.724713,-4461.59456,2029249076,1579,1
0.036333,0.002016,4.725357,-4462.88826,2029525298,1580,1
0.038356,0.002023,4.725171,-4462.51462,2029445550,1581,2
0.042388,0.004032,4.725812,-4463.80229,2029720777,1583,1
0.04441,0.002022,4.725313,-4462.79987,2029506614,1584,1
0.046426,0.002016,4.724403,-4460.97181,2029115759,1585,1
0.048448,0.002022,4.724793,-4461.75527,2029282859,1586,2
0.052487,0.004039,4.725657,-4463.49092,2029654117,1588,1
0.054503,0.002016,4.725352,-4462.87822,2029523043,1589,1
0.056525,0.002022,4.725948,-4464.0755,2029779389,1590,1
0.058541,0.002016,4.725517,-4463.20968,2029593952,1591,2
0.06258,0.004039,4.724452,-4461.07025,2029136636,1593,1
0.064595,0.002015,4.724726,-4461.62067,2029254339,1594,1
0.066618,0.002023,4.725864,-4463.90675,2029743209,1595,1
0.068634,0.002016,4.725391,-4462.95656,2029540117,1596,2
0.072672,0.004038,4.72591,-4463.99916,2029763070,1598,1
0.074688,0.002016,4.725587,-4463.3503,2029624053,1599,1
0.076711,0.002023,4.72448,-4461.1265,2029148816,1600,1
0.078727,0.002016,4.724532,-4461.23096,2029170839,1601,1
0.080749,0.002022,4.725648,-4463.47284,2029650577,1602,2
0.084787,0.004038,4.725229,-4462.63113,2029470586,1604,1
0.086804,0.002017,4.725611,-4463.39851,2029634373,1605,1
0.08882,0.002016,4.725502,-4463.17955,2029587568,1606,1
0.090842,0.002022,4.724406,-4460.97784,2029117072,1607,2
0.09488,0.004038,4.724381,-4460.92762,2029106157,1609,1
0.096896,0.002016,4.725624,-4463.42463,2029640185,1610,1
0.098919,0.002023,4.725309,-4462.79184,2029504757,1611,1
