t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,1.960403,195.531308,3289010,1562,1
0.002022,0.002022,1.95924,195.417298,3287060,1563,1
0.004039,0.002017,1.961321,195.6213,3290550,1564,1
0.006061,0.002022,1.959085,195.402103,3286800,1565,2
0.010099,0.004038,1.953083,194.813722,3276730,1567,1
0.012115,0.002016,1.950312,194.542078,3272080,1568,1
0.014131,0.002016,1.948035,194.318862,3268260,1569,1
0.016154,0.002023,1.956373,195.136244,3282250,1570,2
0.020192,0.004038,1.959634,195.455922,3287720,1572,1
0.022208,0.002016,1.957172,195.21457,3283590,1573,1
0.024231,0.002023,1.954156,194.918909,3278530,1574,1
0.026246,0.002015,1.958746,195.368871,3286230,1575,2
0.030285,0.004039,1.954263,194.929398,3278710,1577,1
0.032301,0.002016,1.951712,194.679321,3274430,1578,1
0.034323,0.002022,1.959306,195.423768,3287170,1579,1
0.036339,0.002016,1.957041,195.201728,3283370,1580,2
0.040378,0.004039,1.955354,195.03635,3280540,1582,1
0.042394,0.002016,1.953882,194.892049,3278070,1583,1
0.044416,0.002022,1.94996,194.507571,3271490,1584,1
0.046432,0.002016,1.960081,195.499742,3288470,1585,2
0.050471,0.004039,1.961702,195.65865,3291190,1587,1
0.052486,0.002015,1.963067,195.792462,3293480,1588,1
0.054509,0.002023,1.961929,195.680903,3291570,1589,1
0.056525,0.002016,1.966137,196.093417,3298630,1590,1
0.058547,0.002022,1.965779,196.058322,3298030,1591,2
0.062586,0.004039,1.968503,196.325358,3302600,1593,1
0.064602,0.002016,1.964432,195.926275,3295770,1594,1
0.066624,0.002022,1.950175,194.528648,3271850,1595,1
0.06864,0.002016,1.954514,194.954004,3279130,1596,2
0.072679,0.004039,1.961041,195.593852,3290080,1598,1
0.074695,0.002016,1.954097,194.913125,3278430,1599,1
0.076717,0.002022,1.953304,194.835387,3277100,1600,1
0.078733,0.002016,1.955134,195.014783,3280170,1601,2
0.082771,0.004038,1.953608,194.865188,3277610,1603,1
0.084787,0.002016,1.954597,194.962141,3279270,1604,1
0.08681,0.002023,1.949072,194.42052,3270000,1605,1
0.088826,0.002016,1.957172,195.21457,3283590,1606,2
0.092864,0.004038,1.956981,195.195846,3283270,1608,1
0.094887,0.002023,1.949066,194.419932,3269990,1609,1
0.096903,0.002016,1.960462,195.537092,3289110,1610,1
0.098918,0.002015,1.958513,195.34603,3285840,1611,1
0.100941,0.002023,1.959997,195.491507,3288330,1612,2
0.104979,0.004038,1.966041,196.084006,3298470,1614,1
0.106995,0.002016,1.965189,196.000484,3297040,1615,1
0.109018,0.002023,1.95654,195.152615,3282530,1616,1
0.111031,0.002013,1.950961,194.6057,3273170,1617,2
0.115069,0.004038,1.961398,195.628849,3290680,1619,1
0.117091,0.002022,1.947928,194.308373,3268080,1620,1
0.119107,0.002016,1.954967,194.998412,3279890,1621,1
0.12113,0.002023,1.960665,195.556992,3289450,1622,2
0.125168,0.004038,1.959538,195.446511,3287560,1624,1
0.127184,0.002016,1.953864,194.890284,3278040,1625,1
0.129206,0.002022,1.95536,195.036938,3280550,1626,1
0.131223,0.002017,1.95024,194.53502,3271960,1627,2
0.135261,0.004038,1.945299,194.050649,3263670,1629,1
0.137277,0.002016,1.958168,195.312209,3285260,1630,1
0.139299,0.002022,1.958549,195.349559,3285900,1631,1
0.141315,0.002016,1.967931,196.269285,3301640,1632,1
0.143338,0.002023,1.957977,195.293485,3284940,1633,2
0.147376,0.004038,1.951987,194.70628,3274890,1635,1
0.149392,0.002016,1.955664,195.06674,3281060,1636,1
0.151408,0.002016,1.95505,195.006549,3280030,1637,1
0.15343,0.002022,1.957732,195.269467,3284530,1638,2
0.157469,0.004039,1.957637,195.260155,3284370,1640,1
0.159485,0.002016,1.956767,195.174868,3282910,1641,1
0.161507,0.002022,1.956785,195.176632,3282940,1642,1
0.163523,0.002016,1.949346,194.44738,3270460,1643,2
0.167562,0.004039,1.958835,195.377596,3286380,1645,1
0.169578,0.002016,1.950634,194.573644,3272620,1646,1
0.1716,0.002022,1.962698,195.756289,3292860,1647,1
0.173616,0.002016,1.964974,195.979407,3296680,1648,2
0.177655,0.004039,1.966655,196.144197,3299500,1650,1
0.179677,0.002022,1.96029,195.520231,3288820,1651,1
0.181693,0.002016,1.96321,195.806481,3293720,1652,1
0.183715,0.002022,1.973069,196.772967,3310260,1653,1
0.185731,0.002016,1.955426,195.043408,3280660,1654,2
0.18977,0.004039,1.947075,194.224752,3266650,1656,1
0.191786,0.002016,1.956993,195.197023,3283290,1657,1
0.193808,0.002022,1.954025,194.906067,3278310,1658,1
0.195824,0.002016,1.954049,194.90842,3278350,1659,2
0.199863,0.004039,1.953191,194.824309,3276910,1661,1
0.201885,0.002022,1.952815,194.78745,3276280,1662,1
0.203901,0.002016,1.970345,196.505931,3305690,1663,1
0.205923,0.002022,1.96107,195.596695,3290130,1664,2
0.209955,0.004032,1.952845,194.79039,3276330,1666,1
0.211978,0.002023,1.944119,193.934973,3261690,1667,1
0.213994,0.002016,1.946503,194.168679,3265690,1668,1
0.216016,0.002022,1.953238,194.828917,3276990,1669,2
0.220055,0.004039,1.953512,194.855777,3277450,1671,1
0.222071,0.002016,1.949984,194.509924,3271530,1672,1
0.224093,0.002022,1.953155,194.82078,3276850,1673,1
0.226109,0.002016,1.949322,194.445028,3270420,1674,1
0.228131,0.002022,1.956946,195.192415,3283210,1675,2
0.23217,0.004039,1.959282,195.421415,3287130,1677,1
0.234186,0.002016,1.957887,195.284662,3284790,1678,1
0.236202,0.002016,1.962471,195.734036,3292480,1679,1
0.238224,0.002022,1.961684,195.656886,3291160,1680,2
0.242262,0.004038,1.957786,195.274761,3284620,1682,1
0.244278,0.002016,1.955658,195.066151,3281050,1683,1
0.246301,0.002023,1.966143,196.094005,3298640,1684,1
0.248317,0.002016,1.953441,194.848817,3277330,1685,2
0.252355,0.004038,1.946563,194.17456,3265790,1687,1
0.254371,0.002016,1.950991,194.608641,3273220,1688,1
0.256394,0.002023,1.951027,194.61217,3273280,1689,1
0.25841,0.002016,1.951122,194.621483,3273440,1690,2
0.262448,0.004038,1.960242,195.515525,3288740,1692,1
0.264471,0.002023,1.95623,195.122225,3282010,1693,1
0.266487,0.002016,1.962245,195.711881,3292100,1694,1
0.268503,0.002016,1.962322,195.719429,3292230,1695,1
0.270525,0.002022,1.966292,196.108612,3298890,1696,2
0.274563,0.004038,1.959282,195.421415,3287130,1698,1
0.276579,0.002016,1.96231,195.718253,3292210,1699,1
0.278602,0.002023,1.957899,195.285839,3284810,1700,1
0.280618,0.002016,1.94447,193.969382,3262280,1701,2
0.284656,0.004038,1.950365,194.547274,3272170,1703,1
0.286679,0.002023,1.954514,194.954004,3279130,1704,1
0.288695,0.002016,1.956052,195.104776,3281710,1705,1
0.29071,0.002015,1.952124,194.71971,3275120,1706,2
0.294749,0.004039,1.957959,195.291721,3284910,1708,1
0.296771,0.002022,1.964808,195.963134,3296400,1709,1
0.298787,0.002016,1.94878,194.391895,3269510,1710,1
0.300803,0.002016,1.9436,193.884095,3260820,1711,2
0.304842,0.004039,1.94999,194.510512,3271540,1713,1
0.306864,0.002022,1.953983,194.90195,3278240,1714,1
0.30888,0.002016,1.952738,194.779901,3276150,1715,1
0.310902,0.002022,1.953584,194.862835,3277570,1716,2
0.314941,0.004039,1.959181,195.411514,3286960,1718,1
0.316957,0.002016,1.956099,195.109383,3281790,1719,1
0.318979,0.002022,1.944971,194.018495,3263120,1720,1
0.320995,0.002016,1.94878,194.391895,3269510,1721,1
0.323011,0.002016,1.95868,195.362401,3286120,1722,2
