t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.505658,0.000386,,0.000195183988,0,0
0.004967,0.004967,0.475985,0.016221,,0.00772095268,0,1
0.006398,0.001431,0.692346,-0.001877,,-0.00129953344,0,2
0.006986,0.000588,0.48268,0.024913,19.3746237,0.0120250068,0,3
0.007679,0.000693,0.500532,0.012016,,0.00601439251,0,4
0.008668,0.000989,0.416574,-0.006352,,-0.00264607805,0,5
0.009653,0.000985,0.511377,-0.00832,,-0.00425465664,0,6
0.010658,0.001005,0.490454,0.02751,17.8282079,0.0134923895,0,7
0.011691,0.001033,0.503291,-0.007486,,-0.00376763643,0,8
0.012655,0.000964,0.513945,-0.005291,,-0.00271928299,0,9
0.01366,0.001005,0.430587,-0.004349,,-0.00187262286,0,10
0.014666,0.001006,0.515768,-0.007486,,-0.00386103925,0,11
0.015669,0.001003,0.442296,-0.006994,,-0.00309341822,0,12
0.016652,0.000983,0.524935,-0.008344,,-0.00438005764,0,13
0.017656,0.001004,0.43505,-0.006334,,-0.0027556067,0,14
0.018663,0.001007,0.458061,-0.006232,,-0.00285463615,0,15
0.019666,0.001003,0.654914,-0.006574,,-0.00430540464,0,16
0.020671,0.001005,0.52935,-0.007288,,-0.0038579028,0,17
0.021651,0.00098,0.512073,-0.00835,,-0.00427580955,0,18
0.022658,0.001007,0.508954,-0.00835,,-0.0042497659,0,19
0.023662,0.001004,0.537748,-0.00721,,-0.00387716308,0,20
0.024668,0.001006,0.633271,-0.006334,,-0.00401113851,0,21
0.025651,0.000983,0.595887,-0.008164,,-0.00486482147,0,22
0.026659,0.001008,0.597711,-0.002831,,-0.00169211984,0,23
0.027667,0.001008,0.631663,0.022975,27.4934929,0.0145124574,0,24
0.028652,0.000985,0.733593,-0.006094,,-0.00447051574,0,25
0.029659,0.001007,0.484311,0.02781,17.4149946,0.0134686889,0,26
0.030665,0.001006,0.669095,-0.00835,,-0.00558694325,0,27
0.031673,0.001008,0.459693,0.018272,,0.0083995105,0,28
0.032657,0.000984,0.442608,-0.002477,,-0.00109634002,0,29
0.033661,0.001004,0.573428,-0.007162,,-0.00410689134,0,30
0.034665,0.001004,0.417894,0.000162,,6.7698828e-05,0,31
0.035672,0.001007,0.662881,0.018854,,0.0124979584,0,32
0.036658,0.000986,0.506171,-0.0073,,-0.0036950483,0,33
0.037661,0.001003,0.595743,-0.007744,,-0.00461343379,0,34
0.038667,0.001006,0.510538,-0.004271,,-0.0021805078,0,35
0.03967,0.001003,0.492709,-0.005951,,-0.00293211126,0,36
0.040678,0.001008,0.657674,-0.006652,,-0.00437484745,0,37
0.041657,0.000979,0.52587,0.025243,20.8323099,0.0132745364,0,38
0.042666,0.001009,0.586721,0.014595,,0.008563193,0,39
0.043668,0.001002,0.527406,-0.004577,,-0.00241393726,0,40
0.044653,0.000985,0.559199,-0.008338,,-0.00466260126,0,41
0.04566,0.001007,0.634663,-0.00835,,-0.00529943605,0,42
0.046665,0.001005,0.488822,-0.004907,,-0.00239864955,0,43
0.047672,0.001007,0.613883,-0.005255,,-0.00322595516,0,44
0.04866,0.000988,0.612756,-0.006898,,-0.00422679089,0,45
0.049672,0.001012,0.533765,-0.006232,,-0.00332642348,0,46
0.050659,0.000987,0.64606,-0.004355,,-0.0028135913,0,47
0.05167,0.001011,0.464588,0.009808,,0.0045566791,0,48
0.052659,0.000989,0.485535,0.021482,22.6019458,0.0104302629,0,49
0.05366,0.001001,0.607765,-0.006772,,-0.00411578458,0,50
0.05467,0.00101,0.490454,-0.004811,,-0.00235957419,0,51
0.05566,0.00099,0.472314,-0.005957,,-0.0028135745,0,52
0.056669,0.001009,0.537844,0.030696,17.5216315,0.0165096594,0,53
0.057658,0.000989,0.533837,0.023089,23.1208368,0.0123257625,0,54
0.058665,0.001007,0.516224,-0.007648,,-0.00394808115,0,55
0.059673,0.001008,0.456789,0.020708,22.0585764,0.00945918661,0,56
0.06066,0.000987,0.508594,0.023407,21.7282864,0.0119046598,0,57
0.061668,0.001008,0.64978,-0.002135,,-0.0013872803,0,58
0.062656,0.000988,0.495205,-0.007774,,-0.00384972367,0,59
0.063664,0.001008,0.504539,0.025411,19.8551415,0.0128208405,0,60
0.064653,0.000989,0.645604,0.009724,,0.0062778533,0,61
0.065661,0.001008,0.55524,-0.002657,,-0.00147527268,0,62
0.06667,0.001009,0.624993,-0.00652,,-0.00407495436,0,63
0.067657,0.000987,0.512505,0.000156,,7.995078e-05,0,64
0.068659,0.001002,0.523255,-0.00655,,-0.00342732025,0,65
0.069662,0.001003,0.511881,-0.007498,,-0.00383808374,0,66
0.070669,0.001007,0.597687,0.023839,25.0718151,0.0142482604,0,67
0.07167,0.001001,0.465139,0.032387,14.3619045,0.0150644568,0,68
0.072673,0.001003,0.720276,-0.002333,,-0.00168040391,0,69
0.073654,0.000981,0.486135,-0.00652,,-0.0031696002,0,70
0.074657,0.001003,0.468619,-0.007936,,-0.00371896038,0,71
0.075663,0.001006,0.502427,-0.005627,,-0.00282715673,0,72
0.076649,0.000986,0.435098,-0.00835,,-0.0036330683,0,73
0.077658,0.001009,0.459621,0.014343,,0.006592344,0,74
0.078664,0.001006,0.511593,0.024547,20.8413655,0.0125580734,0,75
