t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,4.728922,-4470.04983,2031056335,7851,1
0.002016,0.002016,4.729677,-4471.56652,2031380978,7852,1
0.004039,0.002023,4.729356,-4470.92168,2031242990,7853,1
0.006055,0.002016,4.72834,-4468.88068,2030806684,7854,2
0.010093,0.004038,4.728666,-4469.53557,2030946575,7856,1
0.012109,0.002016,4.729704,-4471.62076,2031392571,7857,1
0.014132,0.002023,4.729164,-4470.53598,2031160636,7858,1
0.016148,0.002016,4.729641,-4471.4942,2031365480,7859,1
0.01817,0.002022,4.729405,-4471.02011,2031264010,7860,2
0.022208,0.004038,4.728304,-4468.80836,2030791073,7862,1
0.024224,0.002016,4.728436,-4469.07353,2030847865,7863,1
0.02624,0.002016,4.729461,-4471.13261,2031287929,7864,1
0.028263,0.002023,4.728742,-4469.68824,2030979121,7865,2
0.032301,0.004038,4.729328,-4470.86543,2031230787,7867,1
0.034317,0.002016,4.729309,-4470.82726,2031222758,7868,1
0.03634,0.002023,4.728164,-4468.52712,2030731131,7869,1
0.038356,0.002016,4.728156,-4468.51105,2030727691,7870,2
0.042394,0.004038,4.729404,-4471.0181,2031263738,7872,1
0.04441,0.002016,4.728938,-4470.08198,2031063108,7873,1
0.046432,0.002022,4.729426,-4471.0623,2031273160,7874,1
0.048448,0.002016,4.729566,-4471.34354,2031333307,7875,2
0.052487,0.004039,4.728433,-4469.0675,2030846583,7877,1
0.054503,0.002016,4.72822,-4468.63962,2030755129,7878,1
0.056525,0.002022,4.729272,-4470.75293,2031206927,7879,1
0.058541,0.002016,4.728584,-4469.37084,2030911373,7880,1
0.060564,0.002023,4.728776,-4469.75654,2030993580,7881,2
0.064596,0.004032,4.729101,-4470.40942,2031133254,7883,1
0.066618,0.002022,4.728103,-4468.40458,2030704606,7884,1
0.068634,0.002016,4.727733,-4467.6613,2030545739,7885,1
0.070656,0.002022,4.729034,-4470.27483,2031104480,7886,2
0.074688,0.004032,4.728867,-4469.93935,2031032889,7888,1
0.076711,0.002023,4.729289,-4470.78708,2031214199,7889,1
0.078727,0.002016,4.729713,-4471.63884,2031396263,7890,1
0.080749,0.002022,4.728712,-4469.62797,2030966402,7891,2
0.084788,0.004039,4.728362,-4468.92487,2030816098,7893,1
0.086804,0.002016,4.729434,-4471.07837,2031276583,7894,1
0.08882,0.002016,4.729335,-4470.87949,2031233992,7895,1
0.090842,0.002022,4.729415,-4471.0402,2031268434,7896,2
0.09488,0.004038,4.729769,-4471.75133,2031420245,7898,1
0.096896,0.002016,4.728785,-4469.77462,2030997486,7899,1
0.098919,0.002023,4.728195,-4468.5894,2030744337,7900,1
0.100935,0.002016,4.729103,-4470.41344,2031134200,7901,1
0.102951,0.002016,4.728969,-4470.14425,2031076421,7902,2
0.106989,0.004038,4.729012,-4470.23063,2031095180,7904,1
0.109012,0.002023,4.729602,-4471.41586,2031348622,7905,1
0.111028,0.002016,4.728598,-4469.39896,2030917134,7906,1
0.11305,0.002022,4.727828,-4467.85215,2030586729,7907,2
0.117088,0.004038,4.728805,-4469.8148,2031006086,7909,1
0.119104,0.002016,4.729099,-4470.4054,2031132638,7910,1
0.12112,0.002016,4.728942,-4470.09001,2031065286,7911,1
0.123143,0.002023,4.729706,-4471.62478,2031393463,7912,2
0.127181,0.004038,4.729034,-4470.27483,2031104870,7914,1
0.129197,0.002016,4.728144,-4468.48694,2030722453,7915,1
0.13122,0.002023,4.728884,-4469.9735,2031040175,7916,1
0.133236,0.002016,4.729284,-4470.77704,2031212071,7917,2
0.137274,0.004038,4.728835,-4469.87506,2031019307,7919,1
0.13929,0.002016,4.729442,-4471.09444,2031279770,7920,1
0.141312,0.002022,4.728993,-4470.19246,2031087124,7921,1
0.143328,0.002016,4.728018,-4468.23383,2030668456,7922,1
0.145351,0.002023,4.728504,-4469.21013,2030876826,7923,2
0.149389,0.004038,4.729235,-4470.67861,2031190769,7925,1
0.151405,0.002016,4.728874,-4469.95341,2031035891,7926,1
0.153428,0.002023,4.729517,-4471.2451,2031312211,7927,1
0.155444,0.002016,4.729101,-4470.40942,2031133594,7928,2
0.159482,0.004038,4.728092,-4468.38248,2030699947,7930,1
0.161498,0.002016,4.728469,-4469.13982,2030861773,7931,1
