t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,1.959604,195.452981,3287670,7850,1
0.002023,0.002023,1.963472,195.832165,3294160,7851,1
0.004039,0.002016,1.969135,196.387314,3303660,7852,1
0.006055,0.002016,1.960313,195.522485,3288860,7853,1
0.008077,0.002022,1.953602,194.8646,3277600,7854,2
0.012115,0.004038,1.955873,195.087228,3281410,7856,1
0.014131,0.002016,1.958299,195.325051,3285480,7857,1
0.016154,0.002023,1.960051,195.496801,3288420,7858,1
0.01817,0.002016,1.969767,196.449269,3304720,7859,2
0.022208,0.004038,1.964194,195.902943,3295370,7861,1
0.024224,0.002016,1.956338,195.132812,3282190,7862,1
0.026247,0.002023,1.9584,195.334952,3285650,7863,1
0.028263,0.002016,1.961273,195.616595,3290470,7864,1
0.030285,0.002022,1.956338,195.132812,3282190,7865,2
0.034317,0.004032,1.956511,195.149772,3282480,7867,1
0.036339,0.002022,1.959533,195.446021,3287550,7868,1
0.038355,0.002016,1.957566,195.253194,3284250,7869,1
0.040378,0.002023,1.953983,194.90195,3278240,7870,2
0.044416,0.004038,1.950902,194.599916,3273070,7872,1
0.046432,0.002016,1.952356,194.742453,3275510,7873,1
0.048448,0.002016,1.954967,194.998412,3279890,7874,1
0.050471,0.002023,1.957381,195.235059,3283940,7875,2
0.054509,0.004038,1.950932,194.602857,3273120,7877,1
0.056525,0.002016,1.958931,195.387007,3286540,7878,1
0.058547,0.002022,1.958036,195.299269,3285040,7879,1
0.060563,0.002016,1.951188,194.627953,3273550,7880,2
0.064602,0.004039,1.942813,193.806945,3259500,7882,1
0.066618,0.002016,1.959252,195.418474,3287080,7883,1
0.06864,0.002022,1.964754,195.95784,3296310,7884,1
0.070656,0.002016,1.955128,195.014195,3280160,7885,2
0.074695,0.004039,1.95123,194.632071,3273620,7887,1
0.076711,0.002016,1.959372,195.430238,3287280,7888,1
0.078733,0.002022,1.953244,194.829505,3277000,7889,1
0.080749,0.002016,1.94971,194.483064,3271070,7890,1
0.082771,0.002022,1.962012,195.68904,3291710,7891,2
0.086803,0.004032,1.953948,194.898519,3278180,7893,1
0.088826,0.002023,1.951218,194.630894,3273600,7894,1
0.090842,0.002016,1.953632,194.867541,3277650,7895,1
0.092864,0.002022,1.959068,195.400437,3286770,7896,2
0.096903,0.004039,1.960748,195.565129,3289590,7898,1
0.098919,0.002016,1.946688,194.186814,3266000,7899,1
0.100935,0.002016,1.958221,195.317405,3285350,7900,1
0.102957,0.002022,1.959515,195.444257,3287520,7901,2
0.106995,0.004038,1.93975,193.506676,3254360,7903,1
0.109011,0.002016,1.943111,193.836158,3260000,7904,1
0.111034,0.002023,1.962143,195.701882,3291930,7905,1
0.11305,0.002016,1.966512,196.130179,3299260,7906,2
0.117088,0.004038,1.967597,196.236542,3301080,7908,1
0.119104,0.002016,1.978332,197.288904,3319090,7909,1
0.121127,0.002023,1.968175,196.293204,3302050,7910,1
0.123143,0.002016,1.955003,195.001941,3279950,7911,1
0.125165,0.002022,1.95241,194.747747,3275600,7912,2
0.129203,0.004038,1.953179,194.823133,3276890,7914,1
0.131219,0.002016,1.955318,195.032821,3280480,7915,1
0.133235,0.002016,1.957297,195.226824,3283800,7916,1
0.135258,0.002023,1.964486,195.931568,3295860,7917,2
0.139296,0.004038,1.961386,195.627672,3290660,7919,1
0.141312,0.002016,1.960695,195.559933,3289500,7920,1
0.143335,0.002023,1.952136,194.720887,3275140,7921,1
0.145351,0.002016,1.953542,194.858718,3277500,7922,2
0.149389,0.004038,1.953435,194.848229,3277320,7924,1
