t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.48643,0.100651,4.83283822,0.0489596659,0,0
0.002811,0.002811,0.41487,0.098619,4.20679585,0.0409140645,0,1
0.004662,0.001851,0.575204,0.100526,5.72194258,0.0578229573,1,2
0.00627,0.001608,0.4828,0.12127,3.98119898,0.058549156,1,3
0.00727,0.001,0.471858,0.08505,5.54800705,0.0401315229,2,4
0.008264,0.000994,0.498948,0.083844,5.95090883,0.0418337961,2,5
0.00926,0.000996,0.663864,0.099279,6.6868522,0.0659077541,2,6
0.010279,0.001019,0.43313,0.126963,3.41146633,0.0549914842,3,7
0.011271,0.000992,0.548113,0.10124,5.41399644,0.0554909601,3,8
0.012263,0.000992,0.412711,0.103286,3.99580776,0.0426272683,3,9
0.013281,0.001018,0.596295,0.091234,6.53588574,0.054402378,4,10
0.014296,0.001015,0.580123,0.13055,4.44368441,0.0757350577,4,11
0.015281,0.000985,0.56455,0.125139,4.51138334,0.0706472225,4,12
0.01629,0.001009,0.580722,0.096315,6.02940352,0.0559322394,4,13
0.017268,0.000978,0.478936,0.131132,3.6523198,0.0628038356,5,14
0.018285,0.001017,0.596127,0.102878,5.79450417,0.0613283535,5,15
0.019285,0.001,0.529685,0.097701,5.42149006,0.0517507542,5,16
0.020266,0.000981,0.488031,0.096675,5.04816137,0.0471803969,6,17
0.021298,0.001032,0.584226,0.091378,6.39350828,0.0533854034,6,18
0.022274,0.000976,0.445704,0.104474,4.26617149,0.0465644797,6,19
0.02326,0.000986,0.447335,0.10124,4.41855986,0.0452881954,7,20
0.024269,0.001009,0.447407,0.120634,3.70879686,0.053972496,7,21
0.025274,0.001005,0.499284,0.090329,5.5273943,0.0450998244,7,22
0.026259,0.000985,0.468883,0.093982,4.98907238,0.0440665621,8,23
0.027269,0.00101,0.597975,0.091222,6.55516213,0.0545484755,8,24
0.028278,0.001009,0.581058,0.095913,6.05817772,0.055731016,9,25
0.029263,0.000985,0.446831,0.103868,4.30191204,0.0464114423,9,26
0.030274,0.001011,0.612348,0.106357,5.75747718,0.0651274962,9,27
0.03126,0.000986,0.517808,0.101432,5.10497673,0.0525223011,10,28
0.032274,0.001014,0.565006,0.105157,5.37297565,0.0594143359,10,29
0.033269,0.000995,0.572924,0.102926,5.56636807,0.0589687756,10,30
0.034263,0.000994,0.422621,0.105925,3.98981355,0.0447661294,10,31
0.03526,0.000997,0.432123,0.130874,3.30182466,0.0565536655,11,32
0.036277,0.001017,0.625017,0.108397,5.76599906,0.0677499677,11,33
0.037272,0.000995,0.59224,0.095188,6.22179266,0.0563741411,11,34
0.038268,0.000996,0.499356,0.097053,5.14518871,0.0484639979,12,35
0.039263,0.000995,0.630272,0.097203,6.48407971,0.0612643292,12,36
0.040261,0.000998,0.409735,0.106441,3.84940953,0.0436126031,12,37
0.04128,0.001019,0.393659,0.105775,3.72166391,0.0416392807,13,38
0.042274,0.000994,0.484311,0.103694,4.67057882,0.0502201448,13,39
0.04327,0.000996,0.512385,0.09232,5.55009749,0.0473033832,13,40
0.044263,0.000993,0.41679,0.089693,4.64685092,0.0373831455,14,41
0.045284,0.001021,0.571029,0.092824,6.15173877,0.0530051959,14,42
0.046274,0.00099,0.615227,0.102854,5.98155638,0.0632785579,15,43
0.047271,0.000997,0.572156,0.109477,5.2262667,0.0626379224,15,44
0.048288,0.001017,0.511593,0.141948,3.60408741,0.0726196032,15,45
0.049264,0.000976,0.52683,0.106123,4.96433384,0.0559087801,53,46
0.050294,0.00103,0.623097,0.093082,6.69406545,0.057999115,53,47
0.051273,0.000979,0.562942,0.152295,3.69639187,0.0857332519,55,48
0.052277,0.001004,0.480232,0.119314,4.02494259,0.0572984008,55,49
0.053277,0.001,0.617123,0.10445,5.9083102,0.0644584974,55,50
0.054276,0.000999,0.571053,0.120232,4.74959245,0.0686588443,55,51
0.055276,0.001,0.545234,0.113082,4.8215808,0.0616561512,55,52
0.056277,0.001001,0.550585,0.118475,4.64726736,0.0652305579,55,53
0.057282,0.001005,0.563374,0.122416,4.60212717,0.0689659916,55,54
0.058261,0.000979,0.565918,0.122524,4.61883386,0.069338537,55,55
0.059266,0.001005,0.56659,0.121486,4.66382958,0.0688327527,55,56
0.060269,0.001003,0.661921,0.11926,5.55023478,0.0789406985,55,57
0.061275,0.001006,0.530069,0.12259,4.32391712,0.0649811587,55,58
0.062278,0.001003,0.509482,0.155295,3.28073666,0.0791200072,55,59
0.06328,0.001002,0.632431,0.118577,5.33350481,0.0749917707,55,60
0.064268,0.000988,0.585234,0.114641,5.10492756,0.067091811,55,61
0.065275,0.001007,0.565918,0.107671,5.25599279,0.060932957,55,62
0.066265,0.00099,0.56311,0.143129,3.93428306,0.0805973712,60,63
0.067277,0.001012,0.586817,0.148966,3.93926802,0.0874157812,64,64
0.068265,0.000988,0.539931,0.151383,3.56665544,0.0817363746,65,65
0.069275,0.00101,0.558263,0.152487,3.66105307,0.0851278501,67,66
0.070261,0.000986,0.69213,0.122206,5.66363354,0.0845824388,67,67
0.07126,0.000999,0.694698,0.123298,5.63430064,0.085654874,67,68
0.072271,0.001011,0.699521,0.122818,5.69559022,0.0859137702,67,69
0.073276,0.001005,0.50857,0.124023,4.10061037,0.0630743771,67,70
0.074261,0.000985,0.606949,0.109579,5.53891713,0.0665088645,67,71
0.075271,0.00101,0.594232,0.117677,5.04968685,0.0699274391,67,72
0.076279,0.001008,0.591688,0.149896,3.94732348,0.0886916644,70,73
0.07728,0.001001,0.590104,0.109399,5.39405296,0.0645567875,70,74
0.078278,0.000998,0.682292,0.142475,4.78885418,0.0972095527,76,75
0.079287,0.001009,0.571221,0.146255,3.90565109,0.0835439274,81,76
