t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,4.725695,-4463.56726,2029670371,8532,1
0.002016,0.002016,4.72573,-4463.63757,2029685538,8533,1
0.004038,0.002022,4.726423,-4465.0297,2029983383,8534,1
0.006054,0.002016,4.72722,-4466.63076,2030325280,8535,2
0.010092,0.004038,4.726608,-4465.40134,2030062648,8537,1
0.012115,0.002023,4.726291,-4464.76453,2029926486,8538,1
0.014131,0.002016,4.727444,-4467.08074,2030421682,8539,1
0.016153,0.002022,4.727458,-4467.10887,2030427804,8540,1
0.018169,0.002016,4.72763,-4467.45439,2030501421,8541,2
0.022208,0.004039,4.727834,-4467.8642,2030589130,8543,1
0.024224,0.002016,4.726507,-4465.19845,2030019411,8544,1
0.026246,0.002022,4.72539,-4462.95455,2029539335,8545,1
0.028262,0.002016,4.725938,-4464.05541,2029774969,8546,2
0.0323,0.004038,4.726076,-4464.33263,2029833933,8548,1
0.034316,0.002016,4.725939,-4464.05742,2029775443,8549,1
0.036339,0.002023,4.726351,-4464.88507,2029952159,8550,1
0.038355,0.002016,4.725565,-4463.3061,2029614712,8551,2
0.042393,0.004038,4.724964,-4462.09878,2029356577,8553,1
0.044416,0.002023,4.725966,-4464.11166,2029787135,8554,1
0.046432,0.002016,4.726678,-4465.54196,2030092904,8555,1
0.048454,0.002022,4.726934,-4466.05623,2030202667,8556,2
0.052492,0.004038,4.72765,-4467.49457,2030510389,8558,1
0.054508,0.002016,4.727139,-4466.46804,2030290484,8559,1
0.056524,0.002016,4.72633,-4464.84288,2029943466,8560,1
0.058547,0.002023,4.726801,-4465.78905,2030145794,8561,1
0.060563,0.002016,4.727358,-4466.90798,2030384687,8562,2
0.064601,0.004038,4.726908,-4466.004,2030191440,8564,1
0.066624,0.002023,4.727088,-4466.36559,2030269104,8565,1
0.06864,0.002016,4.72611,-4464.40093,2029849021,8566,1
0.070656,0.002016,4.724801,-4461.77134,2029286433,8567,2
0.074694,0.004038,4.725101,-4462.374,2029415219,8569,1
0.076716,0.002022,4.725854,-4463.88666,2029738917,8570,1
0.078732,0.002016,4.725608,-4463.39249,2029633178,8571,1
0.080755,0.002023,4.726192,-4464.56566,2029883996,8572,2
