t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0,,4.727511,-4467.21534,2030450587,2805,1
0.002022,0.002022,4.727984,-4468.16553,2030653542,2806,2
0.006054,0.004032,4.729186,-4470.58017,2031169917,2808,1
0.008077,0.002023,4.728976,-4470.15831,2031079908,2809,1
0.010093,0.002016,4.729911,-4472.03659,2031481533,2810,1
0.012115,0.002022,4.73001,-4472.23547,2031523715,2811,2
0.016154,0.004039,4.728951,-4470.10809,2031069179,2813,1
0.01817,0.002016,4.72883,-4469.86502,2031017179,2814,1
0.020186,0.002016,4.729551,-4471.3134,2031326541,2815,1
0.022208,0.002022,4.728809,-4469.82283,2031008032,2816,1
0.024224,0.002016,4.729125,-4470.45763,2031143572,2817,2
0.028262,0.004038,4.72892,-4470.04582,2031055577,2819,1
0.030285,0.002023,4.727772,-4467.73965,2030562525,2820,1
0.032301,0.002016,4.727791,-4467.77782,2030570915,2821,1
0.034317,0.002016,4.728889,-4469.98354,2031042297,2822,2
0.038355,0.004038,4.72815,-4468.499,2030725032,2824,1
0.040378,0.002023,4.728592,-4469.38691,2030914852,2825,1
0.042394,0.002016,4.728701,-4469.60588,2030961678,2826,1
0.044416,0.002022,4.727764,-4467.72358,2030558913,2827,2
0.048454,0.004038,4.727778,-4467.7517,2030565089,2829,1
0.05047,0.002016,4.72932,-4470.84936,2031227401,2830,1
0.052486,0.002016,4.729055,-4470.31701,2031113870,2831,1
0.054509,0.002023,4.729623,-4471.45804,2031357851,2832,2
0.058547,0.004038,4.729771,-4471.75535,2031421071,2834,1
0.060563,0.002016,4.72848,-4469.16192,2030866531,2835,1
0.062586,0.002023,4.727962,-4468.12133,2030644062,2836,1
0.064602,0.002016,4.728769,-4469.74248,2030990742,2837,1
0.066618,0.002016,4.728076,-4468.35034,2030693228,2838,2
0.070656,0.004038,4.728488,-4469.17799,2030870363,2840,1
0.072678,0.002022,4.728905,-4470.01568,2031049350,2841,1
0.074694,0.002016,4.727912,-4468.02089,2030622531,2842,1
0.07671,0.002016,4.727438,-4467.06869,2030419060,2843,2
0.080749,0.004039,4.728488,-4469.17799,2030870093,2845,1
