t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,1.9512,194.62913,3273570,2804,1
0.002016,0.002016,1.954263,194.929398,3278710,2805,1
0.004039,0.002023,1.959926,195.484547,3288210,2806,2
0.008071,0.004032,1.955944,195.094188,3281530,2808,1
0.010093,0.002022,1.946861,194.203774,3266290,2809,1
0.012109,0.002016,1.94335,193.859587,3260400,2810,1
0.014131,0.002022,1.938236,193.358257,3251820,2811,2
0.018163,0.004032,1.947749,194.290825,3267780,2813,1
0.020186,0.002023,1.950789,194.588839,3272880,2814,1
0.022202,0.002016,1.946688,194.186814,3266000,2815,1
0.024224,0.002022,1.948434,194.357976,3268930,2816,2
0.028263,0.004039,1.952136,194.720887,3275140,2818,1
0.030279,0.002016,1.944369,193.959481,3262110,2819,1
0.032295,0.002016,1.949775,194.489436,3271180,2820,1
0.034317,0.002022,1.953954,194.899107,3278190,2821,2
0.038355,0.004038,1.951987,194.70628,3274890,2823,1
0.040371,0.002016,1.944613,193.9834,3262520,2824,1
0.042394,0.002023,1.9517,194.678145,3274410,2825,1
0.04441,0.002016,1.957542,195.250842,3284210,2826,1
0.046426,0.002016,1.959401,195.433081,3287330,2827,2
0.050464,0.004038,1.951796,194.687556,3274570,2829,1
0.052487,0.002023,1.945734,194.093293,3264400,2830,1
0.054503,0.002016,1.950735,194.583545,3272790,2831,1
0.056525,0.002022,1.951695,194.677655,3274400,2832,2
0.060557,0.004032,1.944816,194.0033,3262860,2834,1
0.062579,0.002022,1.950473,194.557861,3272350,2835,1
0.064595,0.002016,1.949948,194.506395,3271470,2836,1
0.066618,0.002023,1.949966,194.50816,3271500,2837,2
0.070656,0.004038,1.952463,194.752943,3275690,2839,1
0.072672,0.002016,1.96172,195.660415,3291220,2840,1
0.074688,0.002016,1.952034,194.710887,3274970,2841,1
0.076711,0.002023,1.95359,194.863424,3277580,2842,2
0.080749,0.004038,1.953346,194.839504,3277170,2844,1
0.082765,0.002016,1.952541,194.760589,3275820,2845,1
0.084787,0.002022,1.958716,195.36593,3286180,2846,1
0.086803,0.002016,1.953405,194.845288,3277270,2847,1
0.088819,0.002016,1.953948,194.898519,3278180,2848,2
0.092858,0.004039,1.944912,194.012711,3263020,2850,1
0.09488,0.002022,1.935732,193.112788,3247620,2851,1
0.096896,0.002016,1.938987,193.431878,3253080,2852,1
0.098919,0.002023,1.946467,194.165149,3265630,2853,2
0.102951,0.004032,1.954895,194.991354,3279770,2855,1
0.104973,0.002022,1.952761,194.782156,3276190,2856,1
0.106989,0.002016,1.958346,195.329658,3285560,2857,1
0.109011,0.002022,1.95545,195.045761,3280700,2858,2
0.113043,0.004032,1.953846,194.888519,3278010,2860,1
0.115066,0.002023,1.947862,194.301903,3267970,2861,1
0.117082,0.002016,1.959747,195.467,3287910,2862,1
0.119104,0.002022,1.952326,194.739512,3275460,2863,2
0.123143,0.004039,1.953262,194.831269,3277030,2865,1
0.125159,0.002016,1.953048,194.810291,3276670,2866,1
0.127175,0.002016,1.959956,195.487488,3288260,2867,1
0.129197,0.002022,1.951313,194.640207,3273760,2868,1
0.131213,0.002016,1.952738,194.779901,3276150,2869,2
0.135251,0.004038,1.950401,194.550803,3272230,2871,1
0.137274,0.002023,1.952499,194.756472,3275750,2872,1
0.13929,0.002016,1.960254,195.516701,3288760,2873,1
0.141306,0.002016,1.95111,194.620307,3273420,2874,2
0.145344,0.004038,1.957071,195.204669,3283420,2876,1
0.147367,0.002023,1.949745,194.486495,3271130,2877,1
0.149383,0.002016,1.938337,193.368158,3251990,2878,1
0.151405,0.002022,1.943421,193.866547,3260520,2879,2
0.155443,0.004038,1.952279,194.734905,3275380,2881,1
0.157459,0.002016,1.95182,194.689909,3274610,2882,1
0.159475,0.002016,1.952797,194.785685,3276250,2883,1
0.161498,0.002023,1.954496,194.95224,3279100,2884,2
