t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.501492,0.096087,5.21914515,0.0481868618,0,0
0.003139,0.003139,0.55656,0.105763,5.26233182,0.0588634553,1,1
0.004976,0.001837,0.424684,0.126651,3.35318316,0.0537866533,6,2
0.006575,0.001599,0.485439,0.097467,4.98054726,0.047314283,11,3
0.00759,0.001015,0.497101,0.094282,5.27249104,0.0468676765,14,4
0.008583,0.000993,0.467131,0.124473,3.7528701,0.058145197,16,5
0.009597,0.001014,0.480952,0.131948,3.64501167,0.0634606545,19,6
0.010583,0.000986,0.471402,0.102476,4.600121,0.0483073914,22,7
0.011583,0.001,0.517208,0.096315,5.36996314,0.0498148885,25,8
0.012583,0.001,0.509146,0.105757,4.81430071,0.0538457535,28,9
0.013581,0.000998,0.618562,0.131228,4.71364343,0.0811726541,30,10
0.014582,0.001001,0.471762,0.09196,5.13007829,0.0433832335,33,11
0.015581,0.000999,0.634567,0.135211,4.69316106,0.0858004386,36,12
0.016578,0.000997,0.514377,0.101528,5.06635608,0.0522236681,39,13
0.017582,0.001004,0.623985,0.148576,4.19976981,0.0927091954,42,14
0.018581,0.000999,0.493669,0.104444,4.7266382,0.051560765,44,15
0.019577,0.000996,0.540243,0.097503,5.54078336,0.0526753132,47,16
0.020581,0.001004,0.524407,0.14758,3.55337444,0.0773919851,50,17
0.021576,0.000995,0.494725,0.152175,3.25102678,0.0752847769,53,18
0.022599,0.001023,0.690667,0.134749,5.12558164,0.0930666876,55,19
0.023605,0.001006,0.53602,0.116801,4.58917304,0.062607672,58,20
0.024598,0.000993,0.524407,0.111684,4.69545324,0.0585678714,61,21
0.025602,0.001004,0.560735,0.122062,4.59385394,0.0684444356,64,22
0.026593,0.000991,0.638094,0.105721,6.03564098,0.0674599358,67,23
0.027586,0.000993,0.569661,0.112548,5.06149376,0.0641142062,69,24
0.028601,0.001015,0.577267,0.141198,4.08835111,0.0815089459,72,25
0.029595,0.000994,0.602726,0.11304,5.33197098,0.068132147,75,26
0.030587,0.000992,0.551209,0.109051,5.05459831,0.0601098927,78,27
0.031584,0.000997,0.551905,0.125595,4.39432302,0.0693165085,80,28
0.032583,0.000999,0.661033,0.121672,5.43290979,0.0804292072,83,29
0.033584,0.001001,0.61074,0.126327,4.83459593,0.077152952,86,30
0.034583,0.000999,0.594807,0.157304,3.78125795,0.0935655203,88,31
0.035582,0.000999,0.689203,0.115949,5.94401849,0.0799123986,91,32
0.036593,0.001011,0.596535,0.149176,3.99886711,0.0889887052,94,33
0.037584,0.000991,0.565678,0.11196,5.05250089,0.0633333089,97,34
0.038584,0.001,0.573452,0.114827,4.99405192,0.0658477728,99,35
0.039582,0.000998,0.602726,0.116141,5.18960574,0.0700012004,102,36
0.040577,0.000995,0.520759,0.12842,4.05512381,0.0668758708,105,37
0.041589,0.001012,0.558215,0.126981,4.39605138,0.0708826989,108,38
0.042587,0.000998,0.607165,0.121648,4.99116303,0.0738604079,111,39
0.043581,0.000994,0.741512,0.1319,5.62177407,0.0978054328,113,40
0.044577,0.000996,0.585473,0.133927,4.37158303,0.0784106425,116,41
0.045572,0.000995,0.644837,0.137299,4.6965892,0.0885354753,119,42
0.046593,0.001021,0.625905,0.156428,4.00123379,0.0979090673,121,43
0.047588,0.000995,0.655154,0.119764,5.47037507,0.0784638637,124,44
0.048589,0.001001,0.547106,0.137406,3.98167474,0.075175647,127,45
0.049586,0.000997,0.60942,0.135241,4.50617786,0.0824185702,129,46
0.050581,0.000995,0.658202,0.13941,4.72133993,0.0917599408,132,47
0.051586,0.001005,0.752765,0.127281,5.91419772,0.095812682,135,48
0.052577,0.000991,0.675286,0.124971,5.40354162,0.0843911667,137,49
0.053595,0.001018,0.635047,0.142319,4.46213787,0.090379254,140,50
0.054587,0.000992,0.626696,0.142037,4.41220245,0.0890140198,143,51
0.055575,0.000988,0.848505,0.142541,5.95270834,0.120946751,145,52
0.056591,0.001016,0.71231,0.132308,5.38372585,0.0942443115,148,53
0.057581,0.00099,0.677326,0.136825,4.95030879,0.09267513,151,54
0.05859,0.001009,0.69165,0.171431,4.03456784,0.118570251,153,55
0.059587,0.000997,0.692922,0.142541,4.86121186,0.0987697948,156,56
0.060582,0.000995,0.677925,0.148738,4.55784668,0.100833209,158,57
0.061588,0.001006,0.692058,0.157142,4.40402948,0.108751378,161,58
0.062573,0.000985,0.676102,0.138216,4.89163339,0.093448114,164,59
0.063589,0.001016,0.724043,0.164701,4.39610567,0.119250606,166,60
0.064582,0.000993,0.688699,0.150874,4.56472951,0.103906773,169,61
0.06559,0.001008,0.612828,0.153291,3.99780809,0.0939410169,171,62
0.066577,0.000987,0.79682,0.137275,5.8045529,0.109383465,174,63
0.067593,0.001016,0.723612,0.183093,3.95215546,0.132488292,176,64
0.068583,0.00099,0.705064,0.182751,3.85805823,0.128851151,179,65
0.06957,0.000987,0.807545,0.189991,4.25043818,0.153426282,181,66
0.070587,0.001017,0.847785,0.170549,4.97091745,0.144588884,183,67
0.071577,0.00099,0.67663,0.157568,4.29420948,0.106615236,186,68
0.072592,0.001015,0.634519,0.184202,3.44469115,0.116879669,188,69
0.073587,0.000995,0.742687,0.144107,5.15371911,0.107026396,191,70
0.074584,0.000997,0.742424,0.157226,4.72201799,0.116728356,193,71
0.075584,0.001,0.733809,0.15632,4.69427456,0.114709023,196,72
0.076577,0.000993,0.689107,0.158954,4.33526052,0.109536314,198,73
0.077576,0.000999,0.744799,0.165138,4.5101612,0.122994617,201,74
0.078574,0.000998,0.720564,0.160064,4.50172431,0.115336356,203,75
0.079575,0.001001,0.849536,0.151395,5.61138743,0.128615503,206,76
0.080575,0.001,0.766754,0.184712,4.15107844,0.141628665,208,77
0.081575,0.001,0.704728,0.16632,4.23718134,0.117210361,211,78
0.082574,0.000999,0.705496,0.166008,4.2497711,0.11711798,213,79
0.083572,0.000998,0.709071,0.165942,4.27300503,0.11766466,216,80
0.084597,0.001025,0.845409,0.140904,5.99989354,0.11912151,219,81
0.085592,0.000995,0.776784,0.165582,4.69123455,0.128621448,221,82
0.086584,0.000992,0.742711,0.168054,4.41947826,0.124815554,223,83
0.087581,0.000997,0.735729,0.167064,4.40387516,0.12291383,226,84
0.088572,0.000991,0.739688,0.16647,4.44337118,0.123135861,228,85
0.08959,0.001018,0.916386,0.167784,5.46170076,0.153754909,231,86
0.090588,0.000998,0.760947,0.170849,4.45391545,0.130007034,233,87
0.091586,0.000998,0.778536,0.164515,4.73231012,0.12808085,236,88
0.092575,0.000989,0.791733,0.195036,4.0594198,0.154416437,238,89
0.093587,0.001012,0.722172,0.19578,3.68869139,0.141386834,240,90
0.094601,0.001014,0.730978,0.198017,3.69149113,0.144746071,243,91
0.09557,0.000969,0.843202,0.171659,4.91207568,0.144743212,245,92
0.09661,0.00104,0.8528,0.160118,5.32607202,0.13654863,248,93
0.097583,0.000973,0.86986,0.175018,4.97011736,0.152241157,250,94
0.0986,0.001017,0.811624,0.17533,4.62912223,0.142302036,253,95
0.099592,0.000992,0.737816,0.196368,3.7573128,0.144883452,255,96
0.100571,0.000979,0.802603,0.17476,4.59260128,0.1402629,257,97
0.101603,0.001032,0.761019,0.172031,4.42373177,0.13091886,260,98
0.102583,0.00098,0.730762,0.177526,4.11636605,0.129729255,262,99
0.103577,0.000994,0.809273,0.180429,4.48527121,0.146016318,264,100
0.104577,0.001,0.830292,0.172391,4.81633032,0.143134868,267,101
0.105712,0.001135,0.774337,0.169985,4.55532547,0.131625675,267,102
0.106432,0.00072,0.823838,0.167946,4.90537435,0.138360297,267,103
0.107427,0.000995,0.81496,0.175126,4.65356372,0.142720685,266,104
0.109427,0.002,0.776328,0.182775,4.24745178,0.14189335,265,105
0.11045,0.001023,0.787702,0.206979,3.80570976,0.163037772,264,106
0.112449,0.001999,0.87118,0.163279,5.33552998,0.142245399,263,107
0.113438,0.000989,1.01606,0.196644,5.1670023,0.199802103,262,108
0.114432,0.000994,0.828829,0.162919,5.08736857,0.135031992,262,109
0.115449,0.001017,0.785878,0.171767,4.57525602,0.134987906,262,110
0.11644,0.000991,0.78583,0.180771,4.34710213,0.142055275,261,111
0.117436,0.000996,0.72925,0.182097,4.00473374,0.132794237,260,112
0.118418,0.000982,0.825637,0.163141,5.06087985,0.134695246,260,113
0.119431,0.001013,0.761355,0.179787,4.23476113,0.136881731,260,114
0.120447,0.001016,0.778824,0.213902,3.64103187,0.166592011,259,115
0.121435,0.000988,0.905732,0.177712,5.09662825,0.160959445,258,116
0.12245,0.001015,0.85004,0.175378,4.84690212,0.149078315,258,117
0.123437,0.000987,0.823814,0.165804,4.96860148,0.136591656,257,118
0.12442,0.000983,0.748014,0.192996,3.87580053,0.14436371,257,119
0.125433,0.001013,0.893471,0.205012,4.35814001,0.183172277,256,120
0.12645,0.001017,0.773329,0.175162,4.41493589,0.135457854,256,121
0.127437,0.000987,0.850952,0.209763,4.05673069,0.178498244,255,122
0.128434,0.000997,0.956673,0.171095,5.59147257,0.163681967,254,123
0.129427,0.000993,0.827365,0.16914,4.89159868,0.139940516,254,124
0.13044,0.001013,0.751446,0.17515,4.29029974,0.131615767,254,125
0.131435,0.000995,0.785182,0.176908,4.43836344,0.138904977,253,126
0.132428,0.000993,0.821246,0.170645,4.81259926,0.140141524,253,127
0.133448,0.00102,0.763899,0.176506,4.32789254,0.134832757,252,128
0.13444,0.000992,0.731218,0.17632,4.14710753,0.128928358,252,129
0.135433,0.000993,0.814576,0.200381,4.06513592,0.163225553,251,130
0.136426,0.000993,0.777984,0.192763,4.03596126,0.14996653,250,131
0.137446,0.00102,0.78835,0.165216,4.77163229,0.130248034,250,132
0.13844,0.000994,0.790245,0.157682,5.01163735,0.124607412,250,133
0.139432,0.000992,0.819039,0.155301,5.27388104,0.127197576,249,134
0.140419,0.000987,0.790173,0.203734,3.87845426,0.160985106,249,135
0.141437,0.001018,0.764307,0.201257,3.79766667,0.153822134,248,136
0.142431,0.000994,0.732874,0.176644,4.1488757,0.129457795,247,137
0.143452,0.001021,0.724355,0.179019,4.04624649,0.129673308,247,138
0.144435,0.000983,0.805698,0.174365,4.62075531,0.140485532,246,139
0.145477,0.001042,0.788541,0.17704,4.45402734,0.139603299,246,140
0.146467,0.00099,0.918065,0.173567,5.28939833,0.159345788,245,141
0.148438,0.001971,0.948347,0.176122,5.38460272,0.16702477,244,142
0.14942,0.000982,0.806442,0.184484,4.37133844,0.148775646,244,143
0.150429,0.001009,0.797756,0.168756,4.72727488,0.134626112,243,144
0.151438,0.001009,0.807497,0.162481,4.96979339,0.13120292,243,145
0.152419,0.000981,0.709863,0.171923,4.12895889,0.122041777,243,146
0.153427,0.001008,0.799315,0.155259,5.14826838,0.124100848,242,147
0.154437,0.00101,0.754661,0.173909,4.33940164,0.13124234,242,148
0.155417,0.00098,0.788158,0.165276,4.76873835,0.130263602,241,149
0.156426,0.001009,0.798859,0.158588,5.03732313,0.126689451,241,150
0.157434,0.001008,0.801883,0.189559,4.23025549,0.15200414,240,151
0.158445,0.001011,0.787462,0.174394,4.51541911,0.137328648,240,152
0.159426,0.000981,0.793508,0.180861,4.38739142,0.14351465,239,153
0.160437,0.001011,0.806178,0.19593,4.11462257,0.157954456,239,154
0.16142,0.000983,0.804642,0.181473,4.43394885,0.146020798,238,155
0.162437,0.001017,0.738272,0.161899,4.56007758,0.119525499,238,156
