t_s,src,stream,value,raw_code,seq
-1.999918,3,sma_v,0.476009,0,3181694
-1.999918,4,sma_i,0.114006,0,3181694
-1.999915,2,load,1.878393,3151420,1795889
-1.998938,3,sma_v,0.398962,0,3181695
-1.998938,4,sma_i,0.078469,0,3181695
-1.998908,1,laser,4.47696,1922839825,1795897
-1.997937,3,sma_v,0.43637,0,3181696
-1.997937,4,sma_i,0.076736,0,3181696
-1.997899,2,load,1.87971,3153630,1795890
-1.99693,3,sma_v,0.396682,0,3181697
-1.99693,4,sma_i,0.071133,0,3181697
-1.996892,1,laser,4.477388,1923023807,1795898
-1.995916,3,sma_v,0.457437,0,3181698
-1.995916,4,sma_i,0.087971,0,3181698
-1.995883,2,load,1.876861,3148850,1795891
-1.994933,3,sma_v,0.482056,0,3181699
-1.994933,4,sma_i,0.131156,0,3181699
-1.994876,1,laser,4.477983,1923278969,1795899
-1.993923,3,sma_v,0.508906,0,3181700
-1.993923,4,sma_i,0.067942,0,3181700
-1.993867,2,load,1.878852,3152190,1795892
-1.992938,3,sma_v,0.495925,0,3181701
-1.992938,4,sma_i,0.073838,0,3181701
-1.99286,1,laser,4.477983,1923278969,1795900
-1.991927,4,sma_i,0.111858,0,3181702
-1.991927,3,sma_v,0.683276,0,3181702
-1.991851,2,load,1.878852,3152190,1795893
-1.990941,4,sma_i,0.067204,0,3181703
-1.990941,3,sma_v,0.677182,0,3181703
-1.99085,1,laser,4.477587,1923108838,1795901
-1.989931,4,sma_i,0.09427,0,3181704
-1.989931,3,sma_v,0.60918,0,3181704
-1.989841,2,load,1.878148,3151010,1795894
-1.988945,3,sma_v,0.510346,0,3181705
-1.988945,4,sma_i,0.126075,0,3181705
-1.988834,1,laser,4.478284,1923408276,1795902
-1.987938,3,sma_v,0.50046,0,3181706
-1.987938,4,sma_i,0.109165,0,3181706
-1.987825,2,load,1.877666,3150200,1795895
-1.986928,3,sma_v,0.504203,0,3181707
-1.986928,4,sma_i,0.139062,0,3181707
-1.986818,1,laser,4.477596,1923112780,1795903
-1.985944,4,sma_i,0.14944,0,3181708
-1.985944,3,sma_v,0.479128,0,3181708
-1.985809,2,load,1.878136,3150990,1795896
-1.984938,4,sma_i,0.147928,0,3181709
-1.984938,3,sma_v,0.412399,0,3181709
-1.984802,1,laser,4.476291,1922552227,1795904
-1.983925,3,sma_v,0.486831,0,3181710
-1.983925,4,sma_i,0.100257,0,3181710
-1.983793,2,load,1.87552,3146600,1795897
-1.982942,4,sma_i,0.08388,0,3181711
-1.982942,3,sma_v,0.534197,0,3181711
-1.982786,1,laser,4.476291,1922552227,1795905
-1.981936,3,sma_v,0.513969,0,3181712
-1.981936,4,sma_i,0.079813,0,3181712
-1.981777,2,load,1.87552,3146600,1795898
-1.980932,3,sma_v,0.441577,0,3181713
-1.980932,4,sma_i,0.10262,0,3181713
-1.98077,1,laser,4.476545,1922661471,1795906
-1.979926,3,sma_v,0.489038,0,3181714
-1.979926,4,sma_i,0.112758,0,3181714
-1.979761,2,load,1.8767,3148580,1795899
-1.97894,3,sma_v,0.505883,0,3181715
-1.97894,4,sma_i,0.148012,0,3181715
-1.978754,1,laser,4.477533,1923085839,1795907
-1.977927,3,sma_v,0.512121,0,3181716
-1.977927,4,sma_i,0.108721,0,3181716
-1.977745,2,load,1.876557,3148340,1795900
-1.976942,4,sma_i,0.080713,0,3181717
-1.976942,3,sma_v,0.500172,0,3181717
-1.976738,1,laser,4.477438,1923045137,1795908
-1.975931,4,sma_i,0.106573,0,3181718
-1.975931,3,sma_v,0.468547,0,3181718
-1.975729,2,load,1.878989,3152420,1795901
-1.974948,4,sma_i,0.103388,0,3181719
-1.974948,3,sma_v,0.553104,0,3181719
-1.974722,1,laser,4.4783,1923415249,1795909
-1.973922,3,sma_v,0.473226,0,3181720
-1.973922,4,sma_i,0.116927,0,3181720
-1.973713,2,load,1.877004,3149090,1795902
-1.97294,3,sma_v,0.476345,0,3181721
-1.97294,4,sma_i,0.127665,0,3181721
-1.972706,1,laser,4.4783,1923415249,1795910
-1.971931,3,sma_v,0.666024,0,3181722
-1.971931,4,sma_i,0.07718,0,3181722
-1.971697,2,load,1.877004,3149090,1795903
-1.970924,4,sma_i,0.106825,0,3181723
-1.970924,3,sma_v,0.512865,0,3181723
-1.97069,1,laser,4.478308,1923418650,1795911
-1.969924,3,sma_v,0.515433,0,3181724
-1.969924,4,sma_i,0.099759,0,3181724
-1.969681,2,load,1.877314,3149610,1795904
-1.968924,3,sma_v,0.567933,0,3181725
-1.968924,4,sma_i,0.105271,0,3181725
-1.968674,1,laser,4.477343,1923004070,1795912
-1.967942,3,sma_v,0.504611,0,3181726
-1.967942,4,sma_i,0.104654,0,3181726
-1.967665,2,load,1.879501,3153280,1795905
-1.966938,3,sma_v,0.643685,0,3181727
-1.966938,4,sma_i,0.133387,0,3181727
-1.966658,1,laser,4.477814,1923206571,1795913
-1.965941,4,sma_i,0.123136,0,3181728
-1.965941,3,sma_v,0.5753,0,3181728
-1.965649,2,load,1.880479,3154920,1795906
-1.964934,3,sma_v,0.450647,0,3181729
-1.964934,4,sma_i,0.126867,0,3181729
-1.964642,1,laser,4.479174,1923790552,1795914
-1.963933,3,sma_v,0.536956,0,3181730
-1.963933,4,sma_i,0.102806,0,3181730
-1.963633,2,load,1.881558,3156730,1795907
-1.962922,3,sma_v,0.484959,0,3181731
-1.962922,4,sma_i,0.121564,0,3181731
-1.962626,1,laser,4.479064,1923743471,1795915
-1.961935,4,sma_i,0.155361,0,3181732
-1.961935,3,sma_v,0.48839,0,3181732
-1.961617,2,load,1.881558,3156730,1795908
-1.960927,3,sma_v,0.515001,0,3181733
-1.960927,4,sma_i,0.060071,0,3181733
-1.96061,1,laser,4.479064,1923743471,1795916
-1.959941,4,sma_i,0.12953,0,3181734
-1.959941,3,sma_v,0.516152,0,3181734
-1.959601,2,load,1.873958,3143980,1795909
-1.958931,3,sma_v,0.514977,0,3181735
-1.958931,4,sma_i,0.06778,0,3181735
-1.958601,1,laser,4.479811,1924064146,1795917
-1.957931,3,sma_v,0.51584,0,3181736
-1.957931,4,sma_i,0.136825,0,3181736
-1.957585,2,load,1.873982,3144020,1795910
-1.956947,3,sma_v,0.522583,0,3181737
-1.956947,4,sma_i,0.071817,0,3181737
-1.956585,1,laser,4.479879,1924093600,1795918
-1.955946,3,sma_v,0.501995,0,3181738
-1.955946,4,sma_i,0.099789,0,3181738
-1.955576,2,load,1.873112,3142560,1795911
-1.954942,3,sma_v,0.502547,0,3181739
-1.954942,4,sma_i,0.127083,0,3181739
-1.954569,1,laser,4.478687,1923581494,1795919
-1.95394,3,sma_v,0.4983,0,3181740
-1.95394,4,sma_i,0.056832,0,3181740
-1.953559,2,load,1.873899,3143880,1795912
-1.952932,3,sma_v,0.498852,0,3181741
-1.952932,4,sma_i,0.109117,0,3181741
-1.952552,1,laser,4.478823,1923639786,1795920
-1.951923,3,sma_v,0.513369,0,3181742
-1.951923,4,sma_i,0.104726,0,3181742
-1.951544,2,load,1.873899,3143880,1795913
-1.950941,4,sma_i,0.080077,0,3181743
-1.950941,3,sma_v,0.51097,0,3181743
-1.950537,1,laser,4.478823,1923639786,1795921
-1.949936,4,sma_i,0.10238,0,3181744
-1.949936,3,sma_v,0.515816,0,3181744
-1.949527,2,load,1.876223,3147780,1795914
-1.948927,4,sma_i,0.105229,0,3181745
-1.948927,3,sma_v,0.446447,0,3181745
-1.948517,1,laser,4.480049,1924166466,1795922
-1.947944,3,sma_v,0.559895,0,3181746
-1.947944,4,sma_i,0.106117,0,3181746
-1.947508,2,load,1.877892,3150580,1795915
-1.946941,3,sma_v,0.487887,0,3181747
-1.946941,4,sma_i,0.107281,0,3181747
-1.946501,1,laser,4.479774,1924048191,1795923
-1.945937,3,sma_v,0.659138,0,3181748
-1.945937,4,sma_i,0.134779,0,3181748
-1.945492,2,load,1.876104,3147580,1795916
-1.944924,3,sma_v,0.517088,0,3181749
-1.944924,4,sma_i,0.059543,0,3181749
-1.944492,1,laser,4.480508,1924363539,1795924
-1.943938,4,sma_i,0.108919,0,3181750
-1.943938,3,sma_v,0.418781,0,3181750
-1.943476,2,load,1.881927,3157350,1795917
-1.942931,4,sma_i,0.109393,0,3181751
-1.942931,3,sma_v,0.601142,0,3181751
-1.942476,1,laser,4.480477,1924350364,1795925
-1.941923,4,sma_i,0.105295,0,3181752
-1.941923,3,sma_v,0.642149,0,3181752
-1.941467,2,load,1.879889,3153930,1795918
-1.940914,4,sma_i,0.14689,0,3181753
-1.940914,3,sma_v,0.558143,0,3181753
-1.94046,1,laser,4.480477,1924350364,1795926
-1.939904,4,sma_i,0.112134,0,3181754
-1.939904,3,sma_v,0.606901,0,3181754
-1.939451,2,load,1.879889,3153930,1795919
-1.938904,3,sma_v,0.40556,0,3181755
-1.938904,4,sma_i,0.098907,0,3181755
-1.938444,1,laser,4.478848,1923650551,1795927
-1.937926,3,sma_v,0.416814,0,3181756
-1.937926,4,sma_i,0.12899,0,3181756
-1.937435,2,load,1.878446,3151510,1795920
-1.936923,3,sma_v,0.458613,0,3181757
-1.936923,4,sma_i,0.134671,0,3181757
-1.936428,1,laser,4.478467,1923487097,1795928
-1.935919,4,sma_i,0.111402,0,3181758
-1.935919,3,sma_v,0.402033,0,3181758
-1.935419,2,load,1.877934,3150650,1795921
-1.934902,4,sma_i,0.1034,0,3181759
-1.934902,3,sma_v,0.421013,0,3181759
-1.934412,1,laser,4.479584,1923966501,1795929
-1.933943,4,sma_i,0.136159,0,3181760
-1.933943,3,sma_v,0.563806,0,3181760
-1.933403,2,load,1.879096,3152600,1795922
-1.93294,3,sma_v,0.47253,0,3181761
-1.93294,4,sma_i,0.14905,0,3181761
-1.932396,1,laser,4.479219,1923810026,1795930
-1.931937,3,sma_v,0.507874,0,3181762
-1.931937,4,sma_i,0.089933,0,3181762
-1.931387,2,load,1.879585,3153420,1795923
-1.93038,1,laser,4.479219,1923810026,1795931
-1.929371,2,load,1.879585,3153420,1795924
-1.928364,1,laser,4.479713,1924022279,1795932
-1.927355,2,load,1.879096,3152600,1795925
-1.926348,1,laser,4.47986,1924085341,1795933
-1.925941,4,sma_i,0.091696,0,3181763
-1.925941,3,sma_v,0.6839,0,3181763
-1.925339,2,load,1.876223,3147780,1795926
-1.924938,3,sma_v,0.634399,0,3181764
-1.924938,4,sma_i,0.107773,0,3181764
-1.924332,1,laser,4.478376,1923447808,1795934
-1.923931,3,sma_v,0.60882,0,3181765
-1.923931,4,sma_i,0.129794,0,3181765
-1.923323,2,load,1.877767,3150370,1795927
-1.922947,3,sma_v,0.504347,0,3181766
-1.922947,4,sma_i,0.105187,0,3181766
-1.922316,1,laser,4.477991,1923282472,1795935
-1.921941,3,sma_v,0.397786,0,3181767
-1.921941,4,sma_i,0.103574,0,3181767
-1.921307,2,load,1.878268,3151210,1795928
-1.920939,3,sma_v,0.692394,0,3181768
-1.920939,4,sma_i,0.101354,0,3181768
-1.9203,1,laser,4.477991,1923282472,1795936
-1.919933,3,sma_v,0.60942,0,3181769
-1.919933,4,sma_i,0.104078,0,3181769
-1.919291,2,load,1.878268,3151210,1795929
-1.918927,3,sma_v,0.637974,0,3181770
-1.918927,4,sma_i,0.105991,0,3181770
-1.918284,1,laser,4.479168,1923787891,1795937
-1.917946,4,sma_i,0.132308,0,3181771
-1.917946,3,sma_v,0.398578,0,3181771
-1.917275,2,load,1.875895,3147230,1795930
-1.916941,3,sma_v,0.428763,0,3181772
-1.916941,4,sma_i,0.126705,0,3181772
