t_s,laser,load,sma_v,sma_i,cc_u,cc_r_est,laser_mm,force_mN,power_W,sma_r,phase
-1.99991,4.555797,1.833922,0.469411,0.099357,0.500763,4.89185,-4.12226665,179.781024,0.0466392687,4.72448846,pre
-1.999407,4.555871,1.833922,0.469411,0.099357,0.500763,4.89185,-4.1224153,179.781024,0.0466392687,4.72448846,pre
-1.998901,4.555945,1.833922,0.50971,0.103442,0.5003815,4.889288,-4.12256396,179.781024,0.0527254218,4.9274956,pre
-1.998405,4.556019,1.833922,0.550009,0.107527,0.5,4.886726,-4.12271261,179.781024,0.0591408177,5.11507807,pre
-1.997894,4.556093,1.833922,0.507862,0.1058985,0.5,4.8857485,-4.12286127,179.781024,0.053781824,4.79574309,pre
-1.997423,4.556093,1.833922,0.465715,0.10427,0.5,4.884771,-4.12286127,179.781024,0.048560103,4.4664333,pre
-1.996885,4.556093,1.833922,0.4549055,0.1059015,0.5,4.8822015,-4.12286127,179.781024,0.0481751748,4.29555294,pre
-1.996415,4.556093,1.83494275,0.444096,0.107533,0.5,4.879632,-4.12286127,179.881089,0.0477549752,4.12985781,pre
-1.995878,4.556093,1.8359635,0.527106,0.108022,0.5,4.8766545,-4.12286127,179.981154,0.0569390443,4.87961712,pre
-1.995407,4.55571425,1.83698425,0.610116,0.108511,0.5,4.873677,-4.12210041,180.081219,0.0662042973,5.6226189,pre
-1.994869,4.5553355,1.838005,0.549421,0.139557,0.5,4.873677,-4.12133956,180.181284,0.0766755465,3.93689317,pre
-1.9944,4.55495675,1.8374015,0.488726,0.170603,0.5,4.873677,-4.12057871,180.122123,0.0833781218,2.86469757,pre
-1.993868,4.554578,1.836798,0.5233865,0.138387,0.5,4.8719245,-4.11981785,180.062961,0.0724298876,3.78204961,pre
-1.99342,4.5545135,1.8361945,0.558047,0.106171,0.5,4.870172,-4.11968828,180.003799,0.059248408,5.25611514,pre
-1.992859,4.554449,1.835591,0.536812,0.0905265,0.5,4.870172,-4.11955871,179.944638,0.0485957115,5.92988793,pre
-1.992415,4.5543845,1.83552975,0.515577,0.074882,0.5,4.870172,-4.11942914,179.938633,0.0386074369,6.8851927,pre
-1.991849,4.55432,1.8354685,0.4841915,0.0810485,0.5,4.870172,-4.11929957,179.932629,0.0392429948,5.97409576,pre
-1.991408,4.55459325,1.83540725,0.452806,0.087215,0.5,4.870172,-4.11984849,179.926625,0.0394914753,5.19183627,pre
-1.99084,4.5548665,1.835346,0.4775085,0.092053,0.501408,4.873348,-4.12039741,179.92062,0.04395609,5.18732143,pre
-1.990398,4.55513975,1.83441925,0.502211,0.096891,0.502816,4.876524,-4.12094633,179.82977,0.048659726,5.18325747,pre
-1.989833,4.555413,1.8334925,0.5099375,0.1008475,0.501408,4.8756795,-4.12149525,179.73892,0.051425922,5.05652098,pre
-1.989417,4.55529875,1.83256575,0.517664,0.104804,0.5,4.874835,-4.12126573,179.64807,0.0542532579,4.93935346,pre
-1.988824,4.5551845,1.831639,0.512529,0.1192815,0.5,4.874835,-4.12103622,179.55722,0.0611352279,4.2968021,pre
-1.98841,4.55507025,1.831639,0.507394,0.133759,0.5,4.874835,-4.12080671,179.55722,0.067868514,3.79334475,pre
-1.987817,4.554956,1.831639,0.5058465,0.101126,0.5,4.874835,-4.1205772,179.55722,0.0511542332,5.00214089,pre
-1.987404,4.554956,1.831639,0.504299,0.068493,0.5,4.874835,-4.1205772,179.55722,0.0345409514,7.3627816,pre
-1.986808,4.554956,1.831639,0.5026555,0.106996,0.5,4.874835,-4.1205772,179.55722,0.0537821279,4.69789058,pre
-1.986427,4.554956,1.83153325,0.501012,0.145499,0.5,4.874835,-4.1205772,179.546853,0.072896745,3.44340511,pre
-1.985808,4.554956,1.8314275,0.453622,0.1142425,0.5,4.874835,-4.1205772,179.536486,0.0518229113,3.97069392,pre
-1.985394,4.55508475,1.83132175,0.406232,0.082986,0.5,4.874835,-4.12083584,179.526119,0.0337115688,4.89518714,pre
-1.984792,4.5552135,1.831216,0.4547735,0.0843,0.5,4.874835,-4.12109448,179.515753,0.038337406,5.39470344,pre
