file,dataset,channel,src,adc,rows,fs_hz,duration_s,drive,condition,notes
A_idle_laser.csv,A,laser,1,ADS1263,24050,400.812,60.001,none (SMA disarmed),idle,"rig at rest, nothing actuating, no SMA connected"
A_idle_load.csv,A,load,2,ADS1263,24031,400.509,59.999,none (SMA disarmed),idle,"rig at rest, nothing actuating, no SMA connected"
B_shorted_laser.csv,B,laser,1,ADS1263,24077,400.879,60.058,none (SMA disarmed),shorted,"load cell SIG+ shorted to SIG- AT THE AMPLIFIER INPUT; bridge still powered and in circuit, so this is amplifier+excitation+cable+ADC with the sensor signal removed"
B_shorted_load.csv,B,load,2,ADS1263,24061,400.599,60.06,none (SMA disarmed),shorted,"load cell SIG+ shorted to SIG- AT THE AMPLIFIER INPUT; bridge still powered and in circuit, so this is amplifier+excitation+cable+ADC with the sensor signal removed"
C_224340_sma-connected_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",20643,983.331,20.992,mode=voltage volts=0.5 mA=None,224340_sma-connected,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_224340_sma-connected_laser.csv,C,laser,1,ADS1263,8656,388.548,22.275,mode=voltage volts=0.5 mA=None,224340_sma-connected,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_224340_sma-connected_load.csv,C,load,2,ADS1263,8652,388.369,22.275,mode=voltage volts=0.5 mA=None,224340_sma-connected,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_230850_sma-connected-cc_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",20533,978.336,20.987,mode=cc volts=0.5 mA=106.0,230850_sma-connected-cc,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_230850_sma-connected-cc_laser.csv,C,laser,1,ADS1263,8655,388.649,22.267,mode=cc volts=0.5 mA=106.0,230850_sma-connected-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_230850_sma-connected-cc_load.csv,C,load,2,ADS1263,8648,388.334,22.267,mode=cc volts=0.5 mA=106.0,230850_sma-connected-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_231141_sma-disconnected-voltage_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",20644,983.344,20.993,mode=voltage volts=0.5 mA=106.0,231141_sma-disconnected-voltage,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_231141_sma-disconnected-voltage_laser.csv,C,laser,1,ADS1263,8648,388.528,22.256,mode=voltage volts=0.5 mA=106.0,231141_sma-disconnected-voltage,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_231141_sma-disconnected-voltage_load.csv,C,load,2,ADS1263,8647,388.483,22.256,mode=voltage volts=0.5 mA=106.0,231141_sma-disconnected-voltage,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_231944_sma-higher-cc_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",20542,978.777,20.986,mode=cc volts=0.5 mA=155.0,231944_sma-higher-cc,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_231944_sma-higher-cc_laser.csv,C,laser,1,ADS1263,8658,388.329,22.293,mode=cc volts=0.5 mA=155.0,231944_sma-higher-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_231944_sma-higher-cc_load.csv,C,load,2,ADS1263,8654,388.114,22.295,mode=cc volts=0.5 mA=155.0,231944_sma-higher-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_232918_sma-connected-cc_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",20549,979.071,20.987,mode=cc volts=0.5 mA=100.0,232918_sma-connected-cc,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_232918_sma-connected-cc_laser.csv,C,laser,1,ADS1263,8653,388.231,22.286,mode=cc volts=0.5 mA=100.0,232918_sma-connected-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_232918_sma-connected-cc_load.csv,C,load,2,ADS1263,8647,387.926,22.288,mode=cc volts=0.5 mA=100.0,232918_sma-connected-cc,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_233618_sma-connected-cccycle_vi.csv,C,V_sma+I_sense,"3,4","H7 on-chip 16-bit (A0, A1)",37292,910.421,40.96,mode=cccycle volts=0.5 mA=100.0,233618_sma-connected-cccycle,"n_avg=4 conversions averaged per streamed sample (boxcar, NOT anti-alias); A0 then A1 read sequentially ~200 us apart; src=3 raw_code is the DAC code"
C_233618_sma-connected-cccycle_laser.csv,C,laser,1,ADS1263,16678,394.395,42.285,mode=cccycle volts=0.5 mA=100.0,233618_sma-connected-cccycle,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
C_233618_sma-connected-cccycle_load.csv,C,load,2,ADS1263,16670,394.188,42.287,mode=cccycle volts=0.5 mA=100.0,233618_sma-connected-cccycle,"same capture as the _vi file -- ADS1263 noise WITH the drive live, for drive-EMI feedthrough"
D_phase2_idle_baseline.csv,D,"C1,C2",-,"Siglent SDS2204X Plus, 8-bit, AC-coupled 1M, 1x probe",1000000,10000000.0,0.1,"un-armed, ZERO current -- reference only",phase2_idle_baseline,"C1 = A0 pad (after the 10k/10k divider); C2 = A1 pad (INA296A OUT). AC-COUPLED so DC is stripped -- volts are ripple only. Volts re-derived from int8 codes at 30.0 codes/div (stored value was 25.0). C2 scale 0.93 V/A measured. The A0 divider is UNCOMPENSATED: /2.10 at DC but ~/1.09 at 24 kHz, so the ADC pin sees half the DC and nearly all the ripple."
D_phase2_ldoOut_0p85V.csv,D,"C1,C2",-,"Siglent SDS2204X Plus, 8-bit, AC-coupled 1M, 1x probe",1000000,10000000.0,0.1,"same drive, C1 moved upstream -- the tone is on the rail itself",phase2_ldoOut_0p85V,"C1 = LDO OUTPUT, BEFORE the divider; C2 = A1 pad (INA296A OUT). AC-COUPLED so DC is stripped -- volts are ripple only. Volts re-derived from int8 codes at 30.0 codes/div (stored value was 30.0). C2 scale 0.93 V/A measured. The A0 divider is UNCOMPENSATED: /2.10 at DC but ~/1.09 at 24 kHz, so the ADC pin sees half the DC and nearly all the ripple."
D_phase2_supplyA_0p85V.csv,D,"C1,C2",-,"Siglent SDS2204X Plus, 8-bit, AC-coupled 1M, 1x probe",1000000,10000000.0,0.1,"driven 0.85 V / 186 mA into a 4.9 ohm power resistor, bench supply A",phase2_supplyA_0p85V,"C1 = A0 pad (after the 10k/10k divider); C2 = A1 pad (INA296A OUT). AC-COUPLED so DC is stripped -- volts are ripple only. Volts re-derived from int8 codes at 30.0 codes/div (stored value was 30.0). C2 scale 0.93 V/A measured. The A0 divider is UNCOMPENSATED: /2.10 at DC but ~/1.09 at 24 kHz, so the ADC pin sees half the DC and nearly all the ripple."
D_phase2_supplyB_0p85V.csv,D,"C1,C2",-,"Siglent SDS2204X Plus, 8-bit, AC-coupled 1M, 1x probe",1000000,10000000.0,0.1,"same drive, DIFFERENT bench supply -- supply eliminated as the source",phase2_supplyB_0p85V,"C1 = A0 pad (after the 10k/10k divider); C2 = A1 pad (INA296A OUT). AC-COUPLED so DC is stripped -- volts are ripple only. Volts re-derived from int8 codes at 30.0 codes/div (stored value was 30.0). C2 scale 0.93 V/A measured. The A0 divider is UNCOMPENSATED: /2.10 at DC but ~/1.09 at 24 kHz, so the ADC pin sees half the DC and nearly all the ripple."
E_250mA_400ms_c3_joined.csv,E,all four + derived,"1,2,3,4",mixed,20654,~1000 (union grid),10.4,"250 mA x 400 ms, cycle 3 of sweep_20260731_155129",250mA_400ms,"M4/M7 clock offset APPLIED (src=1/2 shifted onto the M7 clock); t_s=0 at heat onset; phase in {pre,heat,cool}. Streams are INTERPOLATED onto the union index -- convenient for reading rise times, mildly smoothed, so use the _raw file for anything spectral."
E_250mA_400ms_c3_raw.csv,E,"all streams, long format","1,2,3,4",mixed,31800,native per stream,10.4,"250 mA x 400 ms, cycle 3 of sweep_20260731_155129",250mA_400ms,"NO interpolation, NO ZOH dedup, one row per sample as the rig wrote it. Clock offset applied, t_s=0 at heat onset. value units differ per stream: src=1/2 volts, src=3 volts, src=4 AMPS, src=6 volts, src=7 ohms."
E_550mA_400ms_c3_joined.csv,E,all four + derived,"1,2,3,4",mixed,20654,~1000 (union grid),10.4,"550 mA x 400 ms, cycle 3 of sweep_20260731_155129",550mA_400ms,"M4/M7 clock offset APPLIED (src=1/2 shifted onto the M7 clock); t_s=0 at heat onset; phase in {pre,heat,cool}. Streams are INTERPOLATED onto the union index -- convenient for reading rise times, mildly smoothed, so use the _raw file for anything spectral."
E_550mA_400ms_c3_raw.csv,E,"all streams, long format","1,2,3,4",mixed,31799,native per stream,10.4,"550 mA x 400 ms, cycle 3 of sweep_20260731_155129",550mA_400ms,"NO interpolation, NO ZOH dedup, one row per sample as the rig wrote it. Clock offset applied, t_s=0 at heat onset. value units differ per stream: src=1/2 volts, src=3 volts, src=4 AMPS, src=6 volts, src=7 ohms."
