t_s,v_trig,v_dac,v_out
0,0,0.2,0.6
2e-05,0,0.2,0.6
4e-05,0,0.2,0.56
6e-05,0,0.24,0.6
8e-05,0,0.2,0.6
0.0001,0,0.2,0.6
0.00012,0,0.2,0.6
0.00014,0.04,0.2,0.6
0.00016,0,0.2,0.6
0.00018,0,0.24,0.6
0.0002,0,0.2,0.6
0.00022,0,0.2,0.6
0.00024,0,0.2,0.6
0.00026,0,0.2,0.6
0.00028,0,0.2,0.6
0.0003,0,0.2,0.56
0.00032,0,0.2,0.6
0.00034,0,0.2,0.6
0.00036,0,0.2,0.6
0.00038,0,0.2,0.6
0.0004,0,0.2,0.56
0.00042,0,0.2,0.6
0.00044,0,0.2,0.6
0.00046,0,0.2,0.6
0.00048,0,0.2,0.6
0.0005,0,0.2,0.56
0.00052,0,0.2,0.6
0.00054,0,0.2,0.6
0.00056,0,0.2,0.6
0.00058,0,0.2,0.56
0.0006,0,0.2,0.56
0.00062,0,0.2,0.6
0.00064,0,0.2,0.6
0.00066,0,0.2,0.6
0.00068,0,0.2,0.6
0.0007,0,0.2,0.6
0.00072,0,0.24,0.6
0.00074,0,0.24,0.6
0.00076,0,0.2,0.6
0.00078,0,0.2,0.6
0.0008,0,0.2,0.6
0.00082,0,0.2,0.56
0.00084,0,0.2,0.56
0.00086,0,0.2,0.6
0.00088,0,0.24,0.6
0.0009,0,0.2,0.6
0.00092,0,0.2,0.6
0.00094,0,0.2,0.6
0.00096,0,0.2,0.6
0.00098,0,0.2,0.6
0.001,0,0.2,0.6
0.00102,0,0.2,0.6
0.00104,0,0.2,0.56
0.00106,0,0.2,0.56
0.00108,0,0.2,0.6
0.0011,0,0.2,0.6
0.00112,0.04,0.2,0.6
0.00114,0,0.2,0.56
0.00116,0,0.24,0.6
0.00118,0,0.2,0.6
0.0012,0,0.2,0.6
0.00122,0,0.2,0.6
0.00124,0,0.2,0.6
0.00126,0,0.2,0.6
0.00128,0,0.2,0.64
0.0013,0,0.2,0.6
0.00132,0,0.2,0.6
0.00134,0,0.2,0.6
0.00136,0,0.2,0.6
0.00138,0,0.2,0.6
0.0014,0,0.2,0.6
0.00142,0,0.2,0.6
0.00144,0,0.2,0.56
0.00146,0,0.24,0.6
0.00148,0,0.2,0.6
0.0015,0,0.2,0.6
0.00152,0,0.2,0.6
0.00154,0,0.24,0.6
0.00156,0,0.2,0.6
0.00158,0,0.2,0.6
0.0016,0,0.2,0.6
0.00162,0,0.2,0.6
0.00164,0,0.2,0.6
0.00166,0,0.2,0.6
