step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms
small_up,unloaded,0.5,1.0,141,514,0,0.5928,1.0947,0.5019,nan,nan,13.0121,141.65
small_up,unloaded,0.5,1.0,141,514,1,0.5823,1.0988,0.5165,nan,nan,11.8501,153.5
small_up,unloaded,0.5,1.0,141,514,2,0.5907,1.0969,0.5062,nan,nan,12.4586,147.25
mid_up,unloaded,0.5,2.5,141,1631,0,0.5788,2.6421,2.0632,nan,nan,7.654,153.3
mid_up,unloaded,0.5,2.5,141,1631,1,0.5945,2.6431,2.0486,nan,nan,7.6565,152.65
mid_up,unloaded,0.5,2.5,141,1631,2,0.5857,2.6432,2.0575,nan,nan,7.6222,151.3
large_up,unloaded,0.5,5.0,141,3492,0,0.5906,5.08,4.4894,142.55,144.35,0.0,112.05
large_up,unloaded,0.5,5.0,141,3492,1,0.5789,5.08,4.5011,141.8,144.3,0.0,111.45
large_up,unloaded,0.5,5.0,141,3492,2,0.5937,5.08,4.4863,141.4,144.25,0.0,110.1
large_dn,unloaded,5.0,0.5,3492,141,0,5.08,1.1704,-3.9096,nan,nan,4.3592,130.7
large_dn,unloaded,5.0,0.5,3492,141,1,5.08,1.1709,-3.9091,nan,nan,4.3713,130.4
large_dn,unloaded,5.0,0.5,3492,141,2,5.08,1.169,-3.911,nan,nan,4.3222,129.7
small_up,loaded,0.5,1.0,141,514,0,0.593,1.1003,0.5074,nan,nan,11.7578,146.2
small_up,loaded,0.5,1.0,141,514,1,0.5938,1.0991,0.5053,nan,nan,12.0423,140.35
small_up,loaded,0.5,1.0,141,514,2,0.5975,1.1029,0.5053,nan,nan,11.3032,135.3
mid_up,loaded,0.5,2.5,141,1631,0,0.5971,2.6455,2.0484,nan,nan,7.5416,156.4
mid_up,loaded,0.5,2.5,141,1631,1,0.5966,2.6475,2.0509,nan,nan,7.4362,156.15
mid_up,loaded,0.5,2.5,141,1631,2,0.599,2.6516,2.0526,nan,nan,7.2299,155.0
large_up,loaded,0.5,5.0,141,3492,0,0.5987,5.08,4.4813,141.15,144.45,0.0,110.15
large_up,loaded,0.5,5.0,141,3492,1,0.5986,5.08,4.4814,140.9,143.9,0.0,110.3
large_up,loaded,0.5,5.0,141,3492,2,0.5762,5.08,4.5038,140.6,143.4,0.0,111.15
large_dn,loaded,5.0,0.5,3492,141,0,5.08,1.1709,-3.9091,nan,nan,4.372,130.85
large_dn,loaded,5.0,0.5,3492,141,1,5.08,1.1727,-3.9073,nan,nan,4.4205,131.7
large_dn,loaded,5.0,0.5,3492,141,2,5.08,1.1697,-3.9103,nan,nan,4.3407,130.85
