step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms,trig_to_dac_ms,dac_to_ldo_ms
small_up,unloaded,0.5,1.0,141,514,0,0.3673,0.3673,-0.0001,nan,nan,70880.0,0.0,0.0,0.0
small_up,unloaded,0.5,1.0,141,514,1,0.5338,1.2138,0.68,nan,nan,6.7984,1.9,0.4,0.4
small_up,unloaded,0.5,1.0,141,514,2,0.6087,1.2136,0.6049,nan,nan,7.6682,1.6,0.4,0.5
mid_up,unloaded,0.5,2.5,141,1631,0,0.4292,3.0146,2.5854,nan,nan,2.529,2.0,0.4,0.5
mid_up,unloaded,0.5,2.5,141,1631,1,0.5489,3.0125,2.4637,nan,nan,2.7396,2.1,0.3,0.6
mid_up,unloaded,0.5,2.5,141,1631,2,0.4755,3.0123,2.5368,nan,nan,2.669,2.0,0.4,0.5
large_up,unloaded,0.5,5.0,141,3492,0,0.434,6.0578,5.6238,nan,nan,1.817,1.9,0.5,0.5
large_up,unloaded,0.5,5.0,141,3492,1,0.5754,6.0633,5.4879,nan,nan,1.7619,1.9,0.4,0.6
large_up,unloaded,0.5,5.0,141,3492,2,0.4468,6.0663,5.6196,nan,nan,1.6666,2.0,0.5,0.5
large_dn,unloaded,5.0,0.5,3492,141,0,3.4413,0.5748,-2.8666,nan,nan,3.3062,6.5,0.4,2.5
large_dn,unloaded,5.0,0.5,3492,141,1,3.6545,0.5724,-3.0821,nan,nan,2.9988,5.8,0.5,2.3
large_dn,unloaded,5.0,0.5,3492,141,2,4.9503,0.5808,-4.3695,nan,nan,0.476,5.2,0.4,1.8
small_up,loaded,0.5,1.0,141,514,0,0.4981,1.2542,0.7561,nan,nan,3.4105,1.8,0.4,0.4
small_up,loaded,0.5,1.0,141,514,1,0.5806,1.2529,0.6722,nan,nan,7.0134,1.9,0.4,0.4
small_up,loaded,0.5,1.0,141,514,2,0.6361,1.2537,0.6176,nan,nan,7.5001,1.7,0.3,0.6
mid_up,loaded,0.5,2.5,141,1631,0,0.6048,3.0517,2.4469,nan,nan,1.1574,2.2,0.3,0.6
mid_up,loaded,0.5,2.5,141,1631,1,0.5618,3.0592,2.4974,nan,nan,2.4345,2.0,0.3,0.6
mid_up,loaded,0.5,2.5,141,1631,2,0.6331,3.0582,2.4251,nan,nan,0.8973,2.0,0.4,0.6
large_up,loaded,0.5,5.0,141,3492,0,0.5304,6.0866,5.5562,497.4,nan,1.3218,2.1,0.5,0.5
large_up,loaded,0.5,5.0,141,3492,1,0.4834,6.0812,5.5979,495.7,nan,1.4072,2.0,0.4,0.6
large_up,loaded,0.5,5.0,141,3492,2,0.5639,6.0948,5.5309,nan,nan,1.1793,2.0,0.4,0.5
large_dn,loaded,5.0,0.5,3492,141,0,5.6259,0.6336,-4.9923,499.3,nan,1.4743,1.9,0.4,0.6
large_dn,loaded,5.0,0.5,3492,141,1,6.0832,0.6318,-5.4514,498.7,nan,1.3178,1.9,0.5,0.5
large_dn,loaded,5.0,0.5,3492,141,2,3.0213,0.6346,-2.3867,nan,nan,3.124,1.9,0.5,1.2
