host_timestamp_s,monotonic_s,primary,secondary,status
1777060861.402137,822353.406000,1.71665000e-06,4.54035000,0
1777060861.415640,822353.421000,1.71672000e-06,4.54054000,0
1777060861.431645,822353.437000,1.71697000e-06,4.54007000,0
1777060861.446647,822353.453000,1.71729000e-06,4.53683000,0
1777060861.461664,822353.468000,1.71729000e-06,4.53683000,0
1777060861.462664,822353.468000,1.71683000e-06,4.53493000,0
1777060861.477664,822353.484000,1.71683000e-06,4.53493000,0
1777060861.478664,822353.484000,1.71659000e-06,4.53427000,0
1777060861.493664,822353.500000,1.71628000e-06,4.53530000,0
1777060861.508664,822353.515000,1.71628000e-06,4.53530000,0
1777060861.510168,822353.515000,1.71630000e-06,4.53915000,0
1777060861.525677,822353.531000,1.71635000e-06,4.54094000,0
1777060861.540687,822353.546000,1.71674000e-06,4.54210000,0
1777060861.555708,822353.562000,1.71674000e-06,4.54210000,0
1777060861.556714,822353.562000,1.71708000e-06,4.54013000,0
1777060861.571825,822353.578000,1.71718000e-06,4.53693000,0
1777060861.586825,822353.593000,1.71694000e-06,4.53482000,0
1777060861.601825,822353.609000,1.71694000e-06,4.53482000,0
1777060861.602824,822353.609000,1.71646000e-06,4.53405000,0
1777060861.617825,822353.625000,1.71646000e-06,4.53405000,0
1777060861.618825,822353.625000,1.71618000e-06,4.53574000,0
1777060861.634332,822353.640000,1.71597000e-06,4.53796000,0
1777060861.649844,822353.656000,1.71611000e-06,4.54066000,0
1777060861.664865,822353.671000,1.71638000e-06,4.54154000,0
1777060861.679866,822353.687000,1.71676000e-06,4.54184000,0
1777060861.694864,822353.703000,1.71705000e-06,4.53918000,0
1777060861.709864,822353.718000,1.71682000e-06,4.53627000,0
1777060861.725864,822353.734000,1.71669000e-06,4.53366000,0
1777060861.740373,822353.750000,1.71617000e-06,4.53460000,0
1777060861.756108,822353.765000,1.71595000e-06,4.53762000,0
1777060861.771202,822353.781000,1.71602000e-06,4.53965000,0
1777060861.786202,822353.796000,1.71618000e-06,4.53985000,0
1777060861.801202,822353.812000,1.71618000e-06,4.53985000,0
1777060861.802203,822353.812000,1.71654000e-06,4.54066000,0
1777060861.817206,822353.828000,1.71675000e-06,4.53956000,0
1777060861.832716,822353.843000,1.71686000e-06,4.53686000,0
1777060861.847807,822353.859000,1.71665000e-06,4.53513000,0
1777060861.862825,822353.875000,1.71626000e-06,4.53390000,0
1777060861.877825,822353.890000,1.71626000e-06,4.53390000,0
1777060861.878826,822353.890000,1.71589000e-06,4.53554000,0
1777060861.893829,822353.906000,1.71589000e-06,4.53554000,0
1777060861.895761,822353.906000,1.71577000e-06,4.53861000,0
1777060861.910701,822353.921000,1.71577000e-06,4.53861000,0
1777060861.911701,822353.921000,1.71621000e-06,4.53964000,0
1777060861.926783,822353.937000,1.71621000e-06,4.53964000,0
1777060861.927880,822353.937000,1.71660000e-06,4.53987000,0
1777060861.942093,822353.953000,1.71686000e-06,4.53877000,0
1777060861.957387,822353.968000,1.71690000e-06,4.53585000,0
1777060861.973329,822353.984000,1.71672000e-06,4.53406000,0
1777060861.988560,822354.000000,1.71632000e-06,4.53429000,0
1777060862.003568,822354.015000,1.71629000e-06,4.53538000,0
1777060862.018744,822354.031000,1.71629000e-06,4.53538000,0
1777060862.019744,822354.031000,1.71587000e-06,4.53632000,0
1777060862.034909,822354.046000,1.71609000e-06,4.53841000,0
1777060862.049278,822354.062000,1.71609000e-06,4.53841000,0
1777060862.050284,822354.062000,1.71653000e-06,4.53991000,0
1777060862.066196,822354.078000,1.71666000e-06,4.53873000,0
1777060862.080720,822354.093000,1.71699000e-06,4.53659000,0
1777060862.095726,822354.109000,1.71699000e-06,4.53659000,0
1777060862.096726,822354.109000,1.71704000e-06,4.53593000,0
1777060862.112572,822354.125000,1.71674000e-06,4.53266000,0
1777060862.127680,822354.140000,1.71674000e-06,4.53266000,0
1777060862.128733,822354.140000,1.71612000e-06,4.53304000,0
1777060862.142743,822354.156000,1.71612000e-06,4.53304000,0
1777060862.144740,822354.156000,1.71608000e-06,4.53485000,0
1777060862.158556,822354.171000,1.71608000e-06,4.53485000,0
1777060862.160061,822354.171000,1.71608000e-06,4.53784000,0
1777060862.175921,822354.187000,1.71608000e-06,4.53784000,0
1777060862.176169,822354.187000,1.71660000e-06,4.54013000,0
1777060862.191173,822354.203000,1.71690000e-06,4.53851000,0
1777060862.207042,822354.218000,1.71706000e-06,4.53726000,0
1777060862.221399,822354.234000,1.71704000e-06,4.53459000,0
1777060862.237570,822354.250000,1.71671000e-06,4.53280000,0
1777060862.252460,822354.265000,1.71639000e-06,4.53432000,0
1777060862.267483,822354.281000,1.71602000e-06,4.53567000,0
1777060862.282604,822354.296000,1.71619000e-06,4.53830000,0
1777060862.297602,822354.312000,1.71625000e-06,4.53914000,0
1777060862.312602,822354.328000,1.71675000e-06,4.53951000,0
1777060862.328636,822354.343000,1.71708000e-06,4.53920000,0
1777060862.343608,822354.359000,1.71703000e-06,4.53581000,0
1777060862.358954,822354.375000,1.71690000e-06,4.53451000,0
1777060862.373801,822354.375000,1.71652000e-06,4.53399000,0
1777060862.389321,822354.390000,1.71636000e-06,4.53472000,0
1777060862.403976,822354.406000,1.71625000e-06,4.53777000,0
1777060862.419657,822354.421000,1.71643000e-06,4.53842000,0
1777060862.434834,822354.437000,1.71643000e-06,4.53842000,0
1777060862.435090,822354.437000,1.71666000e-06,4.53970000,0
1777060862.450096,822354.453000,1.71666000e-06,4.53970000,0
1777060862.451875,822354.453000,1.71701000e-06,4.54032000,0
1777060862.466903,822354.468000,1.71719000e-06,4.53751000,0
1777060862.482114,822354.484000,1.71719000e-06,4.53751000,0
1777060862.483119,822354.484000,1.71709000e-06,4.53510000,0
1777060862.498151,822354.500000,1.71709000e-06,4.53510000,0
1777060862.499155,822354.500000,1.71670000e-06,4.53407000,0
1777060862.513759,822354.515000,1.71634000e-06,4.53499000,0
1777060862.529365,822354.531000,1.71636000e-06,4.53638000,0
1777060862.544566,822354.546000,1.71636000e-06,4.53638000,0
1777060862.545571,822354.546000,1.71646000e-06,4.54030000,0
1777060862.560314,822354.562000,1.71646000e-06,4.54030000,0
1777060862.561315,822354.562000,1.71669000e-06,4.54190000,0
1777060862.576830,822354.578000,1.71691000e-06,4.53983000,0
1777060862.591949,822354.593000,1.71714000e-06,4.53808000,0
1777060862.607127,822354.609000,1.71701000e-06,4.53658000,0
1777060862.622013,822354.625000,1.71701000e-06,4.53658000,0
1777060862.623014,822354.625000,1.71689000e-06,4.53492000,0
1777060862.638337,822354.640000,1.71689000e-06,4.53492000,0
1777060862.639399,822354.640000,1.71635000e-06,4.53461000,0
1777060862.654421,822354.656000,1.71610000e-06,4.53684000,0
1777060862.669438,822354.671000,1.71597000e-06,4.53945000,0
1777060862.684438,822354.687000,1.71643000e-06,4.54082000,0
1777060862.699521,822354.703000,1.71662000e-06,4.54082000,0
1777060862.715045,822354.718000,1.71707000e-06,4.53984000,0
1777060862.730660,822354.734000,1.71698000e-06,4.53732000,0
1777060862.745665,822354.750000,1.71679000e-06,4.53532000,0
1777060862.760286,822354.765000,1.71623000e-06,4.53481000,0
1777060862.775410,822354.781000,1.71598000e-06,4.53550000,0
1777060862.790409,822354.796000,1.71607000e-06,4.53912000,0
1777060862.806412,822354.812000,1.71615000e-06,4.54012000,0
1777060862.820838,822354.828000,1.71660000e-06,4.54130000,0
1777060862.836773,822354.843000,1.71674000e-06,4.54112000,0
1777060862.851045,822354.859000,1.71674000e-06,4.54112000,0
1777060862.853044,822354.859000,1.71685000e-06,4.53766000,0
1777060862.868068,822354.875000,1.71687000e-06,4.53492000,0
1777060862.883068,822354.890000,1.71649000e-06,4.53393000,0
1777060862.898071,822354.906000,1.71649000e-06,4.53393000,0
1777060862.899071,822354.906000,1.71611000e-06,4.53491000,0
1777060862.914116,822354.921000,1.71595000e-06,4.53756000,0
1777060862.929118,822354.937000,1.71597000e-06,4.53922000,0
1777060862.944257,822354.953000,1.71624000e-06,4.54180000,0
1777060862.959762,822354.968000,1.71656000e-06,4.54168000,0
1777060862.975109,822354.984000,1.71700000e-06,4.53714000,0
1777060862.990405,822355.000000,1.71684000e-06,4.53540000,0
1777060863.005409,822355.015000,1.71663000e-06,4.53453000,0
1777060863.020491,822355.031000,1.71614000e-06,4.53386000,0
1777060863.035184,822355.046000,1.71595000e-06,4.53514000,0
1777060863.050299,822355.062000,1.71595000e-06,4.53514000,0
1777060863.051299,822355.062000,1.71599000e-06,4.53767000,0
1777060863.066319,822355.078000,1.71615000e-06,4.53967000,0
1777060863.081828,822355.093000,1.71655000e-06,4.53995000,0
1777060863.097292,822355.109000,1.71682000e-06,4.53882000,0
1777060863.111989,822355.125000,1.71684000e-06,4.53650000,0
1777060863.127770,822355.140000,1.71684000e-06,4.53344000,0
1777060863.142043,822355.156000,1.71684000e-06,4.53344000,0
1777060863.144044,822355.156000,1.71641000e-06,4.53426000,0
1777060863.158642,822355.171000,1.71641000e-06,4.53426000,0
1777060863.159642,822355.171000,1.71609000e-06,4.53371000,0
1777060863.175216,822355.187000,1.71596000e-06,4.53688000,0
1777060863.190305,822355.203000,1.71596000e-06,4.53688000,0
1777060863.191306,822355.203000,1.71608000e-06,4.53882000,0
1777060863.206306,822355.218000,1.71647000e-06,4.54051000,0
1777060863.221306,822355.234000,1.71673000e-06,4.53779000,0
1777060863.236305,822355.250000,1.71707000e-06,4.53682000,0
1777060863.251843,822355.265000,1.71669000e-06,4.53400000,0
1777060863.266350,822355.281000,1.71669000e-06,4.53400000,0
1777060863.267350,822355.281000,1.71670000e-06,4.53420000,0
1777060863.283016,822355.296000,1.71670000e-06,4.53420000,0
1777060863.284116,822355.296000,1.71610000e-06,4.53315000,0
1777060863.298379,822355.312000,1.71610000e-06,4.53315000,0
1777060863.299379,822355.312000,1.71601000e-06,4.53510000,0
1777060863.314379,822355.328000,1.71604000e-06,4.53726000,0
1777060863.329884,822355.343000,1.71647000e-06,4.53915000,0
1777060863.345525,822355.359000,1.71647000e-06,4.53915000,0
1777060863.346597,822355.359000,1.71671000e-06,4.53961000,0
1777060863.360751,822355.375000,1.71719000e-06,4.53602000,0
1777060863.376997,822355.390000,1.71702000e-06,4.53515000,0
1777060863.391284,822355.406000,1.71702000e-06,4.53515000,0
1777060863.392281,822355.406000,1.71673000e-06,4.53325000,0
1777060863.407280,822355.421000,1.71673000e-06,4.53325000,0
1777060863.408281,822355.421000,1.71639000e-06,4.53287000,0
1777060863.423281,822355.437000,1.71611000e-06,4.53530000,0
1777060863.438282,822355.453000,1.71619000e-06,4.53732000,0
1777060863.454289,822355.468000,1.71619000e-06,4.53732000,0
1777060863.455289,822355.468000,1.71648000e-06,4.53974000,0
1777060863.469818,822355.484000,1.71648000e-06,4.53974000,0
1777060863.470818,822355.484000,1.71683000e-06,4.53954000,0
1777060863.485919,822355.500000,1.71692000e-06,4.53846000,0
1777060863.500919,822355.515000,1.71705000e-06,4.53476000,0
1777060863.516709,822355.531000,1.71705000e-06,4.53476000,0
1777060863.517715,822355.531000,1.71699000e-06,4.53390000,0
1777060863.532782,822355.546000,1.71699000e-06,4.53390000,0
1777060863.533842,822355.546000,1.71651000e-06,4.53447000,0
1777060863.548850,822355.562000,1.71651000e-06,4.53447000,0
1777060863.549851,822355.562000,1.71626000e-06,4.53516000,0
1777060863.564885,822355.578000,1.71626000e-06,4.53516000,0
1777060863.565885,822355.578000,1.71616000e-06,4.53835000,0
1777060863.580902,822355.593000,1.71635000e-06,4.53997000,0
1777060863.596097,822355.609000,1.71635000e-06,4.53997000,0
1777060863.597101,822355.609000,1.71697000e-06,4.54043000,0
1777060863.612101,822355.625000,1.71717000e-06,4.53836000,0
1777060863.627263,822355.640000,1.71713000e-06,4.53650000,0
1777060863.642419,822355.656000,1.71691000e-06,4.53500000,0
1777060863.657574,822355.671000,1.71691000e-06,4.53500000,0
1777060863.657827,822355.671000,1.71644000e-06,4.53432000,0
