host_timestamp_s,monotonic_s,primary,secondary,status
1777060777.734043,822269.750000,1.71633000e-06,4.53993000,0
1777060777.759069,822269.765000,1.71696000e-06,4.54189000,0
1777060777.768586,822269.781000,1.71709000e-06,4.53824000,0
1777060777.778099,822269.781000,1.71742000e-06,4.53662000,0
1777060777.793298,822269.796000,1.71713000e-06,4.53565000,0
1777060777.808296,822269.812000,1.71668000e-06,4.53411000,0
1777060777.823299,822269.828000,1.71635000e-06,4.53410000,0
1777060777.838817,822269.843000,1.71627000e-06,4.53671000,0
1777060777.854455,822269.859000,1.71633000e-06,4.53790000,0
1777060777.869615,822269.875000,1.71633000e-06,4.53790000,0
1777060777.870728,822269.875000,1.71685000e-06,4.54046000,0
1777060777.885879,822269.890000,1.71710000e-06,4.53950000,0
1777060777.900880,822269.906000,1.71710000e-06,4.53950000,0
1777060777.901880,822269.906000,1.71748000e-06,4.53730000,0
1777060777.917269,822269.921000,1.71723000e-06,4.53607000,0
1777060777.932463,822269.937000,1.71723000e-06,4.53607000,0
1777060777.933468,822269.937000,1.71696000e-06,4.53450000,0
1777060777.948474,822269.953000,1.71662000e-06,4.53404000,0
1777060777.963725,822269.968000,1.71645000e-06,4.53629000,0
1777060777.978924,822269.984000,1.71633000e-06,4.53923000,0
1777060777.993905,822270.000000,1.71633000e-06,4.53923000,0
1777060777.994905,822270.000000,1.71671000e-06,4.54035000,0
1777060778.009905,822270.015000,1.71707000e-06,4.54083000,0
1777060778.025633,822270.031000,1.71707000e-06,4.54083000,0
1777060778.026727,822270.031000,1.71726000e-06,4.53874000,0
1777060778.041326,822270.046000,1.71725000e-06,4.53632000,0
1777060778.056420,822270.062000,1.71706000e-06,4.53370000,0
1777060778.071428,822270.078000,1.71668000e-06,4.53485000,0
1777060778.086936,822270.093000,1.71641000e-06,4.53656000,0
1777060778.102502,822270.109000,1.71641000e-06,4.53656000,0
1777060778.103535,822270.109000,1.71631000e-06,4.53862000,0
1777060778.118631,822270.125000,1.71631000e-06,4.53862000,0
1777060778.119631,822270.125000,1.71667000e-06,4.54159000,0
1777060778.134629,822270.140000,1.71673000e-06,4.54008000,0
1777060778.149635,822270.156000,1.71730000e-06,4.54004000,0
1777060778.165151,822270.171000,1.71757000e-06,4.53750000,0
1777060778.179653,822270.187000,1.71705000e-06,4.53563000,0
1777060778.195661,822270.203000,1.71705000e-06,4.53563000,0
1777060778.196659,822270.203000,1.71697000e-06,4.53464000,0
1777060778.211169,822270.218000,1.71639000e-06,4.53561000,0
1777060778.226689,822270.234000,1.71639000e-06,4.53561000,0
1777060778.227691,822270.234000,1.71636000e-06,4.53950000,0
1777060778.243031,822270.250000,1.71657000e-06,4.54124000,0
1777060778.258290,822270.265000,1.71670000e-06,4.54203000,0
