Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","-0.0017"
"0.0200","0.0001","0.0777"
"0.0400","0.0013","0.3580"
"0.0600","0.0049","0.9430"
"0.0800","0.0142","1.9113"
"0.1000","0.0320","2.3453"
"0.1200","0.0543","2.7315"
"0.1400","0.0759","4.0904"
"0.1600","0.0960","5.2014"
"0.1800","0.1155","6.0592"
"0.2000","0.1340","6.8157"
"0.2200","0.1527","7.9302"
"0.2400","0.1719","8.4822"
"0.2600","0.1912","9.4538"
"0.2800","0.2115","9.4959"
"0.3000","0.2314","10.0820"
"0.3200","0.2513","11.2684"
"0.3400","0.2716","11.7045"
"0.3600","0.2918","12.3437"
"0.3800","0.3125","13.0075"
"0.4000","0.3326","13.9789"
"0.4200","0.3522","14.4901"
"0.4400","0.3723","14.5718"
"0.4600","0.3921","14.8984"
"0.4800","0.4122","15.3927"
"0.5000","0.4324","15.9142"
"0.5200","0.4520","16.5143"
"0.5400","0.4720","16.7128"
"0.5600","0.4918","17.0353"
"0.5800","0.5118","17.8005"
"0.6000","0.5326","18.2116"
"0.6200","0.5528","18.3337"
"0.6400","0.5721","19.2117"
"0.6600","0.5910","20.0586"
"0.6800","0.6104","20.4674"
"0.7000","0.6309","20.5077"
"0.7200","0.6512","21.1230"
"0.7400","0.6712","21.7922"
"0.7600","0.6912","22.5087"
"0.7800","0.7109","23.5877"
"0.8000","0.7317","23.7755"
"0.8200","0.7521","24.3039"
"0.8400","0.7717","25.2904"
"0.8600","0.7916","25.8923"
"0.8800","0.8111","26.5405"
"0.9000","0.8311","27.2378"
"0.9200","0.8512","27.5551"
"0.9400","0.8711","27.9017"
"0.9600","0.8912","28.5707"
"0.9800","0.9111","29.3643"
"1.0000","0.9311","30.0438"
"1.0200","0.9516","30.6158"
"1.0400","0.9712","31.3730"
"1.0600","0.9907","32.0673"
"1.0800","1.0106","32.7314"
"1.1000","1.0313","33.6568"
"1.1200","1.0524","33.9714"
"1.1400","1.0722","34.4354"
"1.1600","1.0915","35.0925"
"1.1800","1.1108","35.5902"
"1.2000","1.1306","36.4129"
"1.2200","1.1516","36.8880"
"1.2400","1.1719","37.4697"
"1.2600","1.1916","38.1553"
"1.2800","1.2116","38.5478"
"1.3000","1.2313","39.4384"
"1.3200","1.2514","39.9055"
"1.3400","1.2713","40.1948"
"1.3600","1.2908","41.0330"
"1.3800","1.3111","41.8685"
"1.4000","1.3315","42.8596"
"1.4200","1.3521","43.3170"
"1.4400","1.3722","43.5365"
"1.4600","1.3916","44.1122"
"1.4800","1.4120","44.9259"
"1.5000","1.4320","45.6405"
"1.5200","1.4509","46.4600"
"1.5400","1.4700","46.5524"
"1.5600","1.4898","46.9560"
"1.5800","1.5103","47.7002"
"1.6000","1.5309","48.7346"
"1.6200","1.5516","49.2290"
"1.6400","1.5725","49.4504"
"1.6600","1.5918","50.1600"
"1.6800","1.6114","50.6831"
"1.7000","1.6317","50.9886"
"1.7200","1.6515","51.8960"
"1.7400","1.6712","52.8602"
"1.7600","1.6905","53.6043"
"1.7800","1.7101","54.2070"
"1.8000","1.7309","54.4957"
"1.8200","1.7513","55.1168"
"1.8400","1.7714","55.4747"
"1.8600","1.7912","56.4207"
"1.8800","1.8104","57.1451"
"1.9000","1.8302","57.7783"
"1.9200","1.8505","58.6725"
"1.9400","1.8716","59.3284"
"1.9600","1.8923","59.6274"
"1.9800","1.9120","60.2736"
"2.0000","1.9322","60.8722"
"2.0200","1.9525","61.4977"
"2.0400","1.9730","62.0492"
"2.0600","1.9930","62.4361"
"2.0800","2.0118","63.3677"
"2.1000","2.0317","63.9719"
"2.1200","2.0519","64.4531"
"2.1400","2.0709","65.3009"
"2.1600","2.0903","65.8654"
"2.1800","2.1104","66.7147"
"2.2000","2.1313","67.1232"
"2.2200","2.1521","67.6308"
"2.2400","2.1716","68.4201"
"2.2600","2.1912","69.2747"
"2.2800","2.2107","69.7126"
"2.3000","2.2310","70.3218"
"2.3200","2.2519","70.4850"
"2.3400","2.2719","71.2918"
"2.3600","2.2916","71.7549"
"2.3800","2.3113","72.4438"
"2.4000","2.3312","73.3109"
"2.4200","2.3516","73.5520"
"2.4400","2.3714","74.2558"
"2.4600","2.3906","74.8517"
"2.4800","2.4085","75.7148"
"2.5000","2.4260","76.4422"
"2.5200","2.4467","77.0113"
"2.5400","2.4697","77.3874"
"2.5600","2.4925","78.3143"
"2.5800","2.5137","78.7409"
"2.6000","2.5333","79.3711"
"2.6200","2.5530","80.0654"
"2.6400","2.5727","80.8076"
"2.6600","2.5925","81.5296"
"2.6800","2.6130","81.6411"
"2.7000","2.6329","82.7065"
"2.7200","2.6524","83.1088"
"2.7400","2.6721","83.6957"
"2.7600","2.6916","84.1928"
"2.7800","2.7117","84.8105"
"2.8000","2.7315","85.4485"
"2.8200","2.7513","86.4804"
"2.8400","2.7717","86.8146"
"2.8600","2.7915","87.4774"
"2.8800","2.8113","88.3263"
"2.9000","2.8313","88.6433"
"2.9200","2.8515","89.2611"
"2.9400","2.8722","89.7013"
"2.9600","2.8917","90.5785"
"2.9800","2.9109","91.0754"
"3.0000","2.9309","91.7748"
"3.0200","2.9513","92.3102"
"3.0400","2.9722","92.9442"
"3.0600","2.9930","93.6581"
"3.0800","3.0129","94.5903"
"3.1000","3.0324","95.0491"
"3.1200","3.0517","95.4974"
"3.1400","3.0713","95.6900"
"3.1600","3.0907","96.4625"
"3.1800","3.1100","97.4074"
"3.2000","3.1300","98.0693"
"3.2200","3.1499","98.7035"
"3.2400","3.1702","99.1002"
"3.2600","3.1912","99.7348"
"3.2800","3.2118","100.5176"
"3.3000","3.2325","100.9846"
"3.3200","3.2527","101.6520"
"3.3400","3.2721","102.4929"
"3.3600","3.2916","102.9971"
"3.3800","3.3112","103.7598"
"3.4000","3.3313","104.2484"
"3.4200","3.3513","104.7515"
"3.4400","3.3710","105.5822"
"3.4600","3.3910","105.8037"
"3.4800","3.4107","106.4431"
"3.5000","3.4305","107.0302"
"3.5200","3.4509","107.6335"
"3.5400","3.4711","108.0557"
"3.5600","3.4912","108.7565"
"3.5800","3.5107","109.6715"
"3.6000","3.5307","110.5421"
"3.6200","3.5519","110.8881"
"3.6400","3.5720","111.7919"
"3.6600","3.5915","112.4681"
"3.6800","3.6111","112.5216"
"3.7000","3.6310","113.3665"
"3.7200","3.6514","113.8214"
"3.7400","3.6711","114.5144"
"3.7600","3.6905","114.8703"
"3.7800","3.7105","115.5090"
"3.8000","3.7306","116.3656"
"3.8200","3.7514","116.9612"
"3.8400","3.7714","117.7352"
"3.8600","3.7907","118.6258"
"3.8800","3.8109","118.9658"
"3.9000","3.8316","119.3109"
"3.9200","3.8518","119.6300"
"3.9400","3.8710","120.1754"
"3.9600","3.8902","121.2532"
"3.9800","3.9106","121.8546"
"4.0000","3.9311","122.5355"
"4.0200","3.9514","122.9031"
"4.0400","3.9713","123.5658"
"4.0600","3.9905","124.2502"
"4.0800","4.0108","124.9239"
"4.1000","4.0318","125.3727"
"4.1200","4.0521","125.6472"
"4.1400","4.0716","126.3137"
"4.1600","4.0902","127.3498"
"4.1800","4.1094","128.1159"
"4.2000","4.1301","128.8695"
"4.2200","4.1511","129.5684"
"4.2400","4.1716","129.7575"
"4.2600","4.1905","130.4967"
"4.2800","4.2096","131.3760"
"4.3000","4.2301","131.5544"
"4.3200","4.2508","132.0423"
"4.3400","4.2713","132.7998"
"4.3600","4.2912","133.6642"
"4.3800","4.3111","134.4379"
"4.4000","4.3316","134.9249"
"4.4200","4.3513","135.5995"
"4.4400","4.3710","136.1559"
"4.4600","4.3910","136.6925"
"4.4800","4.4111","137.4670"
"4.5000","4.4319","137.7259"
"4.5200","4.4525","138.7712"
"4.5400","4.4725","139.4332"
"4.5600","4.4918","139.9784"
"4.5800","4.5104","140.6828"
"4.6000","4.5300","140.9535"
"4.6200","4.5503","141.2486"
"4.6400","4.5704","142.1070"
"4.6600","4.5908","142.6247"
"4.6800","4.6109","143.2598"
"4.7000","4.6314","143.9918"
"4.7200","4.6520","144.4061"
"4.7400","4.6719","145.1555"
"4.7600","4.6918","145.3645"
"4.7800","4.7114","146.4314"
"4.8000","4.7315","147.2078"
"4.8200","4.7520","147.8153"
"4.8400","4.7714","148.6097"
"4.8600","4.7912","149.0363"
"4.8800","4.8113","149.6631"
"4.9000","4.8316","150.2888"
"4.9200","4.8521","150.5624"
"4.9400","4.8717","151.2608"
"4.9600","4.8913","151.7959"
"4.9800","4.9112","152.5304"
"5.0000","4.9306","153.4173"
"5.0200","4.9507","153.7235"
"5.0400","4.9709","154.7367"
"5.0600","4.9911","155.3985"
"5.0800","5.0114","155.6897"
"5.1000","5.0309","156.6648"
"5.1200","5.0508","157.1210"
"5.1400","5.0711","157.2939"
"5.1600","5.0910","157.9158"
"5.1800","5.1112","158.5665"
"5.2000","5.1312","159.0209"
"5.2200","5.1513","159.8091"
"5.2400","5.1712","160.5845"
"5.2600","5.1907","161.6929"
"5.2800","5.2111","162.2731"
"5.3000","5.2315","162.7270"
"5.3200","5.2514","163.2746"
"5.3400","5.2714","163.2802"
"5.3600","5.2911","163.8160"
"5.3800","5.3108","164.7475"
"5.4000","5.3304","165.3551"
"5.4200","5.3500","166.3756"
"5.4400","5.3710","166.7672"
"5.4600","5.3919","167.3620"
"5.4800","5.4122","168.0745"
"5.5000","5.4320","168.9542"
"5.5200","5.4517","169.3655"
"5.5400","5.4719","169.6604"
"5.5600","5.4917","170.5337"
"5.5800","5.5113","171.3786"
"5.6000","5.5310","171.9321"
"5.6200","5.5506","172.4187"
"5.6400","5.5710","172.6679"
"5.6600","5.5912","173.4721"
"5.6800","5.6107","174.3676"
"5.7000","5.6310","174.7478"
"5.7200","5.6512","175.1164"
"5.7400","5.6713","176.2691"
"5.7600","5.6912","176.8183"
"5.7800","5.7107","177.5221"
"5.8000","5.7313","177.9136"
"5.8200","5.7519","178.6188"
"5.8400","5.7716","179.3033"
"5.8600","5.7909","180.0007"
"5.8800","5.8102","180.7711"
"5.9000","5.8311","180.9254"
"5.9200","5.8527","181.4271"
"5.9400","5.8734","182.1647"
"5.9600","5.8935","182.6518"
"5.9800","5.9126","183.4951"
"6.0000","5.9318","184.5190"
"6.0200","5.9515","184.7142"
"6.0400","5.9711","185.5122"
"6.0600","5.9910","185.5201"
"6.0800","6.0103","186.3169"
"6.1000","6.0300","187.3593"
"6.1200","6.0507","187.9814"
"6.1400","6.0709","188.5975"
"6.1600","6.0912","189.1811"
"6.1800","6.1111","189.5557"
"6.2000","6.1311","190.1817"
"6.2200","6.1521","190.7651"
"6.2400","6.1726","191.4657"
"6.2600","6.1930","192.2729"
"6.2800","6.2130","192.8438"
"6.3000","6.2325","193.3546"
"6.3200","6.2521","193.7554"
"6.3400","6.2711","194.4676"
"6.3600","6.2904","195.2241"
"6.3800","6.3109","195.7374"
"6.4000","6.3313","196.5034"
"6.4200","6.3516","197.1268"
"6.4400","6.3716","197.5174"
"6.4600","6.3910","198.2229"
"6.4800","6.4113","198.9634"
"6.5000","6.4314","199.7893"
"6.5200","6.4514","200.1830"
"6.5400","6.4714","200.2227"
"6.5600","6.4907","201.3162"
"6.5800","6.5109","202.1096"
"6.6000","6.5315","202.6616"
"6.6200","6.5519","203.1316"
"6.6400","6.5721","203.6976"
"6.6600","6.5909","204.6706"
"6.6800","6.6102","205.5162"
"6.7000","6.6306","206.1401"
"6.7200","6.6515","206.6762"
"6.7400","6.6722","206.8190"
"6.7600","6.6917","207.3389"
"6.7800","6.7110","208.1904"
"6.8000","6.7314","208.9429"
"6.8200","6.7518","209.4705"
"6.8400","6.7720","209.8261"
"6.8600","6.7914","210.5672"
"6.8800","6.8108","211.2935"
"6.9000","6.8313","211.6143"
"6.9200","6.8515","212.4132"
"6.9400","6.8718","213.1100"
"6.9600","6.8916","213.4457"
"6.9800","6.9111","214.2865"
"7.0000","6.9317","214.8340"
"7.0200","6.9522","215.6257"
"7.0400","6.9717","216.5987"
"7.0600","6.9907","216.9563"
"7.0800","7.0097","217.7027"
"7.1000","7.0303","218.0724"
"7.1200","7.0514","218.6878"
"7.1400","7.0715","219.3437"
"7.1600","7.0914","219.6424"
"7.1800","7.1109","220.5710"
"7.2000","7.1311","221.3208"
"7.2200","7.1519","221.9125"
"7.2400","7.1720","222.4631"
"7.2600","7.1919","223.0173"
"7.2800","7.2114","223.5284"
"7.3000","7.2311","224.5478"
"7.3200","7.2515","225.1135"
"7.3400","7.2721","225.6876"
"7.3600","7.2934","225.8603"
"7.3800","7.3143","226.6132"
"7.4000","7.3340","227.5732"
"7.4200","7.3529","227.8893"
"7.4400","7.3710","228.6186"
"7.4600","7.3899","228.9454"
"7.4800","7.4100","229.5656"
"7.5000","7.4302","230.3411"
"7.5200","7.4505","231.3032"
"7.5400","7.4702","231.6974"
"7.5600","7.4900","232.1949"
"7.5800","7.5106","232.7078"
"7.6000","7.5313","233.5994"
"7.6200","7.5522","234.0763"
"7.6400","7.5722","235.1159"
"7.6600","7.5917","235.7620"
"7.6800","7.6121","235.5130"
"7.7000","7.6323","236.2366"
"7.7200","7.6525","236.9738"
"7.7400","7.6724","238.0057"
"7.7600","7.6917","238.8370"
"7.7800","7.7115","239.1538"
"7.8000","7.7314","239.2769"
"7.8200","7.7513","240.4495"
"7.8400","7.7717","240.7402"
"7.8600","7.7916","241.3156"
"7.8800","7.8111","241.9156"
"7.9000","7.8306","242.7265"
"7.9200","7.8504","243.5371"
"7.9400","7.8713","243.5987"
"7.9600","7.8915","244.6156"
"7.9800","7.9115","245.4431"
"8.0000","7.9315","246.1172"
"8.0200","7.9513","246.6799"
"8.0400","7.9721","247.1555"
"8.0600","7.9924","247.6617"
"8.0800","8.0120","248.1565"
"8.1000","8.0313","248.3839"
"8.1200","8.0506","249.1281"
"8.1400","8.0711","250.2699"
"8.1600","8.0916","250.5656"
"8.1800","8.1112","251.3972"
"8.2000","8.1309","251.8997"
"8.2200","8.1504","252.8063"
"8.2400","8.1705","253.1476"
"8.2600","8.1908","253.6727"
"8.2800","8.2107","254.3922"
"8.3000","8.2312","255.0377"
"8.3200","8.2514","255.6613"
"8.3400","8.2709","256.2065"
"8.3600","8.2906","256.6793"
"8.3800","8.3102","257.5087"
"8.4000","8.3306","258.3213"
"8.4200","8.3509","258.6964"
"8.4400","8.3706","259.3648"
"8.4600","8.3905","259.9377"
"8.4800","8.4102","260.7124"
"8.5000","8.4304","261.1218"
"8.5200","8.4509","261.8115"
"8.5400","8.4705","262.6513"
"8.5600","8.4905","263.0212"
"8.5800","8.5105","263.6566"
"8.6000","8.5308","264.5516"
"8.6200","8.5518","264.9100"
"8.6400","8.5718","265.5058"
"8.6600","8.5912","266.2768"
"8.6800","8.6112","267.0605"
"8.7000","8.6315","267.5254"
