Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0005","-6.5053"
"0.0200","0.0006","-6.6707"
"0.0400","0.0024","-5.7588"
"0.0600","0.0112","-5.0955"
"0.0800","0.0297","-4.4719"
"0.1000","0.0534","-3.8317"
"0.1200","0.0757","-2.9806"
"0.1400","0.0951","-1.9219"
"0.1600","0.1135","-0.9614"
"0.1800","0.1317","0.0832"
"0.2000","0.1510","1.2537"
"0.2200","0.1711","1.9627"
"0.2400","0.1906","3.1105"
"0.2600","0.2106","3.4866"
"0.2800","0.2306","4.2127"
"0.3000","0.2499","4.9076"
"0.3200","0.2695","5.3103"
"0.3400","0.2889","5.8575"
"0.3600","0.3088","6.7091"
"0.3800","0.3291","7.4824"
"0.4000","0.3494","8.1661"
"0.4200","0.3703","8.4734"
"0.4400","0.3905","9.4353"
"0.4600","0.4102","10.3457"
"0.4800","0.4298","11.0656"
"0.5000","0.4494","11.6114"
"0.5200","0.4700","11.7290"
"0.5400","0.4903","11.5913"
"0.5600","0.5097","12.7428"
"0.5800","0.5295","13.1936"
"0.6000","0.5490","13.7508"
"0.6200","0.5689","13.7412"
"0.6400","0.5890","14.3092"
"0.6600","0.6090","14.8238"
"0.6800","0.6295","15.7393"
"0.7000","0.6494","16.3581"
"0.7200","0.6689","16.8031"
"0.7400","0.6887","17.2136"
"0.7600","0.7083","17.9939"
"0.7800","0.7288","18.7055"
"0.8000","0.7496","19.0532"
"0.8200","0.7692","19.7287"
"0.8400","0.7887","20.2925"
"0.8600","0.8081","21.2576"
"0.8800","0.8284","21.8643"
"0.9000","0.8493","22.2538"
"0.9200","0.8695","22.7658"
"0.9400","0.8894","23.4660"
"0.9600","0.9088","23.9457"
"0.9800","0.9287","24.9498"
"1.0000","0.9492","25.4721"
"1.0200","0.9690","26.0430"
"1.0400","0.9890","26.5558"
"1.0600","1.0088","27.1592"
"1.0800","1.0289","28.1007"
"1.1000","1.0503","28.1292"
"1.1200","1.0711","28.8611"
"1.1400","1.0906","29.5481"
"1.1600","1.1094","30.4931"
"1.1800","1.1286","31.1014"
"1.2000","1.1488","31.7123"
"1.2200","1.1688","32.2160"
"1.2400","1.1886","32.6322"
"1.2600","1.2089","33.4751"
"1.2800","1.2286","34.2669"
"1.3000","1.2488","34.9056"
"1.3200","1.2690","35.5677"
"1.3400","1.2886","36.2798"
"1.3600","1.3087","36.6190"
"1.3800","1.3289","37.2436"
"1.4000","1.3490","37.6267"
"1.4200","1.3691","38.1429"
"1.4400","1.3887","38.8364"
"1.4600","1.4090","39.4716"
"1.4800","1.4291","39.9420"
"1.5000","1.4489","40.6854"
"1.5200","1.4684","40.9585"
"1.5400","1.4875","41.9856"
"1.5600","1.5074","42.6674"
"1.5800","1.5285","43.1552"
"1.6000","1.5494","43.9288"
"1.6200","1.5697","44.3814"
"1.6400","1.5890","45.2000"
"1.6600","1.6084","45.9826"
"1.6800","1.6288","46.9060"
"1.7000","1.6491","47.3776"
"1.7200","1.6695","47.8002"
"1.7400","1.6889","48.3529"
"1.7600","1.7083","48.9081"
"1.7800","1.7287","49.3197"
"1.8000","1.7491","50.3487"
"1.8200","1.7695","50.9582"
"1.8400","1.7897","51.3697"
"1.8600","1.8095","52.3382"
